UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned,,,,,,,,,
452,367386.646,2256760.062,886.412,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
453,367409.042,2256759.992,886.167,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
454,367431.281,2256760.023,886.133,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
455,367457.744,2256760.048,885.736,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
456,367479.965,2256759.967,885.439,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
457,367529.92,2256759.981,884.782,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
459,367556.4,2256759.924,884.888,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
460,367609.52,2256759.943,885.502,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
461,367636.148,2256760.143,886.075,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
462,367662.627,2256760.06,887.097,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
463,367689.297,2256760.036,887.742,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
464,367715.787,2256759.929,888.07,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
465,367742.524,2256760.068,888.015,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
466,367386.551,2256740.528,885.585,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
467,367408.751,2256740.308,885.226,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
468,367582.785,2256759.989,885.057,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
491,367431.175,2256740.455,885.122,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
493,367457.725,2256740.283,885.078,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
494,367529.816,2256740.411,884.141,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
517,367556.524,2256740.422,884.194,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
518,367582.953,2256740.399,884.528,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
519,367609.594,2256740.452,885.138,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
520,367636.24,2256740.312,885.542,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
521,367662.727,2256740.483,886.633,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
522,367689.288,2256740.445,887.317,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
523,367715.998,2256740.423,887.598,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
524,367742.458,2256740.469,887.992,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
536,367479.981,2256740.477,884.683,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1079,367025.456,2257306.037,886.465,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1080,367052.073,2257305.98,886.751,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1081,367074.284,2257305.994,887.266,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1082,367124.264,2257305.88,887.72,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1083,367150.604,2257306.043,887.506,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1084,367177.454,2257305.977,887.652,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1085,367203.838,2257305.982,887.844,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1086,367230.445,2257306.032,888.203,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1087,367003.241,2257305.996,886.463,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1088,367256.927,2257306.035,888.301,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1089,367310.187,2257305.903,888.511,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1090,367336.81,2257305.882,888.159,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1091,366980.887,2257325.512,886.323,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1092,367003.086,2257325.526,886.408,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1093,367025.38,2257325.518,886.484,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1094,367052.034,2257325.484,886.411,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1095,367074.431,2257325.531,886.51,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1096,367124.096,2257325.647,887.091,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1097,367283.619,2257305.966,888.463,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1098,366980.985,2257305.918,886.521,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1099,367336.773,2256662.493,883.654,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1100,367310.047,2256662.448,884.549,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1101,367177.293,2256643.097,887.749,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1102,367203.715,2256642.963,887.013,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1103,367230.372,2256642.927,886.391,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1104,367256.943,2256642.949,885.845,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1105,367283.481,2256642.933,885.101,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1106,367309.986,2256642.988,884.257,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1107,367336.675,2256642.892,883.677,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1108,366980.826,2256662.426,888.791,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1109,367002.902,2256662.56,889.065,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1110,367025.326,2256662.5,889.238,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1111,367052.002,2256662.514,889.348,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1112,367074.192,2256662.362,889.381,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1113,367123.898,2256662.49,888.613,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1114,367150.561,2256662.45,888.198,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1115,367177.168,2256662.451,887.818,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1116,367203.745,2256662.474,887.243,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1117,367230.325,2256662.592,886.722,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1118,367256.784,2256662.42,886.261,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1119,367283.44,2256662.516,885.35,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1120,367150.647,2257325.603,887.19,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1121,367150.566,2256642.995,888.255,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1122,367177.316,2257325.453,887.45,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1123,367230.587,2257325.52,888.153,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1146,367257.153,2257325.473,888.244,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1147,367283.8,2257325.428,888.297,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1148,367310.208,2257325.558,888.358,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1149,367336.838,2257325.431,887.899,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1165,367203.888,2257325.49,887.688,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1167,367123.985,2256642.934,888.652,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1168,367051.956,2256642.968,889.388,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1211,367074.082,2256642.854,889.471,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
