UPN,N_Y,E_X,Elv_Z,Source,Data_Scanned 
25223,366155.0585,2256739.07,890.2774544,BS_INV-28_T_S01,1/28/2026
42561,366248.4308,2256933.941,889.9796859,BS_INV-28_T_S01,1/28/2026
42562,366226.1595,2256933.951,890.3394,BS_INV-28_T_S01,1/28/2026
31251,366203.9172,2256934.023,890.7044764,BS_INV-28_T_S01,1/28/2026
31252,366177.3368,2256933.972,891.148512,BS_INV-28_T_S01,1/28/2026
31253,366155.1042,2256934.012,891.4078283,BS_INV-28_T_S01,1/28/2026
47844,366130.1916,2256933.957,891.744172,BS_INV-28_T_S01,1/28/2026
31254,366105.252,2256933.999,891.7651,BS_INV-28_T_S01,1/28/2026
31255,366078.737,2256934.003,891.8985164,BS_INV-28_T_S01,1/28/2026
31256,366052.109,2256934.022,892.1259406,BS_INV-28_T_S01,1/28/2026
31257,366025.5403,2256933.946,892.2719615,BS_INV-28_T_S01,1/28/2026
31258,365998.8543,2256934.042,892.6334281,BS_INV-28_T_S01,1/28/2026
31259,365972.3147,2256933.966,892.7467318,BS_INV-28_T_S01,1/28/2026
31261,365945.76,2256933.969,893.0185187,BS_INV-28_T_S01,1/28/2026
31275,365919.1927,2256933.97,893.0920748,BS_INV-28_T_S01,1/28/2026
45642,365892.6441,2256933.972,892.8266677,BS_INV-28_T_S01,1/28/2026
42567,366248.3251,2256914.456,889.7090784,BS_INV-28_T_S01,1/28/2026
42560,366226.1779,2256914.478,890.0605749,BS_INV-28_T_S01,1/28/2026
31176,366203.8805,2256914.474,890.3687117,BS_INV-28_T_S01,1/28/2026
31177,366177.343,2256914.488,890.8019686,BS_INV-28_T_S01,1/28/2026
31178,366155.0861,2256914.489,891.2543751,BS_INV-28_T_S01,1/28/2026
47845,366130.1839,2256914.495,891.4052733,BS_INV-28_T_S01,1/28/2026
31196,366105.5303,2256914.569,891.3244407,BS_INV-28_T_S01,1/28/2026
31212,366078.7463,2256914.549,891.5133465,BS_INV-28_T_S01,1/28/2026
31213,366052.2191,2256914.569,891.6046039,BS_INV-28_T_S01,1/28/2026
31214,366025.5371,2256914.628,891.8218528,BS_INV-28_T_S01,1/28/2026
31247,365998.9962,2256914.597,892.1199299,BS_INV-28_T_S01,1/28/2026
31248,365972.3041,2256914.587,892.4725952,BS_INV-28_T_S01,1/28/2026
31249,365945.7494,2256914.541,892.7142226,BS_INV-28_T_S01,1/28/2026
31250,365919.1348,2256914.571,892.5315319,BS_INV-28_T_S01,1/28/2026
