UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned
26131,365455.23929299996,2262338.76,899.7236879999999,BS_INV-23_B_S02,1/7/2026
26130,365428.6627,2262338.755,900.671524,BS_INV-23_B_S02,1/7/2026
26129,365402.12471799995,2262338.732,901.6375400000001,BS_INV-23_B_S02,1/7/2026
26128,365375.567,2262338.784,902.622246,BS_INV-23_B_S02,1/7/2026
42156,365348.9244,2262338.7759999996,902.868975,BS_INV-23_B_S02,1/7/2026
42155,365322.3367,2262338.804,903.5911,BS_INV-23_B_S02,1/7/2026
42154,365797.5805,2262358.207,898.6864760000001,BS_INV-23_B_S02,1/7/2026
42153,365770.9391,2262358.314,898.103448,BS_INV-23_B_S02,1/7/2026
26127,365744.4281,2262358.195,897.569646,BS_INV-23_B_S02,1/7/2026
26140,365717.849,2262358.189,897.5085,BS_INV-23_B_S02,1/7/2026
26157,365691.2029,2262358.3614060003,897.19864,BS_INV-23_B_S02,1/7/2026
26172,365664.5797,2262358.3187260004,897.109856,BS_INV-23_B_S02,1/7/2026
26158,365638.04497199995,2262358.272,897.09556,BS_INV-23_B_S02,1/7/2026
26186,365611.4864,2262358.244,897.402408,BS_INV-23_B_S02,1/7/2026
26185,365584.875,2262358.3474979997,897.93543,BS_INV-23_B_S02,1/7/2026
47461,365559.8875,2262358.34,898.738304,BS_INV-23_B_S02,1/7/2026
26184,365534.9975,2262358.319,898.988387,BS_INV-23_B_S02,1/7/2026
26183,365508.5019,2262358.197,899.16914,BS_INV-23_B_S02,1/7/2026
26182,365481.7971,2262358.319,899.506337,BS_INV-23_B_S02,1/7/2026
26181,365455.2381,2262358.283,900.0429200000001,BS_INV-23_B_S02,1/7/2026
26180,365428.6718,2262358.301,901.0585080000001,BS_INV-23_B_S02,1/7/2026
26179,365402.0413,2262358.267,902.247585,BS_INV-23_B_S02,1/7/2026
26178,365375.4342,2262358.236,903.03152,BS_INV-23_B_S02,1/7/2026
42152,365348.9535,2262358.332,903.391596,BS_INV-23_B_S02,1/7/2026
42151,365322.4761,2262358.219,904.165092,BS_INV-23_B_S02,1/7/2026
42150,365797.64580399997,2262377.72,898.425341,BS_INV-23_B_S02,1/7/2026
42149,365771.1377,2262377.676,897.747253,BS_INV-23_B_S02,1/7/2026
26177,365744.5353,2262377.712,897.269536,BS_INV-23_B_S02,1/7/2026
26176,365717.9006,2262377.7063315003,897.171428,BS_INV-23_B_S02,1/7/2026
26175,365691.3913,2262377.703,896.918913,BS_INV-23_B_S02,1/7/2026
26174,365664.7056,2262377.713,896.77942,BS_INV-23_B_S02,1/7/2026
26187,365638.1276,2262377.729,896.662604,BS_INV-23_B_S02,1/7/2026
26173,365611.47225999995,2262377.715,897.013942,BS_INV-23_B_S02,1/7/2026
