UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned
4763,367172.95,2257929.913,883.719,BS_INV-26_B_S01,1/28/2026
4764,367146.338,2257929.938,883.621,BS_INV-26_B_S01,1/28/2026
4765,367124.119,2257929.96,883.448,BS_INV-26_B_S01,1/28/2026
4766,367074.35,2257929.962,884.404,BS_INV-26_B_S01,1/28/2026
4767,367047.773,2257929.935,884.434,BS_INV-26_B_S01,1/28/2026
4768,367021.163,2257929.909,884.009,BS_INV-26_B_S01,1/28/2026
4769,366994.644,2257929.994,883.083,BS_INV-26_B_S01,1/28/2026
4770,366968.032,2257929.976,882.581,BS_INV-26_B_S01,1/28/2026
4771,367195.237,2257929.925,883.285,BS_INV-26_B_S01,1/28/2026
4772,366941.459,2257930.005,882.271,BS_INV-26_B_S01,1/28/2026
4773,366888.263,2257929.965,882.214,BS_INV-26_B_S01,1/28/2026
4774,366861.609,2257929.95,881.913,BS_INV-26_B_S01,1/28/2026
4781,366914.676,2257930.035,881.956,BS_INV-26_B_S01,1/28/2026
4782,367217.405,2257930.055,883.278,BS_INV-26_B_S01,1/28/2026
4783,366861.672,2257910.439,881.472,BS_INV-26_B_S01,1/28/2026
4784,366888.059,2257910.507,881.688,BS_INV-26_B_S01,1/28/2026
4792,367217.515,2257910.428,883.64,BS_INV-26_B_S01,1/28/2026
4793,367195.234,2257910.497,883.509,BS_INV-26_B_S01,1/28/2026
4794,367173.128,2257910.433,883.298,BS_INV-26_B_S01,1/28/2026
4795,367146.48,2257910.58,883.404,BS_INV-26_B_S01,1/28/2026
4796,367124.191,2257910.515,883.717,BS_INV-26_B_S01,1/28/2026
4797,367074.498,2257910.511,884.271,BS_INV-26_B_S01,1/28/2026
4798,367047.731,2257910.696,883.938,BS_INV-26_B_S01,1/28/2026
4799,367021.148,2257910.618,883.314,BS_INV-26_B_S01,1/28/2026
4800,366994.559,2257910.584,882.812,BS_INV-26_B_S01,1/28/2026
4801,366968.174,2257910.458,882.267,BS_INV-26_B_S01,1/28/2026
4802,366941.442,2257910.533,881.793,BS_INV-26_B_S01,1/28/2026
4803,366914.833,2257910.461,881.493,BS_INV-26_B_S01,1/28/2026
5090,366980.933,2257949.502,883.354,BS_INV-26_B_S01,1/28/2026
5091,367003.341,2257949.563,883.692,BS_INV-26_B_S01,1/28/2026
5092,367025.525,2257949.448,884.114,BS_INV-26_B_S01,1/28/2026
5093,367052.147,2257949.497,884.525,BS_INV-26_B_S01,1/28/2026
5094,367074.318,2257949.514,884.277,BS_INV-26_B_S01,1/28/2026
5164,367124.116,2257949.525,883.535,BS_INV-26_B_S01,1/28/2026
5209,367150.531,2257949.526,883.585,BS_INV-26_B_S01,1/28/2026
5210,367177.022,2257949.421,883.369,BS_INV-26_B_S01,1/28/2026
5211,367203.755,2257949.493,883.34,BS_INV-26_B_S01,1/28/2026
5302,366968,2257832.48,881.316,BS_INV-26_B_S01,1/28/2026
5303,366994.689,2257832.508,882.133,BS_INV-26_B_S01,1/28/2026
5304,367021.172,2257832.57,882.33,BS_INV-26_B_S01,1/28/2026
5305,367047.771,2257832.513,882.914,BS_INV-26_B_S01,1/28/2026
5306,367074.34,2257832.436,883.36,BS_INV-26_B_S01,1/28/2026
5307,367124.159,2257832.474,884.165,BS_INV-26_B_S01,1/28/2026
