UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned,
540,367210.559,2260895.77,896.496,Finn_INV-12_Z-02_B_S01,11/24/2025,
541,367237.113,2260895.778,895.371,Finn_INV-12_Z-02_B_S01,11/24/2025,
542,367263.662,2260895.769,894.53,Finn_INV-12_Z-02_B_S01,11/24/2025,
543,367290.252,2260895.697,893.917,Finn_INV-12_Z-02_B_S01,11/24/2025,
544,367316.87,2260895.706,893.336,Finn_INV-12_Z-02_B_S01,11/24/2025,
545,366841.916,2261012.668,915.308,Finn_INV-12_Z-02_B_S01,11/24/2025,
546,366868.541,2261012.663,915.605,Finn_INV-12_Z-02_B_S01,11/24/2025,
547,366895.114,2261012.63,915.149,Finn_INV-12_Z-02_B_S01,11/24/2025,
548,367183.967,2260895.762,897.692,Finn_INV-12_Z-02_B_S01,11/24/2025,
549,366921.705,2261012.649,914.525,Finn_INV-12_Z-02_B_S01,11/24/2025,
550,366974.78,2261012.666,911.599,Finn_INV-12_Z-02_B_S01,11/24/2025,
551,367001.338,2261012.633,910.642,Finn_INV-12_Z-02_B_S01,11/24/2025,
552,367027.896,2261012.648,908.937,Finn_INV-12_Z-02_B_S01,11/24/2025,
553,367054.448,2261012.641,907.488,Finn_INV-12_Z-02_B_S01,11/24/2025,
554,367104.184,2261012.652,905.217,Finn_INV-12_Z-02_B_S01,11/24/2025,
555,367130.784,2261012.629,903.75,Finn_INV-12_Z-02_B_S01,11/24/2025,
556,367157.298,2261012.672,903.137,Finn_INV-12_Z-02_B_S01,11/24/2025,
557,367183.929,2261012.641,902.495,Finn_INV-12_Z-02_B_S01,11/24/2025,
558,366948.262,2261012.616,913.342,Finn_INV-12_Z-02_B_S01,11/24/2025,
559,367157.346,2260895.735,898.47,Finn_INV-12_Z-02_B_S01,11/24/2025,
560,367130.774,2260895.764,899.406,Finn_INV-12_Z-02_B_S01,11/24/2025,
561,367104.273,2260895.746,900.522,Finn_INV-12_Z-02_B_S01,11/24/2025,
562,367054.478,2260876.273,902.596,Finn_INV-12_Z-02_B_S01,11/24/2025,
563,367104.287,2260876.255,900.033,Finn_INV-12_Z-02_B_S01,11/24/2025,
564,367130.791,2260876.241,898.614,Finn_INV-12_Z-02_B_S01,11/24/2025,
565,367157.438,2260876.209,897.719,Finn_INV-12_Z-02_B_S01,11/24/2025,
566,367183.951,2260876.253,896.77,Finn_INV-12_Z-02_B_S01,11/24/2025,
567,367210.508,2260876.242,895.498,Finn_INV-12_Z-02_B_S01,11/24/2025,
568,367237.087,2260876.24,894.503,Finn_INV-12_Z-02_B_S01,11/24/2025,
569,367263.674,2260876.231,893.649,Finn_INV-12_Z-02_B_S01,11/24/2025,
570,367290.199,2260876.141,892.76,Finn_INV-12_Z-02_B_S01,11/24/2025,
571,367316.775,2260876.167,892.247,Finn_INV-12_Z-02_B_S01,11/24/2025,
572,366842.024,2260895.744,913.961,Finn_INV-12_Z-02_B_S01,11/24/2025,
573,366868.623,2260895.749,912.778,Finn_INV-12_Z-02_B_S01,11/24/2025,
574,366895.115,2260895.752,911.327,Finn_INV-12_Z-02_B_S01,11/24/2025,
575,366921.741,2260895.737,910.285,Finn_INV-12_Z-02_B_S01,11/24/2025,
576,366948.323,2260895.737,909.151,Finn_INV-12_Z-02_B_S01,11/24/2025,
577,366974.888,2260895.742,907.762,Finn_INV-12_Z-02_B_S01,11/24/2025,
578,367001.44,2260895.76,906.442,Finn_INV-12_Z-02_B_S01,11/24/2025,
579,367027.949,2260895.747,904.705,Finn_INV-12_Z-02_B_S01,11/24/2025,
580,367054.492,2260895.77,903.206,Finn_INV-12_Z-02_B_S01,11/24/2025,
581,367210.569,2261012.67,901.359,Finn_INV-12_Z-02_B_S01,11/24/2025,
582,367027.931,2260876.254,904.074,Finn_INV-12_Z-02_B_S01,11/24/2025,
583,367237.132,2261012.63,900.442,Finn_INV-12_Z-02_B_S01,11/24/2025,
626,367263.73,2261012.727,900.159,Finn_INV-12_Z-02_B_S01,11/24/2025,
628,367001.437,2260876.228,905.782,Finn_INV-12_Z-02_B_S01,11/24/2025,
629,366948.249,2260876.291,908.561,Finn_INV-12_Z-02_B_S01,11/24/2025,
672,366974.814,2260876.289,907.079,Finn_INV-12_Z-02_B_S01,11/24/2025,
689,366842.139,2260876.251,913.833,Finn_INV-12_Z-02_B_S01,11/24/2025,
690,366868.651,2260876.3,912.562,Finn_INV-12_Z-02_B_S01,11/24/2025,
691,366895.162,2260876.26,911.149,Finn_INV-12_Z-02_B_S01,11/24/2025,
692,366921.749,2260876.26,909.766,Finn_INV-12_Z-02_B_S01,11/24/2025,
5033,367237.042,2260525.24,883.799,Finn_INV-12_Z-02_B_S01,11/24/2025,
5034,367263.492,2260525.284,881.684,Finn_INV-12_Z-02_B_S01,11/24/2025,
5035,367290.025,2260525.172,880.176,Finn_INV-12_Z-02_B_S01,11/24/2025,
5036,367316.525,2260525.16,878.316,Finn_INV-12_Z-02_B_S01,11/24/2025,
5037,366841.894,2260505.792,900.454,Finn_INV-12_Z-02_B_S01,11/24/2025,
5038,366868.466,2260505.8,899.434,Finn_INV-12_Z-02_B_S01,11/24/2025,
5039,366895.07,2260505.799,898.227,Finn_INV-12_Z-02_B_S01,11/24/2025,
5040,366921.622,2260505.79,897.53,Finn_INV-12_Z-02_B_S01,11/24/2025,
5041,367210.416,2260525.189,886.007,Finn_INV-12_Z-02_B_S01,11/24/2025,
5042,366948.191,2260505.76,896.74,Finn_INV-12_Z-02_B_S01,11/24/2025,
5043,367001.313,2260505.738,894.804,Finn_INV-12_Z-02_B_S01,11/24/2025,
5044,367027.843,2260505.757,893.788,Finn_INV-12_Z-02_B_S01,11/24/2025,
5045,367054.439,2260505.679,892.412,Finn_INV-12_Z-02_B_S01,11/24/2025,
5046,367104.148,2260505.633,890.198,Finn_INV-12_Z-02_B_S01,11/24/2025,
5047,367130.753,2260505.678,888.622,Finn_INV-12_Z-02_B_S01,11/24/2025,
5048,367157.302,2260505.649,887.368,Finn_INV-12_Z-02_B_S01,11/24/2025,
5049,367183.94,2260505.613,886.168,Finn_INV-12_Z-02_B_S01,11/24/2025,
5050,367210.45,2260505.752,885.253,Finn_INV-12_Z-02_B_S01,11/24/2025,
5051,366974.779,2260505.746,895.518,Finn_INV-12_Z-02_B_S01,11/24/2025,
5052,367236.948,2260505.684,883.042,Finn_INV-12_Z-02_B_S01,11/24/2025,
5053,367183.92,2260525.258,887.43,Finn_INV-12_Z-02_B_S01,11/24/2025,
5054,367130.802,2260525.291,889.144,Finn_INV-12_Z-02_B_S01,11/24/2025,
5062,366841.933,2260525.307,901.35,Finn_INV-12_Z-02_B_S01,11/24/2025,
5063,367157.306,2260525.275,887.799,Finn_INV-12_Z-02_B_S01,11/24/2025,
5064,366868.49,2260525.311,900.288,Finn_INV-12_Z-02_B_S01,11/24/2025,
5065,366921.533,2260525.297,897.911,Finn_INV-12_Z-02_B_S01,11/24/2025,
5066,366948.103,2260525.267,897.162,Finn_INV-12_Z-02_B_S01,11/24/2025,
5067,366974.718,2260525.237,896.328,Finn_INV-12_Z-02_B_S01,11/24/2025,
5068,367001.298,2260525.259,895.729,Finn_INV-12_Z-02_B_S01,11/24/2025,
5069,367027.866,2260525.265,894.798,Finn_INV-12_Z-02_B_S01,11/24/2025,
5071,367054.492,2260525.229,893.34,Finn_INV-12_Z-02_B_S01,11/24/2025,
5072,367104.213,2260525.302,890.702,Finn_INV-12_Z-02_B_S01,11/24/2025,
5073,366895.043,2260525.309,898.827,Finn_INV-12_Z-02_B_S01,11/24/2025,
5074,367263.45,2260505.769,880.83,Finn_INV-12_Z-02_B_S01,11/24/2025,
5075,367289.987,2260505.674,879.049,Finn_INV-12_Z-02_B_S01,11/24/2025,
5076,367316.562,2260505.607,877.229,Finn_INV-12_Z-02_B_S01,11/24/2025,
5484,366841.982,2260993.252,915.034,Finn_INV-12_Z-02_B_S01,11/24/2025,
5485,366868.545,2260993.265,914.901,Finn_INV-12_Z-02_B_S01,11/24/2025,
5486,366895.164,2260993.25,914.303,Finn_INV-12_Z-02_B_S01,11/24/2025,
5487,366921.721,2260993.237,913.622,Finn_INV-12_Z-02_B_S01,11/24/2025,
5488,366948.345,2260993.264,912.534,Finn_INV-12_Z-02_B_S01,11/24/2025,
5489,366974.84,2260993.29,910.836,Finn_INV-12_Z-02_B_S01,11/24/2025,
5491,367001.455,2260993.247,909.56,Finn_INV-12_Z-02_B_S01,11/24/2025,
5492,367054.487,2260993.264,906.935,Finn_INV-12_Z-02_B_S01,11/24/2025,
5493,367104.312,2260993.257,904.347,Finn_INV-12_Z-02_B_S01,11/24/2025,
5494,367130.791,2260993.308,903.005,Finn_INV-12_Z-02_B_S01,11/24/2025,
5495,367157.38,2260993.247,902.325,Finn_INV-12_Z-02_B_S01,11/24/2025,
5496,367184.016,2260993.276,901.762,Finn_INV-12_Z-02_B_S01,11/24/2025,
5497,367210.561,2260993.265,900.488,Finn_INV-12_Z-02_B_S01,11/24/2025,
5498,367237.188,2260993.229,899.529,Finn_INV-12_Z-02_B_S01,11/24/2025,
5499,367263.757,2260993.237,899,Finn_INV-12_Z-02_B_S01,11/24/2025,
5500,367027.974,2260993.251,908.276,Finn_INV-12_Z-02_B_S01,11/24/2025,
8458,366895.102,2261032.17,915.785,Finn_INV-12_Z-02_B_S01,11/24/2025,
8459,366921.674,2261032.128,915.342,Finn_INV-12_Z-02_B_S01,11/24/2025,
8460,366948.266,2261032.128,914.236,Finn_INV-12_Z-02_B_S01,11/24/2025,
8461,366974.832,2261032.136,912.984,Finn_INV-12_Z-02_B_S01,11/24/2025,
8462,367001.377,2261032.139,911.636,Finn_INV-12_Z-02_B_S01,11/24/2025,
8463,367027.894,2261032.161,910.195,Finn_INV-12_Z-02_B_S01,11/24/2025,
8464,367054.456,2261032.154,908.313,Finn_INV-12_Z-02_B_S01,11/24/2025,
8465,367104.174,2261032.131,906.063,Finn_INV-12_Z-02_B_S01,11/24/2025,
8466,367130.82,2261032.15,904.745,Finn_INV-12_Z-02_B_S01,11/24/2025,
8467,367157.347,2261032.144,903.99,Finn_INV-12_Z-02_B_S01,11/24/2025,
8468,367183.954,2261032.186,903.26,Finn_INV-12_Z-02_B_S01,11/24/2025,
8469,367210.508,2261032.142,902.158,Finn_INV-12_Z-02_B_S01,11/24/2025,
8470,367237.136,2261032.138,901.26,Finn_INV-12_Z-02_B_S01,11/24/2025,
8471,366868.463,2261032.255,915.896,Finn_INV-12_Z-02_B_S01,11/24/2025,
8632,367263.67,2261032.188,900.968,Finn_INV-12_Z-02_B_S01,11/24/2025,
9781,367054.485,2260915.251,903.689,Finn_INV-12_Z-02_B_S01,11/24/2025,
