UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned
26970,366371.234,2260876.199,900.223,Finn_INV-12_B_Z-03_S01,11/24/2025
26971,366397.816,2260876.202,900.475,Finn_INV-12_B_Z-03_S01,11/24/2025
26972,366424.359,2260876.245,901.012,Finn_INV-12_B_Z-03_S01,11/24/2025
26973,366451.016,2260876.195,901.509,Finn_INV-12_B_Z-03_S01,11/24/2025
26974,366477.777,2260876.223,902.55,Finn_INV-12_B_Z-03_S01,11/24/2025
26975,366504.209,2260876.238,903.605,Finn_INV-12_B_Z-03_S01,11/24/2025
26976,366530.74,2260876.25,905.342,Finn_INV-12_B_Z-03_S01,11/24/2025
26977,366557.483,2260876.228,905.996,Finn_INV-12_B_Z-03_S01,11/24/2025
26978,366607.165,2260876.243,907.946,Finn_INV-12_B_Z-03_S01,11/24/2025
26979,366633.68,2260876.307,909.423,Finn_INV-12_B_Z-03_S01,11/24/2025
26980,366660.249,2260876.327,911.081,Finn_INV-12_B_Z-03_S01,11/24/2025
26981,366792.931,2260895.756,914.161,Finn_INV-12_B_Z-03_S01,11/24/2025
26982,366766.469,2260895.749,914.344,Finn_INV-12_B_Z-03_S01,11/24/2025
26983,366739.885,2260895.766,913.734,Finn_INV-12_B_Z-03_S01,11/24/2025
26984,366713.392,2260895.741,912.621,Finn_INV-12_B_Z-03_S01,11/24/2025
26998,366686.856,2260876.267,912.293,Finn_INV-12_B_Z-03_S01,11/24/2025
27001,366371.228,2260895.77,900.087,Finn_INV-12_B_Z-03_S01,11/24/2025
27002,366397.841,2260895.774,900.391,Finn_INV-12_B_Z-03_S01,11/24/2025
27003,366424.486,2260895.779,900.993,Finn_INV-12_B_Z-03_S01,11/24/2025
27004,366451.047,2260895.756,901.666,Finn_INV-12_B_Z-03_S01,11/24/2025
27005,366477.595,2260895.763,902.663,Finn_INV-12_B_Z-03_S01,11/24/2025
27006,366504.213,2260895.76,903.44,Finn_INV-12_B_Z-03_S01,11/24/2025
27007,366530.743,2260895.802,904.655,Finn_INV-12_B_Z-03_S01,11/24/2025
27008,366557.3,2260895.767,906.012,Finn_INV-12_B_Z-03_S01,11/24/2025
27009,366607.079,2260895.765,907.411,Finn_INV-12_B_Z-03_S01,11/24/2025
