UPN,N_Y,E_X,Elv_Z,Source
13755,367027.864,2262046.155,908.145,BS_INV-15_B_S01
13756,367054.435,2262046.153,908.97,BS_INV-15_B_S01
13757,367104.258,2262046.138,909.935,BS_INV-15_B_S01
13758,367130.803,2262046.136,910.775,BS_INV-15_B_S01
13759,367157.406,2262046.124,911.791,BS_INV-15_B_S01
13760,367183.992,2262046.14,912.521,BS_INV-15_B_S01
13761,367210.511,2262046.129,913.169,BS_INV-15_B_S01
13762,367237.165,2262046.152,913.332,BS_INV-15_B_S01
13763,367263.723,2262046.116,913.771,BS_INV-15_B_S01
13764,367290.313,2262046.129,914.181,BS_INV-15_B_S01
13816,367001.293,2262046.152,907.578,BS_INV-15_B_S01
13849,366974.689,2262046.087,906.768,BS_INV-15_B_S01
13850,366921.511,2262046.179,905.513,BS_INV-15_B_S01
13914,366974.69,2262085.192,905.2,BS_INV-15_B_S01
13915,367001.269,2262085.153,905.966,BS_INV-15_B_S01
13916,367027.878,2262085.179,906.417,BS_INV-15_B_S01
13917,367054.446,2262085.154,907.172,BS_INV-15_B_S01
13918,367104.235,2262085.168,908.18,BS_INV-15_B_S01
13919,367130.85,2262085.146,908.817,BS_INV-15_B_S01
13920,367157.447,2262085.161,909.522,BS_INV-15_B_S01
13921,367184.026,2262085.11,909.973,BS_INV-15_B_S01
13922,367210.626,2262085.16,910.506,BS_INV-15_B_S01
13923,367237.186,2262085.126,910.013,BS_INV-15_B_S01
13924,367263.801,2262085.107,910.829,BS_INV-15_B_S01
13925,367290.341,2262085.166,911.259,BS_INV-15_B_S01
13926,366894.962,2262065.647,903.766,BS_INV-15_B_S01
13927,366948.061,2262085.095,904.624,BS_INV-15_B_S01
13928,366921.505,2262065.68,904.696,BS_INV-15_B_S01
13929,366974.692,2262065.695,906.218,BS_INV-15_B_S01
13930,367001.321,2262065.678,907.024,BS_INV-15_B_S01
13931,367027.898,2262065.699,907.554,BS_INV-15_B_S01
13932,367054.441,2262065.628,908.252,BS_INV-15_B_S01
13933,367104.29,2262065.625,909.191,BS_INV-15_B_S01
13934,367130.72,2262065.667,909.775,BS_INV-15_B_S01
13935,367157.417,2262065.672,910.705,BS_INV-15_B_S01
13936,367184.032,2262065.636,911.385,BS_INV-15_B_S01
13937,367210.579,2262065.574,911.883,BS_INV-15_B_S01
13938,367237.112,2262065.697,912.039,BS_INV-15_B_S01
13939,367263.786,2262065.64,912.457,BS_INV-15_B_S01
13940,367290.292,2262065.677,913.011,BS_INV-15_B_S01
13941,366895.046,2262046.171,904.63,BS_INV-15_B_S01
13942,366948.067,2262065.667,905.454,BS_INV-15_B_S01
13943,366948.106,2262046.076,906.063,BS_INV-15_B_S01
13944,366921.531,2262085.176,903.409,BS_INV-15_B_S01
13945,367290.4,2262104.67,910.607,BS_INV-15_B_S01
13959,366895.025,2262085.134,902.513,BS_INV-15_B_S01
13961,366921.57,2262104.673,903.174,BS_INV-15_B_S01
13962,366948.147,2262104.651,904.199,BS_INV-15_B_S01
13963,366974.732,2262104.673,904.899,BS_INV-15_B_S01
13964,367001.354,2262104.668,905.268,BS_INV-15_B_S01
13965,367027.898,2262104.67,906.222,BS_INV-15_B_S01
13966,367054.504,2262104.654,906.232,BS_INV-15_B_S01
13967,367104.247,2262104.639,907.885,BS_INV-15_B_S01
13968,367130.834,2262104.68,908.299,BS_INV-15_B_S01
13969,367157.428,2262104.661,909.214,BS_INV-15_B_S01
13970,367184.05,2262104.655,909.65,BS_INV-15_B_S01
13971,367210.637,2262104.675,909.891,BS_INV-15_B_S01
13972,367237.192,2262104.681,909.825,BS_INV-15_B_S01
13973,367263.88,2262104.672,910.313,BS_INV-15_B_S01
13974,366895.035,2262104.683,901.715,BS_INV-15_B_S01
