UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned
406,367499.918,2262533.846,899.519,BS_INV-16_B_S01,11/20/2025
422,367446.753,2262553.362,896.108,BS_INV-16_B_S01,11/20/2025
426,367367.068,2262533.893,892.967,BS_INV-16_B_S01,11/20/2025
428,367367.053,2262728.821,883.397,BS_INV-16_B_S01,11/20/2025
429,367393.578,2262728.863,883.262,BS_INV-16_B_S01,11/20/2025
492,367473.296,2262553.323,898.09,BS_INV-16_B_S01,11/20/2025
537,367499.849,2262553.261,898.919,BS_INV-16_B_S01,11/20/2025
828,367526.48,2262670.291,891.027,BS_INV-16_B_S01,11/20/2025
831,367446.756,2262650.776,889.11,BS_INV-16_B_S01,11/20/2025
832,367473.247,2262650.948,889.545,BS_INV-16_B_S01,11/20/2025
846,367367.021,2262670.249,884.893,BS_INV-16_B_S01,11/20/2025
847,367393.569,2262670.335,885.593,BS_INV-16_B_S01,11/20/2025
986,367420.063,2262650.909,887.394,BS_INV-16_B_S01,11/20/2025
1076,367393.627,2262650.913,885.71,BS_INV-16_B_S01,11/20/2025
1077,367366.987,2262650.847,885.658,BS_INV-16_B_S01,11/20/2025
1448,366841.882,2262611.899,896.705,BS_INV-16_B_S01,11/20/2025
1449,366895.118,2262611.872,898.909,BS_INV-16_B_S01,11/20/2025
1450,366921.631,2262611.809,898.737,BS_INV-16_B_S01,11/20/2025
1451,366948.259,2262611.823,898.263,BS_INV-16_B_S01,11/20/2025
1452,366974.841,2262611.861,897.663,BS_INV-16_B_S01,11/20/2025
1453,367001.466,2262611.852,896.469,BS_INV-16_B_S01,11/20/2025
1454,367027.991,2262611.894,895.176,BS_INV-16_B_S01,11/20/2025
1455,367054.579,2262611.836,893.843,BS_INV-16_B_S01,11/20/2025
1456,367104.119,2262611.944,888.974,BS_INV-16_B_S01,11/20/2025
1457,366868.512,2262611.853,898.893,BS_INV-16_B_S01,11/20/2025
1482,367210.537,2262611.874,883.598,BS_INV-16_B_S01,11/20/2025
1502,367316.854,2262631.366,883.11,BS_INV-16_B_S01,11/20/2025
1508,367316.728,2262611.857,885.23,BS_INV-16_B_S01,11/20/2025
1509,366841.981,2262631.487,895.605,BS_INV-16_B_S01,11/20/2025
1510,366868.341,2262631.389,897.522,BS_INV-16_B_S01,11/20/2025
1511,366895.041,2262631.388,897.807,BS_INV-16_B_S01,11/20/2025
1512,366921.567,2262631.336,897.966,BS_INV-16_B_S01,11/20/2025
