UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned
369,367709.077,2262865.313,888.162,BS_INV-16_B_S01,12/8/2025
374,367579.631,2262748.382,889.846,BS_INV-16_B_S01,12/8/2025
375,367629.367,2262748.382,892.697,BS_INV-16_B_S01,12/8/2025
377,367682.493,2262748.352,893.79,BS_INV-16_B_S01,12/8/2025
390,367709.034,2262884.814,887.883,BS_INV-16_B_S01,12/8/2025
393,367788.757,2262884.836,890.16,BS_INV-16_B_S01,12/8/2025
409,367579.541,2262533.852,901.792,BS_INV-16_B_S01,12/8/2025
410,367629.475,2262533.909,902.599,BS_INV-16_B_S01,12/8/2025
436,367579.596,2262728.831,891.622,BS_INV-16_B_S01,12/8/2025
437,367629.346,2262728.787,894.187,BS_INV-16_B_S01,12/8/2025
652,367579.622,2262553.374,900.753,BS_INV-16_B_S01,12/8/2025
653,367629.503,2262553.303,901.413,BS_INV-16_B_S01,12/8/2025
810,367629.319,2262670.387,896.807,BS_INV-16_B_S01,12/8/2025
811,367655.886,2262670.329,898.118,BS_INV-16_B_S01,12/8/2025
4561,368076.602,2262865.246,899.127,BS_INV-16_B_S01,12/8/2025
4564,367996.833,2262865.314,897.198,BS_INV-16_B_S01,12/8/2025
4575,368076.558,2262845.978,899.358,BS_INV-16_B_S01,12/8/2025
4578,367996.897,2262845.739,898.096,BS_INV-16_B_S01,12/8/2025
5812,367604.461,2262650.899,893.785,BS_INV-16_B_S01,12/8/2025
9653,367656.063,2262572.824,899.637,BS_INV-16_B_S01,12/8/2025
9654,367682.651,2262572.829,900.424,BS_INV-16_B_S01,12/8/2025
9655,367709.16,2262572.816,901.494,BS_INV-16_B_S01,12/8/2025
9656,367735.782,2262572.866,902.67,BS_INV-16_B_S01,12/8/2025
9657,367762.28,2262572.836,903.528,BS_INV-16_B_S01,12/8/2025
9658,367788.934,2262572.879,905.104,BS_INV-16_B_S01,12/8/2025
9659,367815.499,2262572.847,906.08,BS_INV-16_B_S01,12/8/2025
9680,367629.51,2262572.933,900.561,BS_INV-16_B_S01,12/8/2025
9681,367579.696,2262572.834,899.491,BS_INV-16_B_S01,12/8/2025
9684,367682.518,2262806.931,891.165,BS_INV-16_B_S01,12/8/2025
9685,367709.09,2262806.755,892.071,BS_INV-16_B_S01,12/8/2025
9686,367735.639,2262806.776,891.777,BS_INV-16_B_S01,12/8/2025
9687,367762.283,2262806.828,892.644,BS_INV-16_B_S01,12/8/2025
9688,367788.821,2262806.684,894.19,BS_INV-16_B_S01,12/8/2025
9689,367815.299,2262806.753,895.616,BS_INV-16_B_S01,12/8/2025
9692,367579.503,2262826.318,884.384,BS_INV-16_B_S01,12/8/2025
9693,367629.277,2262826.285,886.277,BS_INV-16_B_S01,12/8/2025
9694,367655.781,2262826.312,888.515,BS_INV-16_B_S01,12/8/2025
9695,367682.406,2262826.392,889.757,BS_INV-16_B_S01,12/8/2025
9696,367709.029,2262826.336,890.6,BS_INV-16_B_S01,12/8/2025
9698,367735.575,2262826.332,890.403,BS_INV-16_B_S01,12/8/2025
9699,367788.894,2262826.337,891.895,BS_INV-16_B_S01,12/8/2025
9700,367815.377,2262826.261,892.984,BS_INV-16_B_S01,12/8/2025
9703,367579.677,2262592.368,897.327,BS_INV-16_B_S01,12/8/2025
9704,367629.404,2262592.306,897.914,BS_INV-16_B_S01,12/8/2025
9706,367682.502,2262592.347,900.146,BS_INV-16_B_S01,12/8/2025
9707,367709.059,2262592.331,901.238,BS_INV-16_B_S01,12/8/2025
9708,367735.708,2262592.327,902.236,BS_INV-16_B_S01,12/8/2025
9709,367762.254,2262592.277,903.569,BS_INV-16_B_S01,12/8/2025
9710,367788.741,2262592.239,904.61,BS_INV-16_B_S01,12/8/2025
9711,367815.301,2262592.286,905.765,BS_INV-16_B_S01,12/8/2025
9712,367762.19,2262826.299,890.573,BS_INV-16_B_S01,12/8/2025
9745,367655.896,2262806.734,889.967,BS_INV-16_B_S01,12/8/2025
9778,367629.371,2262806.682,888.026,BS_INV-16_B_S01,12/8/2025
9850,367579.73,2262767.802,888.272,BS_INV-16_B_S01,12/8/2025
9851,367629.593,2262767.89,890.525,BS_INV-16_B_S01,12/8/2025
9852,367655.832,2262767.824,891.918,BS_INV-16_B_S01,12/8/2025
9853,367682.558,2262767.846,893.837,BS_INV-16_B_S01,12/8/2025
9854,367709.089,2262767.806,893.446,BS_INV-16_B_S01,12/8/2025
9855,367735.642,2262767.867,893.86,BS_INV-16_B_S01,12/8/2025
9857,367762.188,2262767.777,894.97,BS_INV-16_B_S01,12/8/2025
9858,367815.253,2262767.892,898.618,BS_INV-16_B_S01,12/8/2025
9861,367579.619,2262787.285,887.137,BS_INV-16_B_S01,12/8/2025
9862,367629.37,2262787.276,889.233,BS_INV-16_B_S01,12/8/2025
9863,367655.799,2262787.252,891.179,BS_INV-16_B_S01,12/8/2025
9864,367682.491,2262787.257,893.104,BS_INV-16_B_S01,12/8/2025
9865,367708.997,2262787.164,892.925,BS_INV-16_B_S01,12/8/2025
9866,367735.653,2262787.227,893.184,BS_INV-16_B_S01,12/8/2025
9867,367762.233,2262787.257,894.19,BS_INV-16_B_S01,12/8/2025
9868,367788.746,2262787.264,896.352,BS_INV-16_B_S01,12/8/2025
9869,367815.368,2262787.22,897.431,BS_INV-16_B_S01,12/8/2025
9871,367788.775,2262767.867,897.585,BS_INV-16_B_S01,12/8/2025
9872,367579.576,2262806.783,885.846,BS_INV-16_B_S01,12/8/2025
13734,367579.375,2262611.884,895.37,BS_INV-16_B_S01,12/8/2025
13735,367629.306,2262611.877,896.279,BS_INV-16_B_S01,12/8/2025
13736,367655.948,2262611.926,897.478,BS_INV-16_B_S01,12/8/2025
13737,367682.445,2262611.899,899.182,BS_INV-16_B_S01,12/8/2025
13738,367708.996,2262611.84,900.171,BS_INV-16_B_S01,12/8/2025
13739,367735.559,2262611.872,900.775,BS_INV-16_B_S01,12/8/2025
13740,367762.179,2262611.824,902.643,BS_INV-16_B_S01,12/8/2025
13741,367788.778,2262611.841,903.325,BS_INV-16_B_S01,12/8/2025
13742,367815.293,2262611.881,904.616,BS_INV-16_B_S01,12/8/2025
13745,367579.633,2262631.311,893.39,BS_INV-16_B_S01,12/8/2025
13746,367629.304,2262631.352,896.027,BS_INV-16_B_S01,12/8/2025
13747,367655.795,2262631.392,897.581,BS_INV-16_B_S01,12/8/2025
13748,367682.399,2262631.339,898.937,BS_INV-16_B_S01,12/8/2025
13749,367708.971,2262631.321,899.951,BS_INV-16_B_S01,12/8/2025
13750,367735.577,2262631.4,901.028,BS_INV-16_B_S01,12/8/2025
13768,367762.065,2262631.318,901.549,BS_INV-16_B_S01,12/8/2025
13784,367788.786,2262631.361,902.122,BS_INV-16_B_S01,12/8/2025
13785,367815.221,2262631.335,902.704,BS_INV-16_B_S01,12/8/2025
19845,367579.59,2262845.811,884.363,BS_INV-16_B_S01,12/8/2025
19846,367629.336,2262845.758,885.033,BS_INV-16_B_S01,12/8/2025
19847,367655.946,2262845.803,886.154,BS_INV-16_B_S01,12/8/2025
19848,367682.565,2262845.826,888.438,BS_INV-16_B_S01,12/8/2025
19849,367709.093,2262845.783,889.131,BS_INV-16_B_S01,12/8/2025
19850,367735.667,2262845.803,889.523,BS_INV-16_B_S01,12/8/2025
19851,367762.265,2262845.757,889.414,BS_INV-16_B_S01,12/8/2025
19852,367788.794,2262845.781,890.199,BS_INV-16_B_S01,12/8/2025
19891,367579.637,2262709.46,892.056,BS_INV-16_B_S01,12/8/2025
19892,367629.366,2262709.283,895.359,BS_INV-16_B_S01,12/8/2025
19893,367709.35,2262514.354,904.018,BS_INV-16_B_S01,12/8/2025
19894,367735.826,2262514.335,904.813,BS_INV-16_B_S01,12/8/2025
