UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned
2172,365847.501,2261246.796,896.592,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
2173,365874.002,2261246.755,897.551,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
2174,365900.596,2261246.701,897.794,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
2175,365927.182,2261246.716,898.141,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
2177,365953.736,2261246.751,898.561,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
2234,365847.456,2261266.231,897.021,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
2235,365874.086,2261266.281,898.073,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
2236,365900.651,2261266.233,898.252,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
2237,365927.235,2261266.243,898.625,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
2238,365953.821,2261266.228,898.832,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
5395,365847.431,2261149.219,895.114,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
5396,365874.03,2261149.272,895.963,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
5397,365900.619,2261149.251,895.859,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
5398,365927.172,2261149.272,895.754,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
5399,365953.829,2261149.244,896.285,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
5436,365847.457,2261129.728,894.856,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
5459,365874.018,2261129.773,895.962,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
5460,365900.62,2261129.774,895.468,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
5461,365927.177,2261129.752,895.138,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
5462,365953.756,2261129.764,895.515,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
12771,365691.255,2261519.767,894.143,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
12772,365717.804,2261519.838,894.618,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
12773,365744.39,2261519.894,895.306,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
12774,365770.947,2261519.787,895.972,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
12786,365691.213,2261500.3,894.688,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
12787,365717.732,2261500.307,895.351,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
12788,365744.303,2261500.381,896.169,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
12789,365770.934,2261500.356,896.847,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
12820,365691.151,2261539.28,893.086,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
12821,365717.794,2261539.336,893.714,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
12822,365744.378,2261539.332,894.299,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
12823,365770.981,2261539.307,894.9,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
12965,365691.193,2260954.109,883.847,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
12966,365717.768,2260954.221,885.075,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
12967,365744.369,2260954.19,886.229,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
12968,365770.963,2260954.187,887.308,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
12980,365691.164,2260934.645,883.69,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
12981,365717.751,2260934.679,884.549,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
12982,365744.306,2260934.655,885.661,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
12983,365770.899,2260934.65,887.023,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
12998,365691.214,2261305.325,893.27,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
12999,365717.765,2261305.23,893.584,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
13000,365744.457,2261305.304,893.762,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
13001,365770.939,2261305.258,894.063,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
13013,365691.21,2260973.747,884.349,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
13014,365717.819,2260973.727,885.837,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
13015,365744.359,2260973.714,886.821,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
13016,365771.045,2260973.726,887.43,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
13025,365691.188,2260876.185,883.865,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
13026,365717.74,2260876.113,883.92,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
13027,365744.275,2260876.194,885.044,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
13028,365770.957,2260876.084,886.322,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
13059,365691.152,2260915.163,883.791,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
13060,365717.746,2260915.164,883.96,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
13061,365744.34,2260915.183,885.177,Finn_INV-21_Z-02_B_S03.csv,1/2/2025
