UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned
944,373941.812,2266211.857,848.626,BS_INV-02_B_S01,2/12/2026
945,373919.626,2266211.876,848.59,BS_INV-02_B_S01,2/12/2026
946,373897.472,2266211.804,848.82,BS_INV-02_B_S01,2/12/2026
947,373870.749,2266211.838,848.332,BS_INV-02_B_S01,2/12/2026
948,373848.535,2266211.852,847.309,BS_INV-02_B_S01,2/12/2026
949,373798.679,2266211.821,845.457,BS_INV-02_B_S01,2/12/2026
950,373772.264,2266211.827,845.098,BS_INV-02_B_S01,2/12/2026
951,373745.796,2266211.909,844.434,BS_INV-02_B_S01,2/12/2026
953,373719.121,2266211.941,844.289,BS_INV-02_B_S01,2/12/2026
954,373665.973,2266211.849,840.543,BS_INV-02_B_S01,2/12/2026
955,373639.398,2266211.84,839.973,BS_INV-02_B_S01,2/12/2026
956,373612.76,2266211.801,838.949,BS_INV-02_B_S01,2/12/2026
957,373586.278,2266211.794,838.156,BS_INV-02_B_S01,2/12/2026
958,373942.003,2266192.321,848.748,BS_INV-02_B_S01,2/12/2026
959,373919.738,2266192.344,848.769,BS_INV-02_B_S01,2/12/2026
960,373897.488,2266192.326,848.828,BS_INV-02_B_S01,2/12/2026
961,373870.853,2266192.361,848.388,BS_INV-02_B_S01,2/12/2026
962,373692.406,2266211.897,841.822,BS_INV-02_B_S01,2/12/2026
2155,373848.637,2266192.347,847.369,BS_INV-02_B_S01,2/12/2026
2874,373798.82,2266192.35,846.264,BS_INV-02_B_S01,2/12/2026
2876,373745.644,2266192.411,845.344,BS_INV-02_B_S01,2/12/2026
3595,374254.388,2266231.248,848.588,BS_INV-02_B_S01,2/12/2026
3596,374280.997,2266231.288,848.932,BS_INV-02_B_S01,2/12/2026
3597,374307.556,2266231.261,848.873,BS_INV-02_B_S01,2/12/2026
3598,374334.186,2266231.326,849.385,BS_INV-02_B_S01,2/12/2026
3599,374360.754,2266231.321,849.399,BS_INV-02_B_S01,2/12/2026
3600,374387.32,2266231.282,849.812,BS_INV-02_B_S01,2/12/2026
3601,374413.931,2266231.26,850.073,BS_INV-02_B_S01,2/12/2026
3602,374440.548,2266231.28,851.316,BS_INV-02_B_S01,2/12/2026
3603,374204.556,2266231.289,848.006,BS_INV-02_B_S01,2/12/2026
3604,374467.119,2266231.265,851.829,BS_INV-02_B_S01,2/12/2026
3605,374018.47,2266133.815,848.689,BS_INV-02_B_S01,2/12/2026
3606,374045.066,2266133.778,848.544,BS_INV-02_B_S01,2/12/2026
3607,374071.584,2266133.784,848.442,BS_INV-02_B_S01,2/12/2026
3608,374098.243,2266133.81,848.432,BS_INV-02_B_S01,2/12/2026
3609,374124.806,2266133.796,848.298,BS_INV-02_B_S01,2/12/2026
3610,374151.407,2266133.818,848.429,BS_INV-02_B_S01,2/12/2026
3611,374177.966,2266133.8,848.626,BS_INV-02_B_S01,2/12/2026
3612,374204.578,2266133.798,848.746,BS_INV-02_B_S01,2/12/2026
3613,373991.867,2266133.839,848.74,BS_INV-02_B_S01,2/12/2026
3614,374254.407,2266133.819,849.338,BS_INV-02_B_S01,2/12/2026
3615,374178.022,2266231.277,847.575,BS_INV-02_B_S01,2/12/2026
3616,374124.81,2266231.333,847.158,BS_INV-02_B_S01,2/12/2026
3617,374098.128,2266250.94,846.578,BS_INV-02_B_S01,2/12/2026
