UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned
5122,365744.376,2259062.726,891.94,BS_INV-18_B_S01,1/28/2026
5123,365771.006,2259062.734,892.271,BS_INV-18_B_S01,1/28/2026
5124,365797.646,2259062.73,892.554,BS_INV-18_B_S01,1/28/2026
5125,365847.41,2259062.773,892.401,BS_INV-18_B_S01,1/28/2026
5126,365874.016,2259062.733,892.299,BS_INV-18_B_S01,1/28/2026
5127,365900.608,2259062.738,892.206,BS_INV-18_B_S01,1/28/2026
5128,365927.209,2259062.718,892.358,BS_INV-18_B_S01,1/28/2026
5129,365953.775,2259062.707,892.505,BS_INV-18_B_S01,1/28/2026
5130,365717.797,2259062.718,891.56,BS_INV-18_B_S01,1/28/2026
5131,365980.373,2259062.712,892.429,BS_INV-18_B_S01,1/28/2026
5132,366033.546,2259062.691,891.693,BS_INV-18_B_S01,1/28/2026
5133,366060.175,2259062.74,891.856,BS_INV-18_B_S01,1/28/2026
5134,366109.962,2259062.739,892.009,BS_INV-18_B_S01,1/28/2026
5135,366136.58,2259062.699,892.277,BS_INV-18_B_S01,1/28/2026
5136,366163.141,2259062.72,892.367,BS_INV-18_B_S01,1/28/2026
5137,366189.742,2259062.711,892.545,BS_INV-18_B_S01,1/28/2026
5138,366216.338,2259062.737,892.382,BS_INV-18_B_S01,1/28/2026
5139,366242.957,2259062.742,892.135,BS_INV-18_B_S01,1/28/2026
5140,366006.92,2259062.73,892.013,BS_INV-18_B_S01,1/28/2026
5141,365691.189,2259062.722,891.532,BS_INV-18_B_S01,1/28/2026
5142,365664.64,2259062.717,891.439,BS_INV-18_B_S01,1/28/2026
5143,365638.021,2259062.741,891.507,BS_INV-18_B_S01,1/28/2026
5144,366136.585,2259296.811,890.278,BS_INV-18_B_S01,1/28/2026
5145,366163.15,2259296.841,889.743,BS_INV-18_B_S01,1/28/2026
5146,366189.714,2259296.818,889.085,BS_INV-18_B_S01,1/28/2026
5147,366216.304,2259296.876,888.388,BS_INV-18_B_S01,1/28/2026
5148,366242.93,2259296.881,888.283,BS_INV-18_B_S01,1/28/2026
5149,366269.536,2259296.892,888.89,BS_INV-18_B_S01,1/28/2026
5150,366296.093,2259296.82,889.876,BS_INV-18_B_S01,1/28/2026
5151,366322.674,2259296.796,890.88,BS_INV-18_B_S01,1/28/2026
5152,365322.29,2259062.643,889.293,BS_INV-18_B_S01,1/28/2026
5153,365348.828,2259062.711,889.302,BS_INV-18_B_S01,1/28/2026
5154,365375.456,2259062.76,889.381,BS_INV-18_B_S01,1/28/2026
5155,365402.081,2259062.729,889.575,BS_INV-18_B_S01,1/28/2026
5156,365428.688,2259062.721,889.601,BS_INV-18_B_S01,1/28/2026
5157,365455.248,2259062.828,889.955,BS_INV-18_B_S01,1/28/2026
5158,365481.817,2259062.761,890.329,BS_INV-18_B_S01,1/28/2026
5159,365508.445,2259062.71,890.831,BS_INV-18_B_S01,1/28/2026
5160,365535.019,2259062.732,891.038,BS_INV-18_B_S01,1/28/2026
5161,365584.811,2259062.766,891.331,BS_INV-18_B_S01,1/28/2026
5162,365611.443,2259062.792,891.496,BS_INV-18_B_S01,1/28/2026
5163,366269.516,2259062.725,891.566,BS_INV-18_B_S01,1/28/2026
5165,366296.079,2259062.781,891.404,BS_INV-18_B_S01,1/28/2026
5166,365322.3,2259043.218,889.45,BS_INV-18_B_S01,1/28/2026
5167,366006.962,2259043.25,892.545,BS_INV-18_B_S01,1/28/2026
5168,366033.55,2259043.216,892.234,BS_INV-18_B_S01,1/28/2026
5169,366060.08,2259043.26,892.354,BS_INV-18_B_S01,1/28/2026
5170,366109.98,2259043.32,892.427,BS_INV-18_B_S01,1/28/2026
5171,366136.53,2259043.286,892.766,BS_INV-18_B_S01,1/28/2026
5172,366163.16,2259043.317,893.09,BS_INV-18_B_S01,1/28/2026
5173,366189.773,2259043.306,893.013,BS_INV-18_B_S01,1/28/2026
5174,366216.405,2259043.259,893.079,BS_INV-18_B_S01,1/28/2026
5175,365980.363,2259043.258,892.607,BS_INV-18_B_S01,1/28/2026
5176,366242.856,2259043.251,892.755,BS_INV-18_B_S01,1/28/2026
5177,366296.103,2259043.271,891.683,BS_INV-18_B_S01,1/28/2026
5178,366322.7,2259043.284,891.768,BS_INV-18_B_S01,1/28/2026
5185,366269.522,2259043.32,892.017,BS_INV-18_B_S01,1/28/2026
5186,365953.751,2259043.2,892.743,BS_INV-18_B_S01,1/28/2026
5187,365927.211,2259043.15,892.537,BS_INV-18_B_S01,1/28/2026
5188,365900.65,2259043.234,892.552,BS_INV-18_B_S01,1/28/2026
5189,365348.835,2259043.166,889.668,BS_INV-18_B_S01,1/28/2026
5190,365375.499,2259043.165,890.085,BS_INV-18_B_S01,1/28/2026
5191,365402.068,2259043.19,890.386,BS_INV-18_B_S01,1/28/2026
5192,365428.652,2259043.212,890.489,BS_INV-18_B_S01,1/28/2026
5193,365455.293,2259043.194,890.651,BS_INV-18_B_S01,1/28/2026
5194,365481.813,2259043.217,890.986,BS_INV-18_B_S01,1/28/2026
5195,365508.479,2259043.18,891.267,BS_INV-18_B_S01,1/28/2026
5196,365534.988,2259043.251,891.574,BS_INV-18_B_S01,1/28/2026
5197,365584.864,2259043.223,891.856,BS_INV-18_B_S01,1/28/2026
5198,365611.432,2259043.218,891.713,BS_INV-18_B_S01,1/28/2026
5199,365638.04,2259043.24,891.862,BS_INV-18_B_S01,1/28/2026
5200,365664.602,2259043.183,891.841,BS_INV-18_B_S01,1/28/2026
5201,365691.18,2259043.235,891.712,BS_INV-18_B_S01,1/28/2026
5202,365717.825,2259043.215,892.022,BS_INV-18_B_S01,1/28/2026
5203,365744.421,2259043.212,892.461,BS_INV-18_B_S01,1/28/2026
5204,365770.962,2259043.199,892.933,BS_INV-18_B_S01,1/28/2026
5205,365797.616,2259043.211,893.317,BS_INV-18_B_S01,1/28/2026
5206,365847.418,2259043.206,892.826,BS_INV-18_B_S01,1/28/2026
5207,365874.026,2259043.246,892.577,BS_INV-18_B_S01,1/28/2026
5208,366322.696,2259062.83,891.247,BS_INV-18_B_S01,1/28/2026
5299,366109.954,2259296.861,891.135,BS_INV-18_B_S01,1/28/2026
5389,366060.115,2259296.847,892.039,BS_INV-18_B_S01,1/28/2026
5391,366006.986,2259296.777,892.379,BS_INV-18_B_S01,1/28/2026
5418,366033.537,2259296.811,892.234,BS_INV-18_B_S01,1/28/2026
5575,365847.515,2259433.368,890.799,BS_INV-18_B_S01,1/28/2026
5576,365874.038,2259433.366,890.247,BS_INV-18_B_S01,1/28/2026
5577,365900.656,2259433.399,889.659,BS_INV-18_B_S01,1/28/2026
5578,365927.282,2259433.323,889.683,BS_INV-18_B_S01,1/28/2026
5579,365953.813,2259433.399,889.774,BS_INV-18_B_S01,1/28/2026
5581,365980.45,2259433.348,889.855,BS_INV-18_B_S01,1/28/2026
5582,366033.587,2259433.34,889.039,BS_INV-18_B_S01,1/28/2026
5583,366060.197,2259433.34,888.257,BS_INV-18_B_S01,1/28/2026
5584,366109.941,2259433.43,886.825,BS_INV-18_B_S01,1/28/2026
5585,366136.603,2259433.393,886.612,BS_INV-18_B_S01,1/28/2026
5586,366163.19,2259433.338,886.472,BS_INV-18_B_S01,1/28/2026
5587,366189.774,2259433.263,886.489,BS_INV-18_B_S01,1/28/2026
