UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned
1483,363993.743,2258786.527,889.662,BS_INV-35_B_S01,2/10/2026
1484,364020.423,2258786.507,889.331,BS_INV-35_B_S01,2/10/2026
1485,364046.936,2258786.525,888.741,BS_INV-35_B_S01,2/10/2026
1486,364073.604,2258786.517,888.278,BS_INV-35_B_S01,2/10/2026
1487,364100.096,2258786.452,887.906,BS_INV-35_B_S01,2/10/2026
1488,364126.746,2258786.498,887.059,BS_INV-35_B_S01,2/10/2026
1489,364153.292,2258786.494,886.452,BS_INV-35_B_S01,2/10/2026
1490,364179.834,2258786.451,885.374,BS_INV-35_B_S01,2/10/2026
1491,363967.246,2258786.524,889.926,BS_INV-35_B_S01,2/10/2026
1492,364229.794,2258786.573,884.343,BS_INV-35_B_S01,2/10/2026
1493,364283.028,2258786.569,883.46,BS_INV-35_B_S01,2/10/2026
1494,364309.613,2258786.592,883.211,BS_INV-35_B_S01,2/10/2026
1495,364336.252,2258786.569,883.337,BS_INV-35_B_S01,2/10/2026
1496,364362.85,2258786.544,883.15,BS_INV-35_B_S01,2/10/2026
1497,364389.443,2258786.548,883.089,BS_INV-35_B_S01,2/10/2026
1498,364416.02,2258786.544,883.265,BS_INV-35_B_S01,2/10/2026
1499,364442.6,2258786.555,883.162,BS_INV-35_B_S01,2/10/2026
1500,363967.263,2258767.062,889.386,BS_INV-35_B_S01,2/10/2026
1501,364256.425,2258786.581,883.632,BS_INV-35_B_S01,2/10/2026
1570,363993.918,2258766.989,889.128,BS_INV-35_B_S01,2/10/2026
1615,364020.434,2258767.034,888.91,BS_INV-35_B_S01,2/10/2026
1616,364047.052,2258767.069,888.289,BS_INV-35_B_S01,2/10/2026
1617,364073.636,2258767.021,887.725,BS_INV-35_B_S01,2/10/2026
1626,364967.738,2258474.5,887.19,BS_INV-35_B_S01,2/10/2026
1637,364941.186,2258474.519,887.201,BS_INV-35_B_S01,2/10/2026
1638,364914.633,2258474.521,887.147,BS_INV-35_B_S01,2/10/2026
1639,364887.905,2258474.525,887.096,BS_INV-35_B_S01,2/10/2026
1640,364861.31,2258493.92,886.974,BS_INV-35_B_S01,2/10/2026
1641,364887.863,2258493.942,887.102,BS_INV-35_B_S01,2/10/2026
1642,364914.551,2258493.952,887.137,BS_INV-35_B_S01,2/10/2026
1643,364941.135,2258493.975,887.075,BS_INV-35_B_S01,2/10/2026
1644,364967.649,2258493.945,887.229,BS_INV-35_B_S01,2/10/2026
1645,364492.458,2258474.531,887.181,BS_INV-35_B_S01,2/10/2026
1646,364519.049,2258474.546,887.029,BS_INV-35_B_S01,2/10/2026
1647,364545.616,2258474.554,887.032,BS_INV-35_B_S01,2/10/2026
1648,364572.293,2258474.55,886.73,BS_INV-35_B_S01,2/10/2026
1649,364598.718,2258474.307,886.6,BS_INV-35_B_S01,2/10/2026
1650,364625.383,2258474.539,886.628,BS_INV-35_B_S01,2/10/2026
1651,364651.968,2258474.516,886.89,BS_INV-35_B_S01,2/10/2026
1652,364678.54,2258474.479,887.577,BS_INV-35_B_S01,2/10/2026
1653,364705.195,2258474.48,888.093,BS_INV-35_B_S01,2/10/2026
