UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned
45956,2270834.921,372835.8485,837.702696,BS_INV-5_B_S01,2/23/2026
41504,2270815.353,373165.228,839.1375,BS_INV-5_B_S01,2/23/2026
35412,2270815.383,373138.5794,838.964828,BS_INV-5_B_S01,2/23/2026
35411,2270815.335,373111.932,838.635494,BS_INV-5_B_S01,2/23/2026
35395,2270815.358,373085.4083,838.83925,BS_INV-5_B_S01,2/23/2026
35377,2270815.334,373058.7729,839.24422,BS_INV-5_B_S01,2/23/2026
35376,2270815.328,373032.1416,838.695596,BS_INV-5_B_S01,2/23/2026
35375,2270815.331,373005.5984,838.615216,BS_INV-5_B_S01,2/23/2026
35374,2270815.346,372979.0021,838.567276,BS_INV-5_B_S01,2/23/2026
48274,2270815.439,372954.137,838.698486,BS_INV-5_B_S01,2/23/2026
35373,2270815.342,372929.1796,838.657181,BS_INV-5_B_S01,2/23/2026
35372,2270815.402,372906.9621,838.373686,BS_INV-5_B_S01,2/23/2026
35371,2270815.366,372880.3283,838.110174,BS_INV-5_B_S01,2/23/2026
35370,2270815.403,372858.0992,837.951918,BS_INV-5_B_S01,2/23/2026
45957,2270815.392,372835.8668,837.876258,BS_INV-5_B_S01,2/23/2026
41502,2270795.852,373165.1161,838.896192,BS_INV-5_B_S01,2/23/2026
35369,2270795.826,373138.5285,838.405992,BS_INV-5_B_S01,2/23/2026
35368,2270795.803,373111.9386,838.514583,BS_INV-5_B_S01,2/23/2026
35367,2270795.811,373085.3223,838.580216,BS_INV-5_B_S01,2/23/2026
35366,2270795.839,373058.7711,838.950892,BS_INV-5_B_S01,2/23/2026
35365,2270795.794,373032.114,838.460152,BS_INV-5_B_S01,2/23/2026
35364,2270795.805,373005.583,838.18134,BS_INV-5_B_S01,2/23/2026
35363,2270795.811,372979.0096,838.3875,BS_INV-5_B_S01,2/23/2026
48275,2270795.884,372954.0897,838.4229,BS_INV-5_B_S01,2/23/2026
35362,2270795.795,372929.1304,838.374992,BS_INV-5_B_S01,2/23/2026
35361,2270795.84,372906.8934,838.137692,BS_INV-5_B_S01,2/23/2026
35360,2270795.85,372880.3026,837.778932,BS_INV-5_B_S01,2/23/2026
35359,2270795.891,372858.0651,837.557471,BS_INV-5_B_S01,2/23/2026
45958,2270795.875,372835.8301,837.366364,BS_INV-5_B_S01,2/23/2026
41500,2270776.368,373165.0826,838.62867,BS_INV-5_B_S01,2/23/2026
35358,2270776.354,373138.5394,838.415005,BS_INV-5_B_S01,2/23/2026
35357,2270776.356,373111.9086,838.311969,BS_INV-5_B_S01,2/23/2026
35356,2270776.353,373085.3162,838.442096,BS_INV-5_B_S01,2/23/2026
35355,2270776.374,373058.7051,838.897108,BS_INV-5_B_S01,2/23/2026
35354,2270776.366,373032.1225,838.43621,BS_INV-5_B_S01,2/23/2026
35353,2270776.362,373005.5465,838.29215,BS_INV-5_B_S01,2/23/2026
35352,2270776.378,372978.9045,838.40456,BS_INV-5_B_S01,2/23/2026
48222,2270776.376,372954.0429,838.426315,BS_INV-5_B_S01,2/23/2026
35351,2270776.38,372929.1568,838.235392,BS_INV-5_B_S01,2/23/2026
35378,2270776.429,372906.8652,838.12166,BS_INV-5_B_S01,2/23/2026
35379,2270776.387,372880.2643,837.61216,BS_INV-5_B_S01,2/23/2026
35380,2270776.497,372858.0873,837.635851,BS_INV-5_B_S01,2/23/2026
45959,2270776.397,372835.8063,836.996606,BS_INV-5_B_S01,2/23/2026
41498,2270756.861,373165.0912,838.399866,BS_INV-5_B_S01,2/23/2026
35381,2270756.898,373138.5122,838.275658,BS_INV-5_B_S01,2/23/2026
35409,2270756.923,373112.0332,837.982202,BS_INV-5_B_S01,2/23/2026
4041,2271166.366,373165.1364,843.607462,BS_INV-5_B_S01,2/23/2026
4016,2271166.337,373138.5172,843.414552,BS_INV-5_B_S01,2/23/2026
4015,2271166.37,373111.912,843.28448,BS_INV-5_B_S01,2/23/2026
4014,2271166.357,373085.3006,843.131348,BS_INV-5_B_S01,2/23/2026
4013,2271166.365,373058.6957,843.154915,BS_INV-5_B_S01,2/23/2026
4012,2271166.367,373032.096,843.240687,BS_INV-5_B_S01,2/23/2026
4011,2271166.378,373005.5245,842.892056,BS_INV-5_B_S01,2/23/2026
4010,2271166.4,372978.9495,842.805243,BS_INV-5_B_S01,2/23/2026
5992,2271166.434,372954.0913,843.04752,BS_INV-5_B_S01,2/23/2026
4009,2271166.367,372929.1288,843.27927,BS_INV-5_B_S01,2/23/2026
4017,2271166.348,372906.8619,843.231711,BS_INV-5_B_S01,2/23/2026
4008,2271166.381,372880.2579,842.700875,BS_INV-5_B_S01,2/23/2026
4006,2271166.349,372857.9995,842.715107,BS_INV-5_B_S01,2/23/2026
4005,2271166.352,372835.7328,842.321573,BS_INV-5_B_S01,2/23/2026
4003,2271146.863,373165.1375,843.32741,BS_INV-5_B_S01,2/23/2026
4002,2271146.842,373138.5243,843.256388,BS_INV-5_B_S01,2/23/2026
4001,2271146.857,373111.9362,843.190508,BS_INV-5_B_S01,2/23/2026
4000,2271146.844,373085.376,843.199576,BS_INV-5_B_S01,2/23/2026
3999,2271146.865,373058.7422,842.910488,BS_INV-5_B_S01,2/23/2026
4007,2271146.848,373032.1433,842.93783,BS_INV-5_B_S01,2/23/2026
4018,2271146.878,373005.5806,842.88722,BS_INV-5_B_S01,2/23/2026
4019,2271146.88,372978.9597,843.094491,BS_INV-5_B_S01,2/23/2026
5991,2271146.94,372954.0603,843.283067,BS_INV-5_B_S01,2/23/2026
4020,2271146.879,372929.1235,843.193915,BS_INV-5_B_S01,2/23/2026
4039,2271146.853,372906.8807,843.203284,BS_INV-5_B_S01,2/23/2026
4038,2271146.879,372880.3187,842.911856,BS_INV-5_B_S01,2/23/2026
4037,2271146.84,372858.0602,842.782601,BS_INV-5_B_S01,2/23/2026
4036,2271146.907,372835.7989,842.339955,BS_INV-5_B_S01,2/23/2026
41535,2271127.433,373165.1331,843.3366,BS_INV-5_B_S01,2/23/2026
34793,2271127.407,373138.5003,843.126326,BS_INV-5_B_S01,2/23/2026
34806,2271127.589,373111.8868,843.2659,BS_INV-5_B_S01,2/23/2026
34792,2271127.361,373085.4177,843.017566,BS_INV-5_B_S01,2/23/2026
34790,2271127.363,373058.6991,843.0442,BS_INV-5_B_S01,2/23/2026
34789,2271127.366,373032.0724,842.838056,BS_INV-5_B_S01,2/23/2026
34788,2271127.373,373005.4988,842.735864,BS_INV-5_B_S01,2/23/2026
34787,2271127.36,372978.8868,842.605501,BS_INV-5_B_S01,2/23/2026
48278,2271127.423,372954.1467,842.836228,BS_INV-5_B_S01,2/23/2026
34786,2271127.357,372929.1258,842.866838,BS_INV-5_B_S01,2/23/2026
34785,2271127.38,372906.84,842.75,BS_INV-5_B_S01,2/23/2026
34784,2271127.356,372880.2492,842.62888,BS_INV-5_B_S01,2/23/2026
34783,2271127.358,372858.0286,842.467,BS_INV-5_B_S01,2/23/2026
45748,2271127.344,372835.7339,842.537092,BS_INV-5_B_S01,2/23/2026
41549,2271107.871,373165.1259,842.866149,BS_INV-5_B_S01,2/23/2026
34782,2271107.86,373138.5229,842.75947,BS_INV-5_B_S01,2/23/2026
34781,2271107.867,373111.9209,842.9547,BS_INV-5_B_S01,2/23/2026
34780,2271107.854,373085.3133,842.818204,BS_INV-5_B_S01,2/23/2026
34779,2271107.852,373058.7226,842.926314,BS_INV-5_B_S01,2/23/2026
34778,2271107.897,373032.1541,842.814861,BS_INV-5_B_S01,2/23/2026
34791,2271107.9,373005.5367,842.497445,BS_INV-5_B_S01,2/23/2026
34808,2271107.878,372978.9539,842.537065,BS_INV-5_B_S01,2/23/2026
48277,2271107.83,372954.1028,843.021769,BS_INV-5_B_S01,2/23/2026
34823,2271107.863,372929.1353,842.594962,BS_INV-5_B_S01,2/23/2026
34809,2271107.826,372906.8567,842.52622,BS_INV-5_B_S01,2/23/2026
34837,2271107.843,372880.2443,842.689395,BS_INV-5_B_S01,2/23/2026
34836,2271107.808,372858.0282,842.447,BS_INV-5_B_S01,2/23/2026
45749,2271107.84,372835.7782,842.469,BS_INV-5_B_S01,2/23/2026
41551,2271088.355,373165.0961,842.828717,BS_INV-5_B_S01,2/23/2026
34835,2271088.342,373138.5335,842.712296,BS_INV-5_B_S01,2/23/2026
34834,2271088.363,373111.881,842.660345,BS_INV-5_B_S01,2/23/2026
34833,2271088.358,373085.3259,842.8017,BS_INV-5_B_S01,2/23/2026
34832,2271088.318,373058.7102,842.609909,BS_INV-5_B_S01,2/23/2026
34831,2271088.359,373032.1239,842.7594,BS_INV-5_B_S01,2/23/2026
34830,2271088.311,373005.5415,842.595133,BS_INV-5_B_S01,2/23/2026
34829,2271088.372,372978.955,842.690139,BS_INV-5_B_S01,2/23/2026
48276,2271088.385,372954.0983,842.736734,BS_INV-5_B_S01,2/23/2026
34828,2271088.341,372929.1196,842.799815,BS_INV-5_B_S01,2/23/2026
34827,2271088.374,372906.8748,842.711676,BS_INV-5_B_S01,2/23/2026
34826,2271088.344,372880.3295,842.581476,BS_INV-5_B_S01,2/23/2026
34825,2271088.351,372858.0802,842.597226,BS_INV-5_B_S01,2/23/2026
45750,2271088.338,372835.7408,842.432332,BS_INV-5_B_S01,2/23/2026
41568,2271068.858,373165.109,842.410435,BS_INV-5_B_S01,2/23/2026
34838,2271068.851,373138.5547,842.375763,BS_INV-5_B_S01,2/23/2026
34824,2271068.837,373111.9351,842.372874,BS_INV-5_B_S01,2/23/2026
34822,2271068.842,373085.2898,842.555574,BS_INV-5_B_S01,2/23/2026
34821,2271068.885,373058.7386,842.0037,BS_INV-5_B_S01,2/23/2026
34820,2271068.835,373032.0943,842.261812,BS_INV-5_B_S01,2/23/2026
34819,2271068.867,373005.5882,842.269636,BS_INV-5_B_S01,2/23/2026
34818,2271068.841,372978.9324,842.386807,BS_INV-5_B_S01,2/23/2026
48261,2271068.911,372954.0979,842.43573,BS_INV-5_B_S01,2/23/2026
34817,2271068.867,372929.0992,842.459336,BS_INV-5_B_S01,2/23/2026
34816,2271068.85,372906.8992,842.37285,BS_INV-5_B_S01,2/23/2026
34815,2271068.849,372880.2965,842.232052,BS_INV-5_B_S01,2/23/2026
34814,2271068.836,372858.0734,842.656142,BS_INV-5_B_S01,2/23/2026
45751,2271068.851,372835.7963,842.212754,BS_INV-5_B_S01,2/23/2026
41566,2271049.366,373165.1112,842.559383,BS_INV-5_B_S01,2/23/2026
34813,2271049.386,373138.4693,842.10844,BS_INV-5_B_S01,2/23/2026
34812,2271049.377,373111.9228,842.064404,BS_INV-5_B_S01,2/23/2026
34811,2271049.403,373085.3282,842.140182,BS_INV-5_B_S01,2/23/2026
34810,2271049.373,373058.6911,841.7131,BS_INV-5_B_S01,2/23/2026
