UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned,Detected,Pile_Height,Top_X,Top_Y,Top_Z,Bot_X,Bot_Y,Bot_Z,Lean_East_Deg,Lean_North_Deg,Tracker_Slope_Pct,Elv_Dz_Deg,Abs_Elv_Dz,Bot_X_1ft,Bot_Y_1ft,Bot_Z_1ft
500181,365854.477,2260031.89,889.036,BS-INV-19-S06 Non Array,,,,,,,,,,,,,,,,,
500182,365854.463,2260040.63,889.147,BS-INV-19-S06 Non Array,,,,,,,,,,,,,,,,,
500183,365854.515,2260045.95,889.006,BS-INV-19-S06 Non Array,,,,,,,,,,,,,,,,,
500184,365854.56,2260051.08,888.996,BS-INV-19-S06 Non Array,,,,,,,,,,,,,,,,,
500185,365854.519,2260058.65,889.068,BS-INV-19-S06 Non Array,,,,,,,,,,,,,,,,,
500186,365854.532,2260064.67,889.079,BS-INV-19-S06 Non Array,,,,,,,,,,,,,,,,,
500187,365858.135,2260064.61,889.105,BS-INV-19-S06 Non Array,,,,,,,,,,,,,,,,,
500188,365858.165,2260058.61,888.877,BS-INV-19-S06 Non Array,,,,,,,,,,,,,,,,,
500189,365858.169,2260051.1,889.01,BS-INV-19-S06 Non Array,,,,,,,,,,,,,,,,,
500190,365858.185,2260046.05,889.129,BS-INV-19-S06 Non Array,,,,,,,,,,,,,,,,,
500191,365858.165,2260040.66,889.095,BS-INV-19-S06 Non Array,,,,,,,,,,,,,,,,,
500192,365858.023,2260031.78,888.937,BS-INV-19-S06 Non Array,,,,,,,,,,,,,,,,,
1078,366847.804,2263723.255,918.994,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1124,365980.57,2263840.26,899.089,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1125,366007.077,2263840.299,899.702,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1126,366033.637,2263840.285,901.283,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1127,366060.147,2263840.25,903.074,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1128,366109.859,2263840.214,906.365,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1129,366136.633,2263840.22,907.699,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1130,366163.17,2263840.223,908.154,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1131,366189.752,2263840.238,908.964,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1132,365953.946,2263840.32,897.736,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1133,366216.237,2263840.258,908.519,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
