UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned
26970,366371.19,2260876.158,904.515,Finn_INV-12_T_Z-03_S01,11/24/2025
26971,366397.777,2260876.146,905.642,Finn_INV-12_T_Z-03_S01,11/24/2025
26972,366424.357,2260876.24,905.307,Finn_INV-12_T_Z-03_S01,11/24/2025
26973,366451.029,2260876.195,905.865,Finn_INV-12_T_Z-03_S01,11/24/2025
26974,366477.89,2260876.236,906.624,Finn_INV-12_T_Z-03_S01,11/24/2025
26975,366504.237,2260876.237,907.724,Finn_INV-12_T_Z-03_S01,11/24/2025
26976,366530.778,2260876.241,909.326,Finn_INV-12_T_Z-03_S01,11/24/2025
26977,366557.533,2260876.15,910.174,Finn_INV-12_T_Z-03_S01,11/24/2025
26978,366607.2,2260876.229,912.157,Finn_INV-12_T_Z-03_S01,11/24/2025
26979,366633.73,2260876.293,913.68,Finn_INV-12_T_Z-03_S01,11/24/2025
26980,366660.255,2260876.312,915.014,Finn_INV-12_T_Z-03_S01,11/24/2025
26981,366792.812,2260895.745,918.308,Finn_INV-12_T_Z-03_S01,11/24/2025
26982,366766.456,2260895.751,918.119,Finn_INV-12_T_Z-03_S01,11/24/2025
26983,366739.9,2260895.779,917.607,Finn_INV-12_T_Z-03_S01,11/24/2025
26984,366713.423,2260895.769,916.787,Finn_INV-12_T_Z-03_S01,11/24/2025
26998,366686.89,2260876.253,916.347,Finn_INV-12_T_Z-03_S01,11/24/2025
27001,366371.214,2260895.8,904.365,Finn_INV-12_T_Z-03_S01,11/24/2025
27002,366397.818,2260895.762,904.843,Finn_INV-12_T_Z-03_S01,11/24/2025
27003,366424.603,2260895.762,905.355,Finn_INV-12_T_Z-03_S01,11/24/2025
27004,366451.042,2260895.767,905.953,Finn_INV-12_T_Z-03_S01,11/24/2025
27005,366477.587,2260895.788,906.748,Finn_INV-12_T_Z-03_S01,11/24/2025
27006,366504.278,2260895.776,907.673,Finn_INV-12_T_Z-03_S01,11/24/2025
27007,366530.731,2260895.825,908.922,Finn_INV-12_T_Z-03_S01,11/24/2025
27008,366557.348,2260895.763,909.83,Finn_INV-12_T_Z-03_S01,11/24/2025
27009,366607.105,2260895.764,911.666,Finn_INV-12_T_Z-03_S01,11/24/2025
27010,366633.68,2260895.784,913.076,Finn_INV-12_T_Z-03_S01,11/24/2025
27011,366660.356,2260895.868,914.411,Finn_INV-12_T_Z-03_S01,11/24/2025
27012,366686.798,2260895.776,915.699,Finn_INV-12_T_Z-03_S01,11/24/2025
27014,366713.314,2260876.23,917.24,Finn_INV-12_T_Z-03_S01,11/24/2025
