UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned
12769,365638.009,2261519.816,897.767,Finn_INV-21_Z-03_T_S03,1/2/2025
12770,365664.731,2261519.808,897.824,Finn_INV-21_Z-03_T_S03,1/2/2025
12775,365375.387,2261500.299,896.11,Finn_INV-21_Z-03_T_S03,1/2/2025
12776,365402.034,2261500.316,896.225,Finn_INV-21_Z-03_T_S03,1/2/2025
12777,365428.653,2261500.268,896.429,Finn_INV-21_Z-03_T_S03,1/2/2025
12778,365455.315,2261500.267,896.298,Finn_INV-21_Z-03_T_S03,1/2/2025
12779,365481.787,2261500.274,896.206,Finn_INV-21_Z-03_T_S03,1/2/2025
12780,365508.385,2261500.273,896.23,Finn_INV-21_Z-03_T_S03,1/2/2025
12781,365535.014,2261500.258,896.391,Finn_INV-21_Z-03_T_S03,1/2/2025
12782,365611.455,2261519.79,897.206,Finn_INV-21_Z-03_T_S03,1/2/2025
12783,365584.865,2261500.263,896.8,Finn_INV-21_Z-03_T_S03,1/2/2025
12784,365637.942,2261500.284,897.766,Finn_INV-21_Z-03_T_S03,1/2/2025
12785,365664.652,2261500.375,898.327,Finn_INV-21_Z-03_T_S03,1/2/2025
12790,365375.436,2261480.708,896.118,Finn_INV-21_Z-03_T_S03,1/2/2025
12791,365402.059,2261480.813,896.48,Finn_INV-21_Z-03_T_S03,1/2/2025
12792,365428.667,2261480.718,896.698,Finn_INV-21_Z-03_T_S03,1/2/2025
12793,365455.277,2261480.705,896.626,Finn_INV-21_Z-03_T_S03,1/2/2025
12794,365481.909,2261480.748,896.362,Finn_INV-21_Z-03_T_S03,1/2/2025
12795,365508.449,2261480.728,896.326,Finn_INV-21_Z-03_T_S03,1/2/2025
12796,365535.028,2261480.735,896.48,Finn_INV-21_Z-03_T_S03,1/2/2025
12797,365611.488,2261500.245,897.213,Finn_INV-21_Z-03_T_S03,1/2/2025
12799,365584.746,2261519.753,897.023,Finn_INV-21_Z-03_T_S03,1/2/2025
12800,365508.369,2261519.754,896.26,Finn_INV-21_Z-03_T_S03,1/2/2025
12809,365375.39,2261539.249,896.188,Finn_INV-21_Z-03_T_S03,1/2/2025
12810,365402.029,2261539.281,896.317,Finn_INV-21_Z-03_T_S03,1/2/2025
12811,365428.619,2261539.304,896.388,Finn_INV-21_Z-03_T_S03,1/2/2025
12812,365455.245,2261539.276,896.313,Finn_INV-21_Z-03_T_S03,1/2/2025
12813,365481.806,2261539.317,896.278,Finn_INV-21_Z-03_T_S03,1/2/2025
12814,365535.021,2261519.796,896.518,Finn_INV-21_Z-03_T_S03,1/2/2025
12815,365508.366,2261539.268,896.481,Finn_INV-21_Z-03_T_S03,1/2/2025
12816,365584.728,2261539.296,896.955,Finn_INV-21_Z-03_T_S03,1/2/2025
12817,365611.499,2261539.302,896.947,Finn_INV-21_Z-03_T_S03,1/2/2025
12818,365638.176,2261539.322,897.026,Finn_INV-21_Z-03_T_S03,1/2/2025
12819,365664.605,2261539.287,897.082,Finn_INV-21_Z-03_T_S03,1/2/2025
12824,365375.498,2261519.732,896.061,Finn_INV-21_Z-03_T_S03,1/2/2025
12825,365402.023,2261519.796,896.172,Finn_INV-21_Z-03_T_S03,1/2/2025
12826,365428.658,2261519.751,896.335,Finn_INV-21_Z-03_T_S03,1/2/2025
12827,365455.313,2261519.756,896.289,Finn_INV-21_Z-03_T_S03,1/2/2025
12828,365481.919,2261519.755,896.182,Finn_INV-21_Z-03_T_S03,1/2/2025
12829,365535.011,2261539.335,896.749,Finn_INV-21_Z-03_T_S03,1/2/2025
12830,365584.838,2261480.813,896.966,Finn_INV-21_Z-03_T_S03,1/2/2025
12957,365611.399,2261480.705,897.349,Finn_INV-21_Z-03_T_S03,1/2/2025
12958,365638.018,2261480.721,897.946,Finn_INV-21_Z-03_T_S03,1/2/2025
12959,365664.634,2261480.721,898.546,Finn_INV-21_Z-03_T_S03,1/2/2025
12960,365534.945,2260954.187,889.772,Finn_INV-21_Z-03_T_S03,1/2/2025
12961,365584.788,2260954.121,889.83,Finn_INV-21_Z-03_T_S03,1/2/2025
12962,365611.449,2260954.224,889.83,Finn_INV-21_Z-03_T_S03,1/2/2025
12963,365637.99,2260954.083,889.815,Finn_INV-21_Z-03_T_S03,1/2/2025
12964,365664.542,2260954.195,889.79,Finn_INV-21_Z-03_T_S03,1/2/2025
12969,365375.672,2260934.691,891.416,Finn_INV-21_Z-03_T_S03,1/2/2025
12970,365402.055,2260934.689,890.636,Finn_INV-21_Z-03_T_S03,1/2/2025
12971,365428.702,2260934.638,890.108,Finn_INV-21_Z-03_T_S03,1/2/2025
12972,365455.262,2260934.678,889.942,Finn_INV-21_Z-03_T_S03,1/2/2025
12973,365481.754,2260934.666,889.924,Finn_INV-21_Z-03_T_S03,1/2/2025
12974,365508.413,2260934.664,889.953,Finn_INV-21_Z-03_T_S03,1/2/2025
12975,365534.92,2260934.656,889.926,Finn_INV-21_Z-03_T_S03,1/2/2025
12976,365584.797,2260934.663,889.94,Finn_INV-21_Z-03_T_S03,1/2/2025
12977,365611.359,2260934.683,889.912,Finn_INV-21_Z-03_T_S03,1/2/2025
12978,365637.978,2260934.656,889.943,Finn_INV-21_Z-03_T_S03,1/2/2025
12979,365664.652,2260934.673,889.94,Finn_INV-21_Z-03_T_S03,1/2/2025
12984,365375.351,2260915.23,891.873,Finn_INV-21_Z-03_T_S03,1/2/2025
12985,365402.079,2260915.179,890.973,Finn_INV-21_Z-03_T_S03,1/2/2025
12986,365428.664,2260915.111,890.395,Finn_INV-21_Z-03_T_S03,1/2/2025
12987,365508.513,2260954.045,889.813,Finn_INV-21_Z-03_T_S03,1/2/2025
