UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned
283,364989.576,2257441.056,882.67,BS_INV-33_B_S01,1/28/2026
284,365016.195,2257441.041,883.187,BS_INV-33_B_S01,1/28/2026
285,365042.752,2257441.036,883.238,BS_INV-33_B_S01,1/28/2026
286,365069.353,2257441.034,883.031,BS_INV-33_B_S01,1/28/2026
287,365095.935,2257441.013,882.795,BS_INV-33_B_S01,1/28/2026
288,365122.518,2257441.012,882.936,BS_INV-33_B_S01,1/28/2026
312,365149.13,2257441.028,883.469,BS_INV-33_B_S01,1/28/2026
314,365175.69,2257441.056,883.985,BS_INV-33_B_S01,1/28/2026
315,365252.215,2257440.995,885.076,BS_INV-33_B_S01,1/28/2026
338,365278.86,2257441.006,885.305,BS_INV-33_B_S01,1/28/2026
339,365305.362,2257440.966,885.397,BS_INV-33_B_S01,1/28/2026
340,365331.959,2257440.998,885.422,BS_INV-33_B_S01,1/28/2026
341,365358.54,2257440.906,885.502,BS_INV-33_B_S01,1/28/2026
342,365385.209,2257441.017,885.579,BS_INV-33_B_S01,1/28/2026
343,365411.766,2257440.999,885.741,BS_INV-33_B_S01,1/28/2026
344,365438.388,2257440.988,885.948,BS_INV-33_B_S01,1/28/2026
345,365464.957,2257441.013,886.033,BS_INV-33_B_S01,1/28/2026
357,365202.329,2257441.018,884.43,BS_INV-33_B_S01,1/28/2026
2532,365109.016,2257050.927,881.928,BS_INV-33_B_S01,1/28/2026
2533,365131.244,2257050.982,882.146,BS_INV-33_B_S01,1/28/2026
2534,365153.534,2257050.978,882.049,BS_INV-33_B_S01,1/28/2026
2558,365180.128,2257050.962,882.113,BS_INV-33_B_S01,1/28/2026
2560,365202.402,2257050.981,882.263,BS_INV-33_B_S01,1/28/2026
2561,365278.759,2257050.97,882.259,BS_INV-33_B_S01,1/28/2026
2562,365438.26,2257090.14,883.817,BS_INV-33_B_S01,1/28/2026
2563,365464.928,2257090.17,884.094,BS_INV-33_B_S01,1/28/2026
2564,364989.598,2257070.511,882.061,BS_INV-33_B_S01,1/28/2026
2565,365016.199,2257070.498,881.969,BS_INV-33_B_S01,1/28/2026
2566,365042.793,2257070.519,882.058,BS_INV-33_B_S01,1/28/2026
2567,365069.339,2257070.519,881.997,BS_INV-33_B_S01,1/28/2026
2568,365095.92,2257070.535,882.005,BS_INV-33_B_S01,1/28/2026
2569,365122.492,2257070.557,881.985,BS_INV-33_B_S01,1/28/2026
2570,365411.715,2257090.134,883.685,BS_INV-33_B_S01,1/28/2026
2571,365149.14,2257070.501,882.112,BS_INV-33_B_S01,1/28/2026
2572,365202.352,2257070.483,882.068,BS_INV-33_B_S01,1/28/2026
2573,365252.198,2257070.612,882.318,BS_INV-33_B_S01,1/28/2026
2574,365278.699,2257070.606,882.529,BS_INV-33_B_S01,1/28/2026
2575,365305.327,2257070.593,882.578,BS_INV-33_B_S01,1/28/2026
2576,365331.968,2257070.569,882.802,BS_INV-33_B_S01,1/28/2026
2577,365358.539,2257070.597,882.907,BS_INV-33_B_S01,1/28/2026
2578,365385.091,2257070.594,883.111,BS_INV-33_B_S01,1/28/2026
2579,365411.706,2257070.551,883.372,BS_INV-33_B_S01,1/28/2026
2580,365175.719,2257070.502,882.054,BS_INV-33_B_S01,1/28/2026
2581,365385.044,2257090.128,883.45,BS_INV-33_B_S01,1/28/2026
2582,365358.538,2257090.04,883.09,BS_INV-33_B_S01,1/28/2026
2583,365331.943,2257090.091,883.064,BS_INV-33_B_S01,1/28/2026
2584,365305.323,2257050.957,882.379,BS_INV-33_B_S01,1/28/2026
2585,365331.925,2257050.963,882.709,BS_INV-33_B_S01,1/28/2026
2586,365358.536,2257050.969,882.836,BS_INV-33_B_S01,1/28/2026
2587,365385.053,2257050.988,882.98,BS_INV-33_B_S01,1/28/2026
2588,365411.682,2257050.944,883.187,BS_INV-33_B_S01,1/28/2026
2589,365438.243,2257050.991,883.453,BS_INV-33_B_S01,1/28/2026
2590,365464.854,2257051.035,883.665,BS_INV-33_B_S01,1/28/2026
2591,364989.548,2257089.982,882.335,BS_INV-33_B_S01,1/28/2026
2592,365016.147,2257089.991,882.361,BS_INV-33_B_S01,1/28/2026
2593,365042.734,2257090.013,882.155,BS_INV-33_B_S01,1/28/2026
2594,365069.369,2257089.998,882.204,BS_INV-33_B_S01,1/28/2026
2595,365095.925,2257089.996,882.141,BS_INV-33_B_S01,1/28/2026
2596,365122.538,2257089.966,882.128,BS_INV-33_B_S01,1/28/2026
2597,365149.107,2257089.981,882.32,BS_INV-33_B_S01,1/28/2026
2598,365175.746,2257089.945,882.226,BS_INV-33_B_S01,1/28/2026
2599,365202.368,2257090.093,882.393,BS_INV-33_B_S01,1/28/2026
2600,365252.208,2257090.093,882.652,BS_INV-33_B_S01,1/28/2026
2601,365278.745,2257090.052,882.729,BS_INV-33_B_S01,1/28/2026
2602,365305.407,2257090.076,882.865,BS_INV-33_B_S01,1/28/2026
2603,365252.28,2257050.988,882.24,BS_INV-33_B_S01,1/28/2026
2604,365438.311,2257070.62,883.608,BS_INV-33_B_S01,1/28/2026
2617,364634.108,2257441.062,883.788,BS_INV-33_B_S01,1/28/2026
2618,364656.352,2257441.01,883.214,BS_INV-33_B_S01,1/28/2026
