UPN,N_Y,E_X,Elv_Z,Source
8666,367682.44,2261948.733,909.384,BS_INV-14_T_S01
8667,367708.955,2261948.729,908.891,BS_INV-14_T_S01
8668,367735.649,2261948.731,908.193,BS_INV-14_T_S01
8669,367762.228,2261948.737,907.51,BS_INV-14_T_S01
8670,367788.824,2261948.74,907.11,BS_INV-14_T_S01
8671,367815.429,2261948.751,906.895,BS_INV-14_T_S01
8672,367393.681,2261968.271,920.177,BS_INV-14_T_S01
8673,367419.824,2261968.309,918.242,BS_INV-14_T_S01
8674,367446.538,2261968.314,917.432,BS_INV-14_T_S01
8676,367499.983,2261968.291,915.609,BS_INV-14_T_S01
8677,367526.284,2261968.292,914.766,BS_INV-14_T_S01
8678,367552.862,2261968.273,913.816,BS_INV-14_T_S01
8680,367579.51,2261968.206,913.275,BS_INV-14_T_S01
8681,367655.866,2261968.185,910.735,BS_INV-14_T_S01
8682,367682.475,2261968.242,910.151,BS_INV-14_T_S01
8683,367709.23,2261968.309,909.302,BS_INV-14_T_S01
8685,367762.171,2261968.302,908.054,BS_INV-14_T_S01
8686,367788.715,2261968.23,907.543,BS_INV-14_T_S01
8687,367815.453,2261968.228,907.411,BS_INV-14_T_S01
8694,367629.194,2261968.252,911.858,BS_INV-14_T_S01
8727,367655.932,2261948.721,910.146,BS_INV-14_T_S01
8760,367629.358,2261948.783,911.06,BS_INV-14_T_S01
8761,367552.935,2261948.749,913.606,BS_INV-14_T_S01
8784,367420.061,2261714.85,911.725,BS_INV-14_T_S01
8785,367446.665,2261714.853,911.149,BS_INV-14_T_S01
8786,367473.28,2261714.804,910.747,BS_INV-14_T_S01
8787,367499.772,2261714.875,910.417,BS_INV-14_T_S01
8788,367526.361,2261714.825,909.903,BS_INV-14_T_S01
8806,367553.016,2261714.796,909.214,BS_INV-14_T_S01
8822,367579.526,2261714.895,908.489,BS_INV-14_T_S01
8823,367629.385,2261714.812,906.956,BS_INV-14_T_S01
8824,367655.923,2261714.819,906.446,BS_INV-14_T_S01
8825,367682.407,2261929.26,908.974,BS_INV-14_T_S01
8826,367708.842,2261929.385,909.763,BS_INV-14_T_S01
8827,367735.651,2261929.146,907.827,BS_INV-14_T_S01
8828,367762.232,2261929.244,907.25,BS_INV-14_T_S01
8829,367788.755,2261929.324,906.657,BS_INV-14_T_S01
8830,367815.604,2261929.271,907.158,BS_INV-14_T_S01
8831,367393.372,2261987.786,919.832,BS_INV-14_T_S01
8832,367419.837,2261987.686,918.659,BS_INV-14_T_S01
8833,367446.684,2261987.773,917.612,BS_INV-14_T_S01
8834,367473.011,2261987.878,917.346,BS_INV-14_T_S01
8835,367499.852,2261987.732,915.655,BS_INV-14_T_S01
8836,367526.289,2261987.773,914.658,BS_INV-14_T_S01
8837,367553.09,2261987.763,914.018,BS_INV-14_T_S01
8838,367655.798,2261929.336,910.505,BS_INV-14_T_S01
8839,367579.578,2261987.746,913.621,BS_INV-14_T_S01
8840,367655.939,2261987.699,911.527,BS_INV-14_T_S01
8841,367682.608,2261987.77,910.586,BS_INV-14_T_S01
8842,367709.059,2261987.722,909.783,BS_INV-14_T_S01
8843,367735.659,2261987.719,909.066,BS_INV-14_T_S01
8844,367762.256,2261987.577,908.52,BS_INV-14_T_S01
8845,367788.841,2261987.794,907.977,BS_INV-14_T_S01
8846,367815.446,2261987.835,907.762,BS_INV-14_T_S01
8847,367393.825,2261948.921,919.657,BS_INV-14_T_S01
8848,367420.083,2261948.698,918.496,BS_INV-14_T_S01
8849,367446.51,2261948.725,918.14,BS_INV-14_T_S01
8850,367473.195,2261948.668,916.535,BS_INV-14_T_S01
8851,367499.469,2261948.724,916.281,BS_INV-14_T_S01
8852,367526.295,2261948.775,914.601,BS_INV-14_T_S01
8853,367629.468,2261987.734,912.595,BS_INV-14_T_S01
8854,367579.539,2261948.744,912.697,BS_INV-14_T_S01
8855,367629.31,2261929.37,910.505,BS_INV-14_T_S01
8856,367552.904,2261929.15,913.147,BS_INV-14_T_S01
8857,367682.636,2261714.948,905.91,BS_INV-14_T_S01
8858,367709.24,2261714.909,905.265,BS_INV-14_T_S01
8859,367735.704,2261714.882,904.307,BS_INV-14_T_S01
8860,367762.312,2261714.771,903.373,BS_INV-14_T_S01
