UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned
1988,367446.658,2260954.215,900.229,BS_INV-12_T_S01,1/12/2026
1993,367579.536,2260954.202,896.305,BS_INV-12_T_S01,1/12/2026
1994,367629.471,2260954.169,894.46,BS_INV-12_T_S01,1/12/2026
1995,367655.919,2260954.201,892.679,BS_INV-12_T_S01,1/12/2026
1996,367420.176,2260954.239,900.432,BS_INV-12_T_S01,1/12/2026
2050,367420.183,2260973.793,901.439,BS_INV-12_T_S01,1/12/2026
2051,367446.749,2260973.733,900.825,BS_INV-12_T_S01,1/12/2026
2056,367579.649,2260973.762,896.44,BS_INV-12_T_S01,1/12/2026
2057,367630.151,2260973.684,906.952,BS_INV-12_T_S01,1/12/2026
2058,367655.878,2260973.687,893.07,BS_INV-12_T_S01,1/12/2026
4776,367700.512,2260759.187,886.769,BS_INV-12_T_S01,1/12/2026
4777,367678.248,2260759.054,886.63,BS_INV-12_T_S01,1/12/2026
4804,367526.437,2260759.227,888.318,BS_INV-12_T_S01,1/12/2026
4831,367393.47,2260759.195,889.544,BS_INV-12_T_S01,1/12/2026
4832,367366.904,2260759.18,889.304,BS_INV-12_T_S01,1/12/2026
4834,367700.326,2260739.642,885.278,BS_INV-12_T_S01,1/12/2026
4839,367553.064,2260739.721,886.94,BS_INV-12_T_S01,1/12/2026
4843,367446.761,2260739.607,888.265,BS_INV-12_T_S01,1/12/2026
4845,367393.409,2260739.698,888.291,BS_INV-12_T_S01,1/12/2026
4846,367366.795,2260739.713,888.399,BS_INV-12_T_S01,1/12/2026
5031,367552.872,2260759.069,888.474,BS_INV-12_T_S01,1/12/2026
6031,367604.603,2260759.21,886.48,BS_INV-12_T_S01,1/12/2026
6032,367604.639,2260739.65,891.03,BS_INV-12_T_S01,1/12/2026
18112,367552.989,2260895.747,895.396,BS_INV-12_T_S01,1/12/2026
18113,367526.4,2260895.754,896.108,BS_INV-12_T_S01,1/12/2026
18114,367499.862,2260895.712,896.636,BS_INV-12_T_S01,1/12/2026
18115,367473.238,2260895.733,896.619,BS_INV-12_T_S01,1/12/2026
18116,367446.677,2260895.741,896.385,BS_INV-12_T_S01,1/12/2026
18117,367420.07,2260895.707,896.38,BS_INV-12_T_S01,1/12/2026
18118,367678.304,2260915.26,896.859,BS_INV-12_T_S01,1/12/2026
18119,367651.623,2260915.241,891.268,BS_INV-12_T_S01,1/12/2026
18120,367629.354,2260915.22,897.663,BS_INV-12_T_S01,1/12/2026
18121,367579.558,2260915.182,895.261,BS_INV-12_T_S01,1/12/2026
18123,367526.499,2260915.285,896.875,BS_INV-12_T_S01,1/12/2026
18124,367499.978,2260915.226,897.564,BS_INV-12_T_S01,1/12/2026
18125,367579.618,2260895.732,895.168,BS_INV-12_T_S01,1/12/2026
18126,367473.343,2260915.276,897.943,BS_INV-12_T_S01,1/12/2026
18127,367420.075,2260915.171,897.816,BS_INV-12_T_S01,1/12/2026
18128,367678.158,2260934.706,890.812,BS_INV-12_T_S01,1/12/2026
18129,367651.638,2260934.682,892.688,BS_INV-12_T_S01,1/12/2026
18130,367629.391,2260934.832,894.082,BS_INV-12_T_S01,1/12/2026
18135,367473.365,2260934.69,899.333,BS_INV-12_T_S01,1/12/2026
18140,367446.674,2260915.271,897.949,BS_INV-12_T_S01,1/12/2026
18142,367629.257,2260895.696,892.587,BS_INV-12_T_S01,1/12/2026
18143,367678.204,2260895.77,889.101,BS_INV-12_T_S01,1/12/2026
18152,367678.16,2260856.782,894.243,BS_INV-12_T_S01,1/12/2026
18153,367651.543,2260856.764,890.647,BS_INV-12_T_S01,1/12/2026
18154,367629.347,2260856.772,891.811,BS_INV-12_T_S01,1/12/2026
18155,367579.448,2260856.732,892.801,BS_INV-12_T_S01,1/12/2026
18156,367552.949,2260856.696,893.24,BS_INV-12_T_S01,1/12/2026
18157,367651.491,2260895.716,890.804,BS_INV-12_T_S01,1/12/2026
18158,367526.155,2260856.764,894.014,BS_INV-12_T_S01,1/12/2026
18159,367473.335,2260856.76,894.616,BS_INV-12_T_S01,1/12/2026
18160,367446.626,2260856.742,894.444,BS_INV-12_T_S01,1/12/2026
18161,367420.015,2260856.756,894.554,BS_INV-12_T_S01,1/12/2026
18162,367678.113,2260876.25,888.809,BS_INV-12_T_S01,1/12/2026
18163,367651.489,2260876.24,890.441,BS_INV-12_T_S01,1/12/2026
18164,367629.318,2260876.251,892.057,BS_INV-12_T_S01,1/12/2026
18165,367579.477,2260876.4,893.738,BS_INV-12_T_S01,1/12/2026
18166,367553.031,2260876.308,894.376,BS_INV-12_T_S01,1/12/2026
18167,367526.404,2260876.257,895.159,BS_INV-12_T_S01,1/12/2026
18168,367499.974,2260876.193,901.499,BS_INV-12_T_S01,1/12/2026
18169,367473.385,2260876.234,897.627,BS_INV-12_T_S01,1/12/2026
18170,367446.583,2260876.222,895.395,BS_INV-12_T_S01,1/12/2026
18171,367420.017,2260876.28,895.37,BS_INV-12_T_S01,1/12/2026
18172,367499.767,2260856.655,894.482,BS_INV-12_T_S01,1/12/2026
19575,367682.459,2261051.814,890.903,BS_INV-12_T_S01,1/12/2026
19576,367709.676,2261051.884,900.421,BS_INV-12_T_S01,1/12/2026
19577,367735.566,2261051.603,895.532,BS_INV-12_T_S01,1/12/2026
19578,367762.152,2261051.78,887.316,BS_INV-12_T_S01,1/12/2026
19579,367788.874,2261051.715,886.246,BS_INV-12_T_S01,1/12/2026
19602,367655.912,2261051.775,892.457,BS_INV-12_T_S01,1/12/2026
19603,367629.46,2261051.752,894.112,BS_INV-12_T_S01,1/12/2026
19604,367579.584,2261051.792,896.48,BS_INV-12_T_S01,1/12/2026
19605,367553.001,2261051.766,897.272,BS_INV-12_T_S01,1/12/2026
19606,367629.349,2261090.736,894.001,BS_INV-12_T_S01,1/12/2026
19607,367655.794,2261090.727,892.334,BS_INV-12_T_S01,1/12/2026
19608,367682.354,2261090.773,890.921,BS_INV-12_T_S01,1/12/2026
19609,367709.022,2261090.719,889.866,BS_INV-12_T_S01,1/12/2026
19610,367735.51,2261090.708,888.828,BS_INV-12_T_S01,1/12/2026
19611,367762.09,2261090.768,887.77,BS_INV-12_T_S01,1/12/2026
19612,367788.64,2261090.689,886.933,BS_INV-12_T_S01,1/12/2026
19613,367393.514,2261071.186,904.038,BS_INV-12_T_S01,1/12/2026
19614,367420.103,2261071.286,902.847,BS_INV-12_T_S01,1/12/2026
19615,367446.692,2261071.257,901.864,BS_INV-12_T_S01,1/12/2026
19616,367473.233,2261071.255,901.116,BS_INV-12_T_S01,1/12/2026
19617,367499.88,2261071.285,899.954,BS_INV-12_T_S01,1/12/2026
19618,367526.375,2261071.264,898.745,BS_INV-12_T_S01,1/12/2026
19620,367553.013,2261071.24,897.79,BS_INV-12_T_S01,1/12/2026
19621,367629.263,2261071.265,894.191,BS_INV-12_T_S01,1/12/2026
19622,367656.084,2261071.238,892.396,BS_INV-12_T_S01,1/12/2026
19623,367682.528,2261071.296,890.881,BS_INV-12_T_S01,1/12/2026
19624,367709.003,2261071.19,889.776,BS_INV-12_T_S01,1/12/2026
19625,367735.633,2261071.248,888.696,BS_INV-12_T_S01,1/12/2026
19626,367762.165,2261071.177,887.458,BS_INV-12_T_S01,1/12/2026
19627,367788.872,2261071.196,886.523,BS_INV-12_T_S01,1/12/2026
19628,367393.488,2261051.685,903.629,BS_INV-12_T_S01,1/12/2026
19629,367420.162,2261051.778,902.333,BS_INV-12_T_S01,1/12/2026
19630,367446.86,2261051.861,906.668,BS_INV-12_T_S01,1/12/2026
19631,367473.355,2261051.678,900.586,BS_INV-12_T_S01,1/12/2026
19632,367499.822,2261051.728,899.566,BS_INV-12_T_S01,1/12/2026
19633,367526.459,2261051.703,898.248,BS_INV-12_T_S01,1/12/2026
19634,367579.565,2261071.228,896.9,BS_INV-12_T_S01,1/12/2026
19667,367579.45,2261090.752,897.188,BS_INV-12_T_S01,1/12/2026
19699,367553.099,2261090.739,898.453,BS_INV-12_T_S01,1/12/2026
19700,367526.425,2261090.791,899.383,BS_INV-12_T_S01,1/12/2026
19701,367499.899,2261090.734,900.536,BS_INV-12_T_S01,1/12/2026
