UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned
1348,366819.923,2260427.764,902.025,BS_INV-20_T_S03,1/13/2026
1395,366344.722,2260427.778,902.853,BS_INV-20_T_S03,1/13/2026
1396,366371.252,2260427.769,902.98,BS_INV-20_T_S03,1/13/2026
1397,366397.802,2260427.761,903.137,BS_INV-20_T_S03,1/13/2026
1398,366424.451,2260427.743,903.507,BS_INV-20_T_S03,1/13/2026
1399,366451.093,2260427.741,903.926,BS_INV-20_T_S03,1/13/2026
1400,366477.638,2260427.767,904.526,BS_INV-20_T_S03,1/13/2026
1401,366504.101,2260427.746,905.139,BS_INV-20_T_S03,1/13/2026
1403,366530.698,2260427.773,906.051,BS_INV-20_T_S03,1/13/2026
1404,366607.242,2260427.73,907.464,BS_INV-20_T_S03,1/13/2026
1405,366633.813,2260427.699,907.337,BS_INV-20_T_S03,1/13/2026
1406,366660.405,2260427.706,906.965,BS_INV-20_T_S03,1/13/2026
1407,366686.99,2260427.713,906.427,BS_INV-20_T_S03,1/13/2026
1408,366713.498,2260427.745,905.702,BS_INV-20_T_S03,1/13/2026
1409,366740.056,2260427.713,904.681,BS_INV-20_T_S03,1/13/2026
1410,366766.699,2260427.712,903.728,BS_INV-20_T_S03,1/13/2026
1411,366793.368,2260427.71,902.638,BS_INV-20_T_S03,1/13/2026
1412,366557.323,2260427.762,906.609,BS_INV-20_T_S03,1/13/2026
5055,366660.374,2260447.236,907.921,BS_INV-20_T_S03,1/13/2026
5056,366686.97,2260447.276,907.409,BS_INV-20_T_S03,1/13/2026
5057,366713.576,2260447.312,906.459,BS_INV-20_T_S03,1/13/2026
5058,366740.116,2260447.289,905.522,BS_INV-20_T_S03,1/13/2026
5059,366766.718,2260447.313,904.476,BS_INV-20_T_S03,1/13/2026
5060,366793.286,2260447.261,903.401,BS_INV-20_T_S03,1/13/2026
5061,366819.866,2260447.266,902.514,BS_INV-20_T_S03,1/13/2026
5118,366633.736,2260447.209,908.196,BS_INV-20_T_S03,1/13/2026
5119,366607.192,2260447.342,908.101,BS_INV-20_T_S03,1/13/2026
5120,366557.39,2260447.304,907.455,BS_INV-20_T_S03,1/13/2026
5121,366530.756,2260447.369,906.703,BS_INV-20_T_S03,1/13/2026
5179,366344.741,2260447.23,902.895,BS_INV-20_T_S03,1/13/2026
5180,366371.253,2260447.287,903.095,BS_INV-20_T_S03,1/13/2026
5181,366424.525,2260447.245,903.685,BS_INV-20_T_S03,1/13/2026
5182,366451.185,2260447.251,904.032,BS_INV-20_T_S03,1/13/2026
5183,366477.735,2260447.26,904.801,BS_INV-20_T_S03,1/13/2026
5184,366504.193,2260447.215,905.669,BS_INV-20_T_S03,1/13/2026
5390,366397.812,2260447.311,903.408,BS_INV-20_T_S03,1/13/2026
5437,366006.946,2260720.193,900.875,BS_INV-20_T_S03,1/13/2026
5438,366033.584,2260720.295,900.969,BS_INV-20_T_S03,1/13/2026
5439,366060.171,2260720.192,900.916,BS_INV-20_T_S03,1/13/2026
5440,366109.874,2260720.253,901.358,BS_INV-20_T_S03,1/13/2026
5441,366136.52,2260720.179,901.873,BS_INV-20_T_S03,1/13/2026
5442,366163.177,2260720.167,902.511,BS_INV-20_T_S03,1/13/2026
5443,366189.707,2260720.214,902.864,BS_INV-20_T_S03,1/13/2026
5444,366216.325,2260720.203,903.147,BS_INV-20_T_S03,1/13/2026
5445,365980.361,2260720.18,900.847,BS_INV-20_T_S03,1/13/2026
5446,366242.981,2260720.275,903.443,BS_INV-20_T_S03,1/13/2026
5447,366296.148,2260720.289,904.055,BS_INV-20_T_S03,1/13/2026
5448,366322.771,2260720.262,904.283,BS_INV-20_T_S03,1/13/2026
5449,365847.549,2260700.779,898.658,BS_INV-20_T_S03,1/13/2026
5450,365874.027,2260700.781,899.761,BS_INV-20_T_S03,1/13/2026
5451,365900.651,2260700.76,900.442,BS_INV-20_T_S03,1/13/2026
5452,365927.194,2260700.81,900.949,BS_INV-20_T_S03,1/13/2026
5453,365953.758,2260700.78,900.982,BS_INV-20_T_S03,1/13/2026
5454,365980.302,2260700.794,901.031,BS_INV-20_T_S03,1/13/2026
5455,366269.555,2260720.267,903.729,BS_INV-20_T_S03,1/13/2026
5456,365953.793,2260720.174,900.802,BS_INV-20_T_S03,1/13/2026
