UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned
1078,366847.808,2263723.25,923.47,BS_INV-17_T_S02,1/13/2026
1124,365980.609,2263840.26,903.535,BS_INV-17_T_S02,1/13/2026
1125,366007.071,2263840.306,904.643,BS_INV-17_T_S02,1/13/2026
1126,366033.666,2263840.31,906.013,BS_INV-17_T_S02,1/13/2026
1127,366060.13,2263840.227,907.653,BS_INV-17_T_S02,1/13/2026
1128,366109.837,2263840.18,910.224,BS_INV-17_T_S02,1/13/2026
1129,366136.667,2263840.19,911.065,BS_INV-17_T_S02,1/13/2026
1130,366163.111,2263840.22,911.637,BS_INV-17_T_S02,1/13/2026
1131,366189.785,2263840.235,911.958,BS_INV-17_T_S02,1/13/2026
1132,365953.982,2263840.325,902.728,BS_INV-17_T_S02,1/13/2026
1133,366216.245,2263840.276,912.058,BS_INV-17_T_S02,1/13/2026
1134,366269.574,2263840.184,911.093,BS_INV-17_T_S02,1/13/2026
1135,366296.025,2263840.262,910.529,BS_INV-17_T_S02,1/13/2026
1136,366322.757,2263840.295,910.142,BS_INV-17_T_S02,1/13/2026
1142,366242.958,2263840.2,911.639,BS_INV-17_T_S02,1/13/2026
1143,365927.335,2263840.385,902.284,BS_INV-17_T_S02,1/13/2026
1144,365900.762,2263840.335,902.061,BS_INV-17_T_S02,1/13/2026
1145,365874.165,2263840.319,902.219,BS_INV-17_T_S02,1/13/2026
1164,365847.579,2263840.15,902.134,BS_INV-17_T_S02,1/13/2026
1269,366372.554,2262806.863,910.784,BS_INV-17_T_S02,1/13/2026
1270,366399.276,2262806.826,910.248,BS_INV-17_T_S02,1/13/2026
1271,366425.72,2262806.811,909.824,BS_INV-17_T_S02,1/13/2026
1272,366452.36,2262806.66,909.49,BS_INV-17_T_S02,1/13/2026
1273,366478.91,2262806.774,909.43,BS_INV-17_T_S02,1/13/2026
1274,366505.585,2262806.838,908.971,BS_INV-17_T_S02,1/13/2026
1275,366532.258,2262806.794,908.111,BS_INV-17_T_S02,1/13/2026
1276,366558.787,2262806.722,907.05,BS_INV-17_T_S02,1/13/2026
1300,366585.046,2262806.717,905.969,BS_INV-17_T_S02,1/13/2026
1302,366635.066,2262806.77,904.412,BS_INV-17_T_S02,1/13/2026
1303,366688.24,2262806.809,902.139,BS_INV-17_T_S02,1/13/2026
1304,366847.818,2262787.306,897.16,BS_INV-17_T_S02,1/13/2026
1305,366372.817,2263723.162,910.925,BS_INV-17_T_S02,1/13/2026
