UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned
2172,365847.539,2261246.835,900.815,Finn_INV 21-Z02-S03_T,1/2/2025
2173,365873.974,2261246.758,901.614,Finn_INV 21-Z02-S03_T,1/2/2025
2174,365900.608,2261246.664,902.196,Finn_INV 21-Z02-S03_T,1/2/2025
2175,365927.254,2261246.694,902.461,Finn_INV 21-Z02-S03_T,1/2/2025
2177,365953.764,2261246.728,902.825,Finn_INV 21-Z02-S03_T,1/2/2025
2234,365847.482,2261266.184,901.044,Finn_INV 21-Z02-S03_T,1/2/2025
2235,365874.107,2261266.291,901.957,Finn_INV 21-Z02-S03_T,1/2/2025
2236,365900.634,2261266.209,902.578,Finn_INV 21-Z02-S03_T,1/2/2025
2237,365927.242,2261266.213,902.834,Finn_INV 21-Z02-S03_T,1/2/2025
2238,365953.816,2261266.223,903.058,Finn_INV 21-Z02-S03_T,1/2/2025
5395,365847.476,2261149.186,899.672,Finn_INV 21-Z02-S03_T,1/2/2025
5396,365874.023,2261149.271,900.099,Finn_INV 21-Z02-S03_T,1/2/2025
5397,365900.626,2261149.236,900.202,Finn_INV 21-Z02-S03_T,1/2/2025
5398,365927.135,2261149.28,900.228,Finn_INV 21-Z02-S03_T,1/2/2025
5399,365953.839,2261149.147,900.532,Finn_INV 21-Z02-S03_T,1/2/2025
5436,365847.575,2261129.71,899.621,Finn_INV 21-Z02-S03_T,1/2/2025
5459,365874.027,2261129.787,899.839,Finn_INV 21-Z02-S03_T,1/2/2025
5460,365900.63,2261129.761,899.694,Finn_INV 21-Z02-S03_T,1/2/2025
5461,365927.2,2261129.731,899.625,Finn_INV 21-Z02-S03_T,1/2/2025
5462,365953.776,2261129.741,899.913,Finn_INV 21-Z02-S03_T,1/2/2025
12771,365691.305,2261519.73,898.249,Finn_INV 21-Z02-S03_T,1/2/2025
12772,365717.814,2261519.834,898.8,Finn_INV 21-Z02-S03_T,1/2/2025
12773,365744.486,2261519.856,899.537,Finn_INV 21-Z02-S03_T,1/2/2025
12774,365770.977,2261519.759,900.114,Finn_INV 21-Z02-S03_T,1/2/2025
12786,365691.301,2261500.327,898.882,Finn_INV 21-Z02-S03_T,1/2/2025
12787,365717.813,2261500.283,899.534,Finn_INV 21-Z02-S03_T,1/2/2025
12788,365744.318,2261500.382,900.388,Finn_INV 21-Z02-S03_T,1/2/2025
12789,365770.989,2261500.361,900.914,Finn_INV 21-Z02-S03_T,1/2/2025
12820,365691.127,2261539.261,897.377,Finn_INV 21-Z02-S03_T,1/2/2025
12821,365717.794,2261539.357,897.84,Finn_INV 21-Z02-S03_T,1/2/2025
12822,365744.442,2261539.307,898.476,Finn_INV 21-Z02-S03_T,1/2/2025
12823,365771.049,2261539.336,899.079,Finn_INV 21-Z02-S03_T,1/2/2025
12965,365691.279,2260954.094,889.906,Finn_INV 21-Z02-S03_T,1/2/2025
12966,365717.84,2260954.21,890.267,Finn_INV 21-Z02-S03_T,1/2/2025
12967,365744.38,2260954.188,890.828,Finn_INV 21-Z02-S03_T,1/2/2025
12968,365770.966,2260954.207,891.722,Finn_INV 21-Z02-S03_T,1/2/2025
12980,365691.146,2260934.661,889.908,Finn_INV 21-Z02-S03_T,1/2/2025
12981,365717.798,2260934.685,890.07,Finn_INV 21-Z02-S03_T,1/2/2025
12982,365744.292,2260934.66,890.565,Finn_INV 21-Z02-S03_T,1/2/2025
12983,365770.954,2260934.664,891.326,Finn_INV 21-Z02-S03_T,1/2/2025
12998,365691.197,2261305.322,897.561,Finn_INV 21-Z02-S03_T,1/2/2025
12999,365717.734,2261305.204,897.917,Finn_INV 21-Z02-S03_T,1/2/2025
13000,365744.519,2261305.301,898.031,Finn_INV 21-Z02-S03_T,1/2/2025
13001,365770.934,2261305.268,898.242,Finn_INV 21-Z02-S03_T,1/2/2025
13013,365691.245,2260973.74,890.092,Finn_INV 21-Z02-S03_T,1/2/2025
13014,365717.819,2260973.726,890.426,Finn_INV 21-Z02-S03_T,1/2/2025
13015,365744.394,2260973.698,890.962,Finn_INV 21-Z02-S03_T,1/2/2025
13016,365771.096,2260973.766,891.863,Finn_INV 21-Z02-S03_T,1/2/2025
13025,365691.19,2260876.166,889.798,Finn_INV 21-Z02-S03_T,1/2/2025
13026,365717.733,2260876.052,889.951,Finn_INV 21-Z02-S03_T,1/2/2025
13027,365744.237,2260876.184,890.366,Finn_INV 21-Z02-S03_T,1/2/2025
13028,365770.947,2260876.064,890.831,Finn_INV 21-Z02-S03_T,1/2/2025
13059,365691.072,2260915.15,889.851,Finn_INV 21-Z02-S03_T,1/2/2025
13060,365717.758,2260915.205,889.963,Finn_INV 21-Z02-S03_T,1/2/2025
13061,365744.365,2260915.195,890.285,Finn_INV 21-Z02-S03_T,1/2/2025
13062,365770.962,2260915.169,890.954,Finn_INV 21-Z02-S03_T,1/2/2025
13074,365691.098,2260895.722,889.911,Finn_INV 21-Z02-S03_T,1/2/2025
13075,365717.74,2260895.728,889.913,Finn_INV 21-Z02-S03_T,1/2/2025
13076,365744.323,2260895.619,890.174,Finn_INV 21-Z02-S03_T,1/2/2025
13077,365770.938,2260895.624,890.694,Finn_INV 21-Z02-S03_T,1/2/2025
13087,365744.383,2261441.668,900.699,Finn_INV 21-Z02-S03_T,1/2/2025
13088,365770.994,2261441.678,901.557,Finn_INV 21-Z02-S03_T,1/2/2025
13100,365717.814,2261441.688,899.901,Finn_INV 21-Z02-S03_T,1/2/2025
13101,365691.136,2261422.177,899.215,Finn_INV 21-Z02-S03_T,1/2/2025
13102,365744.336,2261422.184,900.461,Finn_INV 21-Z02-S03_T,1/2/2025
13103,365770.95,2261422.136,901.223,Finn_INV 21-Z02-S03_T,1/2/2025
13115,365717.724,2261422.204,899.822,Finn_INV 21-Z02-S03_T,1/2/2025
13116,365691.206,2261402.831,899.503,Finn_INV 21-Z02-S03_T,1/2/2025
13117,365691.135,2261441.684,899.285,Finn_INV 21-Z02-S03_T,1/2/2025
13119,365691.167,2261480.758,899.162,Finn_INV 21-Z02-S03_T,1/2/2025
13120,365717.862,2261480.887,899.887,Finn_INV 21-Z02-S03_T,1/2/2025
13121,365744.516,2261480.755,900.821,Finn_INV 21-Z02-S03_T,1/2/2025
13122,365770.858,2261480.68,901.516,Finn_INV 21-Z02-S03_T,1/2/2025
13134,365691.048,2261461.211,899.19,Finn_INV 21-Z02-S03_T,1/2/2025
13135,365717.772,2261461.203,899.884,Finn_INV 21-Z02-S03_T,1/2/2025
13136,365744.337,2261461.184,900.911,Finn_INV 21-Z02-S03_T,1/2/2025
13137,365770.967,2261461.301,901.585,Finn_INV 21-Z02-S03_T,1/2/2025
13149,365717.851,2261402.838,899.969,Finn_INV 21-Z02-S03_T,1/2/2025
