UPN,Northing,Easting,Elevation
2403,365927.2436,2263274.772,906.2845798
16735,365428.6781,2263021.272,904.8607
46167,365559.9496,2263664.772,902.911733
44824,366322.7337,2262884.772,911.4607756
28599,366296.1421,2262884.772,911.2448954
28598,366269.551,2262884.772,910.9702211
28597,366242.9615,2262884.772,910.5725893
28596,366216.3705,2262884.772,910.2772486
28595,366189.7794,2262884.772,910.0042545
28594,366163.1889,2262884.772,909.6784195
28593,366136.5978,2262884.772,909.4046995
28592,366110.0057,2262884.772,909.2598165
47817,366085.0926,2262884.772,909.1424414
28591,366060.1802,2262884.772,908.9150705
28604,366033.5878,2262884.772,908.8395045
28590,366006.9955,2262884.772,908.7484574
28588,365980.4029,2262884.772,908.7452899
28587,365953.8108,2262884.772,908.6014314
28586,365927.2198,2262884.772,908.3165648
28585,365900.6338,2262884.772,907.7300159
28584,365874.0561,2262884.772,906.8417844
44844,365847.4835,2262884.772,905.8105492
44845,366322.7244,2262904.272,912.39376
28583,366296.1359,2262904.272,911.9341027
28582,366269.5479,2262904.272,911.4458504
28581,366242.9598,2262904.272,910.9593392
28580,366216.3696,2262904.272,910.6014385
28579,366189.779,2262904.272,910.2841486
28578,366163.1888,2262904.272,909.9341268
28577,366136.5977,2262904.272,909.6612393
28576,366110.0057,2262904.272,909.5101137
47802,366085.0926,2262904.272,909.3785503
28543,366060.1802,2262904.272,909.152531
28542,366033.5878,2262904.272,909.1149476
28541,366006.9953,2262904.272,909.0575193
28525,365980.4028,2262904.272,909.1065661
28507,365953.8105,2262904.272,908.989719
28506,365927.2209,2262904.272,908.6013748
28505,365900.6373,2262904.272,907.9113484
28504,365874.0633,2262904.272,906.9206858
44846,365847.4905,2262904.272,905.8930589
44847,366322.7122,2262923.772,913.1856584
28503,366296.1275,2262923.772,912.5437956
28502,366269.5432,2262923.772,911.8821861
28501,366242.9583,2262923.772,911.248262
28500,366216.3678,2262923.772,910.9139858
28499,366189.7772,2262923.772,910.5956399
28498,366163.1874,2262923.772,910.2149911
28497,366136.5972,2262923.772,909.8648225
28496,366110.0055,2262923.772,909.6539404
47803,366085.0926,2262923.772,909.5026814
28495,366060.1797,2262923.772,909.3483964
28494,366033.5872,2262923.772,909.3597506
28493,366006.9947,2262923.772,909.384897
28492,365980.4022,2262923.772,909.4455156
28491,365953.8101,2262923.772,909.2859465
28490,365927.2216,2262923.772,908.824695
28489,365900.6401,2262923.772,908.0622598
28488,365874.0688,2262923.772,907.0001495
44848,365847.4948,2262923.772,906.0050292
44849,366322.7011,2262943.272,913.8332015
28487,366296.1195,2262943.272,913.0704438
28486,366269.54,2262943.272,912.2390379
28485,366242.956,2262943.272,911.5686248
28484,366216.366,2262943.272,911.1938481
28483,366189.7758,2262943.272,910.8468197
28482,366163.1865,2262943.272,910.433123
28481,366136.5972,2262943.272,910.0204784
28508,366110.0056,2262943.272,909.7945251
47804,366085.0926,2262943.272,909.6617986
28509,366060.1795,2262943.272,909.5413791
28510,366033.587,2262943.272,909.5849131
28511,366006.9946,2262943.272,909.6580914
28539,365980.4022,2262943.272,909.7520787
28538,365953.8105,2262943.272,909.5448779
28537,365927.2229,2262943.272,909.0359946
28536,365900.6427,2262943.272,908.2254288
28535,365874.0735,2262943.272,907.1135931
44850,365847.4976,2262943.272,906.1718599
44851,366322.6936,2262962.772,914.3199754
28534,366296.116,2262962.772,913.4305531
28533,366269.5385,2262962.772,912.5383646
28532,366242.9539,2262962.772,911.8917208
28531,366216.365,2262962.772,911.4487733
28530,366189.7761,2262962.772,911.0101723
28529,366163.1868,2262962.772,910.5944774
28528,366136.5974,2262962.772,910.1916537
28527,366110.0056,2262962.772,909.9954183
47805,366085.0926,2262962.772,909.8529444
28540,366060.1793,2262962.772,909.7732695
28526,366033.5868,2262962.772,909.8038078
28524,366006.9946,2262962.772,909.9115904
28523,365980.4021,2262962.772,909.9956403
28522,365953.8105,2262962.772,909.7780075
28521,365927.2231,2262962.772,909.2586922
28520,365900.6432,2262962.772,908.4381318
28519,365874.0744,2262962.772,907.3159192
44852,365847.499,2262962.772,906.359317
44853,366322.6847,2262982.272,914.6997691
28518,366296.1134,2262982.272,913.6381096
28517,366269.5367,2262982.272,912.7213976
28516,366242.9514,2262982.272,912.1063679
28515,366216.3636,2262982.272,911.5997308
28514,366189.7757,2262982.272,911.1017081
28513,366163.188,2262982.272,910.5981599
28512,366136.5976,2262982.272,910.2626794
28573,366110.006,2262982.272,910.0527059
47806,366085.0926,2262982.272,910.0088576
28606,366060.1795,2262982.272,909.8809646
28700,366033.5871,2262982.272,909.9544355
28607,366006.995,2262982.272,910.1022935
28698,365980.4025,2262982.272,910.1347095
28697,365953.8113,2262982.272,909.8654429
28696,365927.225,2262982.272,909.2944936
28695,365900.6468,2262982.272,908.4218619
28694,365874.0722,2262982.272,907.4455363
44854,365847.4893,2262982.272,906.727508
44855,366322.6736,2263001.772,914.956915
28693,366296.1108,2263001.772,913.7006868
28692,366269.5355,2263001.772,912.7443845
28691,366242.9512,2263001.772,912.0844905
28690,366216.3631,2263001.772,911.5937347
28689,366189.7753,2263001.772,911.0935878
28688,366163.1876,2263001.772,910.5922377
28687,366136.5974,2263001.772,910.2423485
28686,366110.0058,2263001.772,910.0138574
47807,366085.0926,2263001.772,909.9237312
28699,366060.1797,2263001.772,909.7730646
28685,366033.5875,2263001.772,909.905671
28683,366006.9958,2263001.772,910.1188513
28682,365980.4033,2263001.772,910.0956341
28681,365953.8123,2263001.772,909.8091822
28680,365927.2256,2263001.772,909.2535836
28679,365900.6469,2263001.772,908.3963027
28678,365874.0679,2263001.772,907.5488352
44856,365847.4811,2263001.772,906.9936685
5089,365797.5821,2263001.772,906.8021935
5088,365770.9897,2263001.772,906.8740648
5087,365744.3982,2263001.772,906.6442539
5095,365717.811,2263001.772,906.1127606
5086,365691.2258,2263001.772,905.4868
5084,365664.6366,2263001.772,905.0677441
5083,365638.0446,2263001.772,904.8949029
5082,365611.4524,2263001.772,905.0237441
5081,365584.8612,2263001.772,905.2771
6070,365559.9496,2263001.772,905.5804375
5080,365535.039,2263001.772,905.951271
5079,365508.4466,2263001.772,906.0454152
5078,365481.8549,2263001.772,905.837877
5077,365455.2672,2263001.772,905.3286544
5085,365428.6774,2263001.772,904.9472
5096,365402.0857,2263001.772,904.7533
5097,365375.4934,2263001.772,904.6497
5098,365348.9009,2263001.772,904.705429
5117,365322.3107,2263001.772,905.0628414
44857,366322.665,2263021.272,915.1890737
28677,366296.1046,2263021.272,913.8816936
28676,366269.5312,2263021.272,912.8756918
