UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned
1214,367742.384,2259333.977,875.488,BS_INV-27_B_S01,1/30/2026
1215,367386.852,2259353.368,884.741,BS_INV-27_B_S01,1/30/2026
1216,367409.08,2259353.35,884.324,BS_INV-27_B_S01,1/30/2026
1217,367431.384,2259353.395,884.248,BS_INV-27_B_S01,1/30/2026
1218,367457.935,2259353.377,884.458,BS_INV-27_B_S01,1/30/2026
1219,367479.95,2259353.507,884.905,BS_INV-27_B_S01,1/30/2026
1220,367529.682,2259353.558,884.002,BS_INV-27_B_S01,1/30/2026
1221,367556.246,2259353.559,882.607,BS_INV-27_B_S01,1/30/2026
1222,367715.653,2259333.829,877.122,BS_INV-27_B_S01,1/30/2026
1223,367583.189,2259353.417,880.947,BS_INV-27_B_S01,1/30/2026
1224,367635.962,2259353.446,877.747,BS_INV-27_B_S01,1/30/2026
1225,367662.655,2259353.433,877.408,BS_INV-27_B_S01,1/30/2026
1226,367689.159,2259353.57,877.004,BS_INV-27_B_S01,1/30/2026
1227,367715.543,2259353.41,875.766,BS_INV-27_B_S01,1/30/2026
1228,367742.524,2259353.48,874.199,BS_INV-27_B_S01,1/30/2026
1232,367609.474,2259353.444,879.377,BS_INV-27_B_S01,1/30/2026
1233,367689.262,2259334.042,878.449,BS_INV-27_B_S01,1/30/2026
1234,367662.707,2259334.06,878.984,BS_INV-27_B_S01,1/30/2026
1235,367635.983,2259333.881,879.055,BS_INV-27_B_S01,1/30/2026
1246,367386.506,2259333.88,883.547,BS_INV-27_B_S01,1/30/2026
1247,367408.884,2259333.851,883.31,BS_INV-27_B_S01,1/30/2026
1248,367431.129,2259333.935,883.304,BS_INV-27_B_S01,1/30/2026
1249,367457.815,2259333.883,883.396,BS_INV-27_B_S01,1/30/2026
1250,367479.961,2259334.055,883.73,BS_INV-27_B_S01,1/30/2026
1251,367529.77,2259333.995,882.82,BS_INV-27_B_S01,1/30/2026
1252,367556.44,2259333.895,881.566,BS_INV-27_B_S01,1/30/2026
1253,367582.964,2259333.896,880.374,BS_INV-27_B_S01,1/30/2026
1254,367609.545,2259333.957,879.337,BS_INV-27_B_S01,1/30/2026
1573,366914.741,2258709.828,887.618,BS_INV-27_B_S01,1/30/2026
1574,366941.33,2258709.868,887.574,BS_INV-27_B_S01,1/30/2026
1575,366967.893,2258709.848,887.109,BS_INV-27_B_S01,1/30/2026
1576,366994.518,2258709.849,886.951,BS_INV-27_B_S01,1/30/2026
1577,367021.139,2258709.871,886.859,BS_INV-27_B_S01,1/30/2026
1578,367047.718,2258709.854,887.002,BS_INV-27_B_S01,1/30/2026
1579,367074.28,2258709.831,887.006,BS_INV-27_B_S01,1/30/2026
1580,367124.102,2258709.833,887.016,BS_INV-27_B_S01,1/30/2026
1581,366888.142,2258709.842,888.098,BS_INV-27_B_S01,1/30/2026
1582,367150.724,2258709.829,886.897,BS_INV-27_B_S01,1/30/2026
1583,367203.892,2258709.87,887.084,BS_INV-27_B_S01,1/30/2026
1584,367230.461,2258709.841,886.879,BS_INV-27_B_S01,1/30/2026
1585,367257.101,2258709.911,886.634,BS_INV-27_B_S01,1/30/2026
1586,367283.619,2258709.877,886.643,BS_INV-27_B_S01,1/30/2026
1587,367310.183,2258709.877,886.195,BS_INV-27_B_S01,1/30/2026
1588,367336.848,2258709.869,885.592,BS_INV-27_B_S01,1/30/2026
1591,367177.262,2258709.822,886.923,BS_INV-27_B_S01,1/30/2026
1592,366861.548,2258709.877,888.678,BS_INV-27_B_S01,1/30/2026
1593,367336.814,2258690.346,885.543,BS_INV-27_B_S01,1/30/2026
1594,367310.245,2258690.322,885.83,BS_INV-27_B_S01,1/30/2026
1598,366861.528,2258690.33,889.051,BS_INV-27_B_S01,1/30/2026
1599,366888.099,2258690.352,888.226,BS_INV-27_B_S01,1/30/2026
1600,366914.664,2258690.32,887.61,BS_INV-27_B_S01,1/30/2026
1601,366941.312,2258690.354,887.227,BS_INV-27_B_S01,1/30/2026
1602,366967.828,2258690.315,886.91,BS_INV-27_B_S01,1/30/2026
1603,366994.419,2258690.321,886.852,BS_INV-27_B_S01,1/30/2026
1604,367021.073,2258690.344,886.647,BS_INV-27_B_S01,1/30/2026
1605,367047.66,2258690.325,886.691,BS_INV-27_B_S01,1/30/2026
1606,367074.22,2258690.297,886.697,BS_INV-27_B_S01,1/30/2026
1607,367124.06,2258690.308,886.821,BS_INV-27_B_S01,1/30/2026
1608,367150.687,2258690.35,886.979,BS_INV-27_B_S01,1/30/2026
1609,367177.205,2258690.337,887.338,BS_INV-27_B_S01,1/30/2026
1610,367203.816,2258690.34,887.01,BS_INV-27_B_S01,1/30/2026
1611,367230.427,2258690.32,886.844,BS_INV-27_B_S01,1/30/2026
1612,367257.023,2258690.329,886.578,BS_INV-27_B_S01,1/30/2026
1613,367283.66,2258690.325,886.461,BS_INV-27_B_S01,1/30/2026
5212,366967.935,2258904.942,884.959,BS_INV-27_B_S01,1/30/2026
5213,366994.487,2258904.951,885.287,BS_INV-27_B_S01,1/30/2026
