UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned
2247,366078.634,2257363.125,893.431,BS_INV-29_T_S01,1/28/2026
2248,366105.25,2257363.201,893.529,BS_INV-29_T_S01,1/28/2026
2249,366155.059,2257363.172,893.515,BS_INV-29_T_S01,1/28/2026
2250,366181.616,2257363.169,893.291,BS_INV-29_T_S01,1/28/2026
2251,366208.234,2257363.027,893.21,BS_INV-29_T_S01,1/28/2026
2252,366234.824,2257363.142,892.937,BS_INV-29_T_S01,1/28/2026
2253,366261.401,2257363.068,892.739,BS_INV-29_T_S01,1/28/2026
2254,366287.997,2257363.098,892.435,BS_INV-29_T_S01,1/28/2026
2255,366052.121,2257363.139,893.327,BS_INV-29_T_S01,1/28/2026
2256,366314.666,2257363.083,892.261,BS_INV-29_T_S01,1/28/2026
2257,366367.764,2257363.084,891.758,BS_INV-29_T_S01,1/28/2026
2265,366341.173,2257363.121,892.027,BS_INV-29_T_S01,1/28/2026
2266,366025.486,2257363.125,893.332,BS_INV-29_T_S01,1/28/2026
2267,365998.756,2257363.159,893.374,BS_INV-29_T_S01,1/28/2026
2268,365972.288,2257363.083,893.261,BS_INV-29_T_S01,1/28/2026
2269,365945.702,2257460.57,892.685,BS_INV-29_T_S01,1/28/2026
2270,365972.233,2257460.544,892.503,BS_INV-29_T_S01,1/28/2026
2271,365998.759,2257460.535,892.247,BS_INV-29_T_S01,1/28/2026
2272,366025.485,2257460.562,892.214,BS_INV-29_T_S01,1/28/2026
2273,366052.003,2257460.558,892.229,BS_INV-29_T_S01,1/28/2026
2274,366078.656,2257460.533,892.464,BS_INV-29_T_S01,1/28/2026
2275,366105.21,2257460.512,892.613,BS_INV-29_T_S01,1/28/2026
2276,366154.956,2257460.556,892.778,BS_INV-29_T_S01,1/28/2026
2277,366181.616,2257460.488,892.825,BS_INV-29_T_S01,1/28/2026
2278,366208.246,2257460.557,892.682,BS_INV-29_T_S01,1/28/2026
2279,366234.824,2257460.471,892.584,BS_INV-29_T_S01,1/28/2026
2280,366261.446,2257460.584,892.306,BS_INV-29_T_S01,1/28/2026
2281,366287.912,2257460.543,892.159,BS_INV-29_T_S01,1/28/2026
2282,366314.558,2257460.505,891.932,BS_INV-29_T_S01,1/28/2026
2283,366341.168,2257460.521,891.661,BS_INV-29_T_S01,1/28/2026
2284,366367.786,2257460.448,891.592,BS_INV-29_T_S01,1/28/2026
2285,365892.561,2257363.073,892.925,BS_INV-29_T_S01,1/28/2026
2286,365919.115,2257363.058,893.2,BS_INV-29_T_S01,1/28/2026
2287,365945.658,2257363.066,893.199,BS_INV-29_T_S01,1/28/2026
2424,365919.022,2257460.613,892.42,BS_INV-29_T_S01,1/28/2026
2514,365892.475,2257460.599,892.174,BS_INV-29_T_S01,1/28/2026
2515,366367.807,2257480.054,891.478,BS_INV-29_T_S01,1/28/2026
2516,366341.236,2257480.01,891.711,BS_INV-29_T_S01,1/28/2026
2742,366341.201,2257343.632,891.967,BS_INV-29_T_S01,1/28/2026
2743,366367.844,2257343.604,891.796,BS_INV-29_T_S01,1/28/2026
2744,365892.514,2257480.027,892.017,BS_INV-29_T_S01,1/28/2026
2745,365919.093,2257480.02,892.349,BS_INV-29_T_S01,1/28/2026
2746,365945.6,2257480.005,892.491,BS_INV-29_T_S01,1/28/2026
2747,365972.354,2257480.033,892.371,BS_INV-29_T_S01,1/28/2026
2748,365998.87,2257480.052,892.282,BS_INV-29_T_S01,1/28/2026
2749,366025.456,2257480.05,891.921,BS_INV-29_T_S01,1/28/2026
2750,366314.656,2257343.604,892.097,BS_INV-29_T_S01,1/28/2026
2751,366052.084,2257480.048,892.259,BS_INV-29_T_S01,1/28/2026
2752,366105.199,2257480.008,892.686,BS_INV-29_T_S01,1/28/2026
2753,366155.014,2257480.061,892.798,BS_INV-29_T_S01,1/28/2026
2754,366181.558,2257480.025,892.818,BS_INV-29_T_S01,1/28/2026
2755,366208.308,2257480.125,892.609,BS_INV-29_T_S01,1/28/2026
2756,366234.755,2257479.973,892.133,BS_INV-29_T_S01,1/28/2026
2757,366261.526,2257479.965,892.244,BS_INV-29_T_S01,1/28/2026
2758,366287.914,2257479.993,892.027,BS_INV-29_T_S01,1/28/2026
2759,366314.592,2257480.015,891.926,BS_INV-29_T_S01,1/28/2026
2760,366078.676,2257480.049,892.458,BS_INV-29_T_S01,1/28/2026
2761,366287.919,2257343.629,892.314,BS_INV-29_T_S01,1/28/2026
2762,366261.37,2257343.594,892.506,BS_INV-29_T_S01,1/28/2026
