UPN,N_Y,E_X,Elv_Z,Source
8635,367157.529,2261714.694,918.741,BS_INV-14_T_S01
8636,367184.053,2261714.77,918.486,BS_INV-14_T_S01
8637,367210.583,2261714.781,917.994,BS_INV-14_T_S01
8638,367237.17,2261714.731,917.183,BS_INV-14_T_S01
8639,367263.81,2261714.689,916.305,BS_INV-14_T_S01
8640,366868.06,2261734.469,911.327,BS_INV-14_T_S01
8641,366894.971,2261734.308,912.164,BS_INV-14_T_S01
8642,366921.59,2261734.31,913.029,BS_INV-14_T_S01
8643,366948.141,2261734.315,913.814,BS_INV-14_T_S01
8644,366974.779,2261734.252,914.589,BS_INV-14_T_S01
8645,367001.268,2261734.29,915.379,BS_INV-14_T_S01
8646,367027.869,2261734.333,916.205,BS_INV-14_T_S01
8647,367054.437,2261734.323,916.867,BS_INV-14_T_S01
8648,367104.292,2261734.296,917.987,BS_INV-14_T_S01
8649,367130.816,2261734.329,918.328,BS_INV-14_T_S01
8650,367157.445,2261734.321,918.433,BS_INV-14_T_S01
8651,367184.055,2261734.328,918.154,BS_INV-14_T_S01
8652,367210.621,2261734.34,917.623,BS_INV-14_T_S01
8653,367237.188,2261734.339,916.815,BS_INV-14_T_S01
8654,367263.689,2261734.32,916.096,BS_INV-14_T_S01
8655,366868.573,2261753.878,911.557,BS_INV-14_T_S01
8656,366894.901,2261753.818,912.489,BS_INV-14_T_S01
8657,366921.615,2261753.821,913.274,BS_INV-14_T_S01
8658,366948.166,2261753.764,913.907,BS_INV-14_T_S01
8659,366974.745,2261753.793,914.623,BS_INV-14_T_S01
8660,367001.338,2261753.777,915.208,BS_INV-14_T_S01
8661,367027.94,2261753.769,915.933,BS_INV-14_T_S01
8662,367130.851,2261714.738,918.721,BS_INV-14_T_S01
8663,367104.206,2261714.715,918.336,BS_INV-14_T_S01
8664,367054.48,2261714.717,917.064,BS_INV-14_T_S01
8665,367027.934,2261714.72,916.103,BS_INV-14_T_S01
8679,367054.496,2261753.774,916.569,BS_INV-14_T_S01
8688,366868.444,2261714.766,911.078,BS_INV-14_T_S01
8689,366894.937,2261714.721,911.845,BS_INV-14_T_S01
8690,366921.544,2261714.719,912.666,BS_INV-14_T_S01
8691,366948.188,2261714.652,913.442,BS_INV-14_T_S01
8692,366974.842,2261714.726,914.335,BS_INV-14_T_S01
8695,367104.313,2261753.771,917.52,BS_INV-14_T_S01
8696,367130.844,2261753.733,917.987,BS_INV-14_T_S01
8697,367157.509,2261753.819,917.95,BS_INV-14_T_S01
8698,367237.222,2261792.748,916.841,BS_INV-14_T_S01
8699,367263.982,2261792.768,916.341,BS_INV-14_T_S01
8711,367210.69,2261792.704,917.493,BS_INV-14_T_S01
8728,367184.182,2261792.767,917.869,BS_INV-14_T_S01
8729,367130.927,2261792.713,917.694,BS_INV-14_T_S01
8730,367184.032,2261753.761,917.948,BS_INV-14_T_S01
8731,367210.565,2261753.747,917.353,BS_INV-14_T_S01
8732,367237.264,2261753.8,916.61,BS_INV-14_T_S01
8733,367263.916,2261753.775,915.923,BS_INV-14_T_S01
8734,366868.01,2261773.198,911.62,BS_INV-14_T_S01
8735,366894.952,2261773.375,912.667,BS_INV-14_T_S01
8736,366921.598,2261773.274,913.436,BS_INV-14_T_S01
8737,366948.163,2261773.28,914.128,BS_INV-14_T_S01
8738,366974.747,2261773.216,914.619,BS_INV-14_T_S01
8739,367001.304,2261773.303,915.202,BS_INV-14_T_S01
8740,367027.906,2261773.332,915.948,BS_INV-14_T_S01
8741,367054.394,2261773.242,916.593,BS_INV-14_T_S01
8742,367104.237,2261773.278,917.458,BS_INV-14_T_S01
8743,367157.494,2261792.707,917.819,BS_INV-14_T_S01
8744,367130.929,2261773.288,917.849,BS_INV-14_T_S01
8745,367183.857,2261773.298,917.861,BS_INV-14_T_S01
8746,367210.689,2261773.254,917.329,BS_INV-14_T_S01
8747,367237.249,2261773.266,916.599,BS_INV-14_T_S01
8748,367263.785,2261773.356,916.065,BS_INV-14_T_S01
8749,366868.457,2261792.783,911.812,BS_INV-14_T_S01
8750,366894.867,2261792.743,912.674,BS_INV-14_T_S01
8751,366921.54,2261792.829,913.373,BS_INV-14_T_S01
8752,366948.147,2261792.855,913.874,BS_INV-14_T_S01
8753,366974.744,2261792.752,914.452,BS_INV-14_T_S01
8754,367001.346,2261792.719,915.051,BS_INV-14_T_S01
8755,367027.937,2261792.757,915.719,BS_INV-14_T_S01
8756,367054.506,2261792.731,916.394,BS_INV-14_T_S01
8757,367104.316,2261792.702,917.355,BS_INV-14_T_S01
8758,367157.487,2261773.263,917.95,BS_INV-14_T_S01
13724,367104.303,2262007.259,916.435,BS_INV-14_T_S01
13725,367130.763,2262007.276,917.751,BS_INV-14_T_S01
13726,367157.31,2262007.223,918.992,BS_INV-14_T_S01
13727,367184.26,2262007.304,919.947,BS_INV-14_T_S01
13728,367210.544,2262007.339,920.561,BS_INV-14_T_S01
13729,367236.88,2262007.308,921.057,BS_INV-14_T_S01
13730,367263.925,2262007.262,921.186,BS_INV-14_T_S01
13731,367290.4,2262007.24,921.388,BS_INV-14_T_S01
13751,367054.456,2262007.341,914.619,BS_INV-14_T_S01
13752,367028.044,2262007.291,913.821,BS_INV-14_T_S01
13753,367001.409,2262007.275,913.089,BS_INV-14_T_S01
13754,366974.833,2262007.294,912.456,BS_INV-14_T_S01
13765,366895.012,2262026.781,909.986,BS_INV-14_T_S01
13766,366921.565,2262026.78,910.761,BS_INV-14_T_S01
13767,366948.285,2262026.772,911.37,BS_INV-14_T_S01
13769,366974.742,2262026.745,911.981,BS_INV-14_T_S01
13770,367027.926,2262026.714,913.443,BS_INV-14_T_S01
13771,367054.471,2262026.747,914.156,BS_INV-14_T_S01
13772,367104.398,2262026.796,915.682,BS_INV-14_T_S01
13773,367130.787,2262026.812,916.658,BS_INV-14_T_S01
13774,367157.22,2262026.736,917.82,BS_INV-14_T_S01
13775,367184.127,2262026.818,918.687,BS_INV-14_T_S01
13776,367210.728,2262026.756,919.197,BS_INV-14_T_S01
13777,367237.117,2262026.823,919.559,BS_INV-14_T_S01
13778,367263.755,2262026.806,919.771,BS_INV-14_T_S01
13779,367290.513,2262026.877,920.273,BS_INV-14_T_S01
13780,366894.92,2262007.301,910.466,BS_INV-14_T_S01
13781,366921.61,2262007.32,911.11,BS_INV-14_T_S01
13782,366948.189,2262007.265,911.864,BS_INV-14_T_S01
13783,367001.396,2262026.766,912.755,BS_INV-14_T_S01
17882,366868.394,2261870.801,911.486,BS_INV-14_T_S01
17883,366895.029,2261870.8,912.223,BS_INV-14_T_S01
17884,366921.701,2261870.775,913.083,BS_INV-14_T_S01
17885,366948.038,2261870.783,914.132,BS_INV-14_T_S01
17919,366974.737,2261870.745,915.097,BS_INV-14_T_S01
18046,367001.344,2261870.736,915.939,BS_INV-14_T_S01
18047,367027.797,2261870.806,916.508,BS_INV-14_T_S01
18048,367054.345,2261870.766,916.899,BS_INV-14_T_S01
18208,367104.278,2261870.798,917.349,BS_INV-14_T_S01
18209,367130.859,2261870.823,917.676,BS_INV-14_T_S01
18210,367157.429,2261870.856,917.993,BS_INV-14_T_S01
18211,367184.017,2261870.812,918.233,BS_INV-14_T_S01
18212,367210.698,2261870.831,918.193,BS_INV-14_T_S01
18213,367237.238,2261870.786,917.844,BS_INV-14_T_S01
19411,366868.506,2261617.316,911.524,BS_INV-14_T_S01
19445,366894.994,2261617.266,912.497,BS_INV-14_T_S01
19572,366921.659,2261617.285,913.648,BS_INV-14_T_S01
19573,366948.135,2261617.287,914.913,BS_INV-14_T_S01
19574,366974.725,2261617.274,916.376,BS_INV-14_T_S01
19713,366868.494,2261597.713,911.742,BS_INV-14_T_S01
19714,366894.96,2261597.702,912.993,BS_INV-14_T_S01
19716,366921.598,2261597.695,914.243,BS_INV-14_T_S01
19717,366974.706,2261597.718,917.181,BS_INV-14_T_S01
19718,367001.31,2261597.763,918.209,BS_INV-14_T_S01
19719,367027.778,2261597.79,919.055,BS_INV-14_T_S01
19720,367054.417,2261597.773,919.523,BS_INV-14_T_S01
19721,367104.199,2261597.71,919.479,BS_INV-14_T_S01
19722,367130.837,2261597.648,919.754,BS_INV-14_T_S01
19723,367157.528,2261597.708,920.268,BS_INV-14_T_S01
19724,367183.915,2261597.611,920.273,BS_INV-14_T_S01
19725,367210.521,2261597.727,920.099,BS_INV-14_T_S01
19726,367237.054,2261597.67,919.54,BS_INV-14_T_S01
19727,367263.793,2261597.61,918.86,BS_INV-14_T_S01
19728,367290.403,2261597.683,917.651,BS_INV-14_T_S01
19730,366948.084,2261597.852,915.718,BS_INV-14_T_S01
19734,367001.337,2261617.305,917.615,BS_INV-14_T_S01
19735,367027.846,2261617.266,918.489,BS_INV-14_T_S01
19736,367054.384,2261617.22,919.05,BS_INV-14_T_S01
19737,367104.182,2261617.207,919.336,BS_INV-14_T_S01
19738,367130.854,2261617.273,919.55,BS_INV-14_T_S01
19739,367157.411,2261617.189,919.957,BS_INV-14_T_S01
19740,367184.004,2261617.235,919.996,BS_INV-14_T_S01
19741,367210.571,2261617.198,919.67,BS_INV-14_T_S01
19742,367237.134,2261617.232,919.066,BS_INV-14_T_S01
19743,367263.806,2261617.214,918.362,BS_INV-14_T_S01
19744,367290.291,2261617.186,917.213,BS_INV-14_T_S01
20084,367054.581,2261968.281,915.579,BS_INV-14_T_S01
20085,367104.353,2261968.257,917.476,BS_INV-14_T_S01
20086,367130.833,2261968.255,918.725,BS_INV-14_T_S01
20087,367157.539,2261968.238,919.852,BS_INV-14_T_S01
20088,367184.061,2261968.186,920.72,BS_INV-14_T_S01
20089,367210.618,2261968.236,921.174,BS_INV-14_T_S01
20090,367236.808,2261968.031,921.445,BS_INV-14_T_S01
20091,367263.726,2261968.172,921.605,BS_INV-14_T_S01
20092,367290.38,2261968.249,921.728,BS_INV-14_T_S01
20093,366895.064,2261987.744,911.018,BS_INV-14_T_S01
20094,366921.593,2261987.74,911.727,BS_INV-14_T_S01
20095,366948.206,2261987.776,912.324,BS_INV-14_T_S01
20096,366974.807,2261987.787,913.043,BS_INV-14_T_S01
20097,367001.307,2261987.771,913.708,BS_INV-14_T_S01
20098,367027.987,2261987.762,914.338,BS_INV-14_T_S01
20099,367054.622,2261987.679,915.215,BS_INV-14_T_S01
20100,367104.425,2261987.75,917.166,BS_INV-14_T_S01
20101,367130.776,2261987.734,918.563,BS_INV-14_T_S01
20102,367157.469,2261987.783,919.745,BS_INV-14_T_S01
20103,367184.307,2261987.784,920.719,BS_INV-14_T_S01
20104,367210.584,2261987.698,921.239,BS_INV-14_T_S01
20105,367237.111,2261987.782,921.589,BS_INV-14_T_S01
20106,367263.727,2261987.694,921.826,BS_INV-14_T_S01
20107,367290.331,2261987.743,921.878,BS_INV-14_T_S01
20108,366894.988,2261909.653,911.919,BS_INV-14_T_S01
20109,366921.636,2261909.7,912.753,BS_INV-14_T_S01
20110,366948.141,2261909.693,913.84,BS_INV-14_T_S01
20111,367028.025,2261968.24,914.795,BS_INV-14_T_S01
20112,367001.335,2261968.439,914.038,BS_INV-14_T_S01
20113,366974.556,2261968.224,913.529,BS_INV-14_T_S01
20114,366948.204,2261968.222,912.738,BS_INV-14_T_S01
20115,367001.288,2261929.108,915.535,BS_INV-14_T_S01
20116,367027.924,2261929.188,916.315,BS_INV-14_T_S01
20117,367054.688,2261929.337,916.685,BS_INV-14_T_S01
20118,367104.294,2261929.294,917.763,BS_INV-14_T_S01
20119,367130.795,2261929.191,918.512,BS_INV-14_T_S01
20120,367157.438,2261929.236,919.264,BS_INV-14_T_S01
20121,367183.978,2261929.243,919.596,BS_INV-14_T_S01
20122,367210.177,2261929.126,919.803,BS_INV-14_T_S01
20123,367237.175,2261929.078,919.618,BS_INV-14_T_S01
20124,367263.918,2261929.2,919.668,BS_INV-14_T_S01
20125,367290.412,2261929.212,920.119,BS_INV-14_T_S01
20126,366894.999,2261948.705,911.445,BS_INV-14_T_S01
20127,366921.652,2261948.768,912.181,BS_INV-14_T_S01
20128,366974.805,2261909.667,915.086,BS_INV-14_T_S01
20129,366948.19,2261948.768,913.028,BS_INV-14_T_S01
20130,367001.469,2261948.718,914.805,BS_INV-14_T_S01
20131,367027.925,2261948.669,915.501,BS_INV-14_T_S01
20132,367054.513,2261948.735,916.174,BS_INV-14_T_S01
20133,367104.361,2261948.75,917.635,BS_INV-14_T_S01
20134,367130.839,2261948.706,918.761,BS_INV-14_T_S01
20135,367157.455,2261948.739,919.762,BS_INV-14_T_S01
20136,367183.995,2261948.776,920.25,BS_INV-14_T_S01
20137,367210.547,2261948.726,920.538,BS_INV-14_T_S01
20138,367237.222,2261948.716,920.51,BS_INV-14_T_S01
20139,367263.774,2261948.655,920.787,BS_INV-14_T_S01
20140,367290.393,2261948.687,921.016,BS_INV-14_T_S01
20141,366895.039,2261968.246,911.297,BS_INV-14_T_S01
20142,366921.618,2261968.281,911.984,BS_INV-14_T_S01
20143,366974.695,2261948.693,913.903,BS_INV-14_T_S01
20144,367001.559,2261909.584,916.077,BS_INV-14_T_S01
20145,367027.838,2261909.672,916.579,BS_INV-14_T_S01
20146,367054.528,2261909.611,916.976,BS_INV-14_T_S01
20147,367130.853,2261851.364,917.582,BS_INV-14_T_S01
20148,367157.524,2261851.346,917.959,BS_INV-14_T_S01
20149,367184.001,2261851.325,918.063,BS_INV-14_T_S01
20150,367210.637,2261851.25,917.939,BS_INV-14_T_S01
20151,367237.216,2261851.29,917.498,BS_INV-14_T_S01
20152,367263.816,2261851.311,917.173,BS_INV-14_T_S01
20160,367104.263,2261851.353,917.299,BS_INV-14_T_S01
20176,366974.821,2261929.18,914.518,BS_INV-14_T_S01
20177,367054.311,2261851.338,916.594,BS_INV-14_T_S01
20178,367001.256,2261851.374,915.494,BS_INV-14_T_S01
20179,367104.402,2261909.672,917.502,BS_INV-14_T_S01
20180,367130.738,2261909.663,918.061,BS_INV-14_T_S01
20181,367157.574,2261909.707,918.536,BS_INV-14_T_S01
20182,367184.09,2261909.716,918.92,BS_INV-14_T_S01
20183,367210.716,2261909.752,918.982,BS_INV-14_T_S01
20184,367237.266,2261909.704,918.742,BS_INV-14_T_S01
20185,367263.86,2261909.705,918.767,BS_INV-14_T_S01
20186,367290.472,2261909.65,919.14,BS_INV-14_T_S01
20187,366868.396,2261831.785,911.549,BS_INV-14_T_S01
20188,366895.016,2261831.761,912.242,BS_INV-14_T_S01
20189,366921.573,2261831.83,912.925,BS_INV-14_T_S01
20190,366948.097,2261831.759,913.697,BS_INV-14_T_S01
20191,366974.732,2261831.798,914.422,BS_INV-14_T_S01
20192,367027.852,2261851.316,916.121,BS_INV-14_T_S01
20193,367001.361,2261831.738,915.094,BS_INV-14_T_S01
20194,367054.48,2261831.753,916.375,BS_INV-14_T_S01
20195,367104.488,2261831.768,917.282,BS_INV-14_T_S01
20196,367130.866,2261831.727,917.719,BS_INV-14_T_S01
20197,367157.519,2261831.727,918.049,BS_INV-14_T_S01
20198,367184.173,2261831.774,918.063,BS_INV-14_T_S01
20199,367210.699,2261831.773,917.807,BS_INV-14_T_S01
20200,367237.295,2261831.859,917.294,BS_INV-14_T_S01
20201,367263.929,2261831.753,916.857,BS_INV-14_T_S01
20202,366868.355,2261851.327,911.442,BS_INV-14_T_S01
20203,366894.962,2261851.331,912.192,BS_INV-14_T_S01
20204,366921.469,2261851.348,912.937,BS_INV-14_T_S01
20205,366948.073,2261851.325,913.774,BS_INV-14_T_S01
20206,366974.74,2261851.288,914.749,BS_INV-14_T_S01
20207,367027.887,2261831.75,915.813,BS_INV-14_T_S01
20208,366948.133,2261929.213,913.438,BS_INV-14_T_S01
20209,366921.575,2261929.264,912.504,BS_INV-14_T_S01
20210,366894.98,2261929.226,911.757,BS_INV-14_T_S01
26000,366895.099,2261890.266,912.145,BS_INV-14_T_S01
26001,366921.659,2261890.236,913.058,BS_INV-14_T_S01
26002,366948.292,2261890.282,914.141,BS_INV-14_T_S01
26003,366974.785,2261890.173,915.355,BS_INV-14_T_S01
26004,367001.33,2261890.207,916.218,BS_INV-14_T_S01
26005,367027.911,2261890.2,916.876,BS_INV-14_T_S01
26006,367054.338,2261890.228,917.173,BS_INV-14_T_S01
26007,367104.341,2261890.19,917.46,BS_INV-14_T_S01
26008,367130.943,2261890.232,917.848,BS_INV-14_T_S01
26009,367157.387,2261890.196,918.098,BS_INV-14_T_S01
26010,367184.078,2261890.211,918.427,BS_INV-14_T_S01
