UPN,N_Y,E_X,Elv_Z,Source
67,367790.386,2262318.531,926.711,BS_INV-15_T_S01
124,367446.136,2262377.617,916.612,BS_INV-15_T_S01
155,367366.355,2262065.988,925.308,BS_INV-15_T_S01
635,367366.841,2262260.687,911.07,BS_INV-15_T_S01
636,367393.395,2262260.657,911.376,BS_INV-15_T_S01
637,367419.98,2262260.681,918.555,BS_INV-15_T_S01
639,367446.563,2262260.713,911.942,BS_INV-15_T_S01
640,367499.78,2262260.71,920.781,BS_INV-15_T_S01
641,367526.361,2262260.685,913.552,BS_INV-15_T_S01
642,367552.912,2262260.667,913.978,BS_INV-15_T_S01
643,367579.584,2262260.711,922.397,BS_INV-15_T_S01
644,367629.368,2262260.675,915.032,BS_INV-15_T_S01
645,367655.979,2262260.69,924.085,BS_INV-15_T_S01
646,367682.471,2262260.691,915.304,BS_INV-15_T_S01
647,367709.08,2262260.729,915.722,BS_INV-15_T_S01
648,367473.254,2262260.713,916.78,BS_INV-15_T_S01
671,367735.733,2262260.687,915.719,BS_INV-15_T_S01
673,367762.28,2262260.816,916.147,BS_INV-15_T_S01
674,367815.456,2262260.798,917.658,BS_INV-15_T_S01
697,367842.005,2262260.691,918.243,BS_INV-15_T_S01
716,367788.939,2262260.712,916.719,BS_INV-15_T_S01
9660,367420.058,2262299.762,910.854,BS_INV-15_T_S01
9661,367446.552,2262299.761,916.437,BS_INV-15_T_S01
9662,367473.17,2262299.773,912.248,BS_INV-15_T_S01
9663,367499.679,2262299.706,912.387,BS_INV-15_T_S01
9664,367526.318,2262299.755,916.204,BS_INV-15_T_S01
9665,367552.88,2262299.746,915.984,BS_INV-15_T_S01
9666,367579.416,2262299.803,913.715,BS_INV-15_T_S01
9667,367629.368,2262299.692,914.31,BS_INV-15_T_S01
9668,367655.862,2262299.726,914.336,BS_INV-15_T_S01
9669,367682.507,2262299.723,914.825,BS_INV-15_T_S01
9670,367709.131,2262299.764,915.134,BS_INV-15_T_S01
9671,367735.701,2262299.716,915.654,BS_INV-15_T_S01
9672,367762.281,2262299.743,916.181,BS_INV-15_T_S01
9673,367788.673,2262299.717,917.024,BS_INV-15_T_S01
9674,367815.476,2262299.762,917.858,BS_INV-15_T_S01
9716,367762.28,2262241.188,915.735,BS_INV-15_T_S01
9717,367789.046,2262241.188,916.232,BS_INV-15_T_S01
9718,367815.475,2262241.293,918.413,BS_INV-15_T_S01
9729,367735.626,2262241.172,915.413,BS_INV-15_T_S01
9746,367709.249,2262241.181,915.238,BS_INV-15_T_S01
9747,367656.025,2262241.231,915.222,BS_INV-15_T_S01
