UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned
2199,365980.46,2261246.611,902.748,BS_INV-21_T_S03,1/6/2026
2200,366007.009,2261246.771,902.438,BS_INV-21_T_S03,1/6/2026
2201,366033.58,2261246.765,902.208,BS_INV-21_T_S03,1/6/2026
2202,366216.343,2261266.218,902.462,BS_INV-21_T_S03,1/6/2026
2203,366242.974,2261266.194,902.168,BS_INV-21_T_S03,1/6/2026
2204,366269.568,2261266.245,902.054,BS_INV-21_T_S03,1/6/2026
2205,366296.166,2261266.208,902.605,BS_INV-21_T_S03,1/6/2026
2206,366322.646,2261266.288,903.24,BS_INV-21_T_S03,1/6/2026
2210,366189.742,2261266.23,902.409,BS_INV-21_T_S03,1/6/2026
2221,366163.16,2261266.214,902.267,BS_INV-21_T_S03,1/6/2026
2222,366136.607,2261266.204,902.484,BS_INV-21_T_S03,1/6/2026
2223,366110.012,2261266.263,902.706,BS_INV-21_T_S03,1/6/2026
2224,366060.125,2261246.769,902.258,BS_INV-21_T_S03,1/6/2026
2225,366109.989,2261246.721,902.522,BS_INV-21_T_S03,1/6/2026
2226,366136.523,2261246.721,902.15,BS_INV-21_T_S03,1/6/2026
2227,366163.168,2261246.733,901.807,BS_INV-21_T_S03,1/6/2026
2228,366189.819,2261246.739,901.836,BS_INV-21_T_S03,1/6/2026
2229,366216.349,2261246.741,901.835,BS_INV-21_T_S03,1/6/2026
2230,366242.84,2261246.714,901.756,BS_INV-21_T_S03,1/6/2026
2231,366269.568,2261246.727,901.962,BS_INV-21_T_S03,1/6/2026
2232,366296.185,2261246.739,902.509,BS_INV-21_T_S03,1/6/2026
2233,366322.754,2261246.766,903.279,BS_INV-21_T_S03,1/6/2026
2239,365980.379,2261266.222,903.057,BS_INV-21_T_S03,1/6/2026
2240,366007.047,2261266.25,902.696,BS_INV-21_T_S03,1/6/2026
2241,366033.527,2261266.248,902.511,BS_INV-21_T_S03,1/6/2026
2242,366060.24,2261266.216,902.524,BS_INV-21_T_S03,1/6/2026
5401,365980.377,2261149.282,900.788,BS_INV-21_T_S03,1/6/2026
5402,366033.547,2261149.259,900.406,BS_INV-21_T_S03,1/6/2026
5403,366060.037,2261149.198,900.709,BS_INV-21_T_S03,1/6/2026
5404,366109.963,2261149.259,900.7,BS_INV-21_T_S03,1/6/2026
5405,366136.57,2261149.302,900.408,BS_INV-21_T_S03,1/6/2026
5406,366163.201,2261149.197,900.21,BS_INV-21_T_S03,1/6/2026
5407,366189.749,2261149.23,900.268,BS_INV-21_T_S03,1/6/2026
5408,366216.346,2261149.244,900.355,BS_INV-21_T_S03,1/6/2026
5409,366242.945,2261149.289,900.694,BS_INV-21_T_S03,1/6/2026
5410,366006.919,2261149.26,900.777,BS_INV-21_T_S03,1/6/2026
5433,366269.48,2261149.318,901.421,BS_INV-21_T_S03,1/6/2026
5435,366296.162,2261149.206,902.258,BS_INV-21_T_S03,1/6/2026
5463,365980.376,2261129.741,900.087,BS_INV-21_T_S03,1/6/2026
5464,366006.961,2261129.701,900.189,BS_INV-21_T_S03,1/6/2026
5465,366033.523,2261129.736,900.112,BS_INV-21_T_S03,1/6/2026
5466,366060.088,2261129.707,900.282,BS_INV-21_T_S03,1/6/2026
5467,366109.918,2261129.85,900.502,BS_INV-21_T_S03,1/6/2026
5468,366136.558,2261129.748,900.186,BS_INV-21_T_S03,1/6/2026
5469,366163.197,2261129.76,900.053,BS_INV-21_T_S03,1/6/2026
5470,366189.765,2261129.741,900.057,BS_INV-21_T_S03,1/6/2026
5471,366216.337,2261129.79,900.142,BS_INV-21_T_S03,1/6/2026
5472,366242.919,2261129.768,900.573,BS_INV-21_T_S03,1/6/2026
5473,366269.572,2261129.758,900.982,BS_INV-21_T_S03,1/6/2026
5474,366296.242,2261129.733,901.825,BS_INV-21_T_S03,1/6/2026
5475,366322.619,2261129.789,902.619,BS_INV-21_T_S03,1/6/2026
5478,366322.712,2261149.204,903.028,BS_INV-21_T_S03,1/6/2026
5883,366085.018,2261246.74,902.514,BS_INV-21_T_S03,1/6/2026
5884,366085.052,2261266.213,902.725,BS_INV-21_T_S03,1/6/2026
6081,366085.093,2261149.214,900.914,BS_INV-21_T_S03,1/6/2026
6088,366084.96,2261129.671,900.466,BS_INV-21_T_S03,1/6/2026
8380,366163.166,2261168.776,900.467,BS_INV-21_T_S03,1/6/2026
8381,366189.81,2261168.759,900.555,BS_INV-21_T_S03,1/6/2026
8382,366216.382,2261168.783,900.609,BS_INV-21_T_S03,1/6/2026
8383,366242.813,2261168.734,900.971,BS_INV-21_T_S03,1/6/2026
8384,366269.431,2261168.755,901.615,BS_INV-21_T_S03,1/6/2026
8385,366296.18,2261168.671,902.484,BS_INV-21_T_S03,1/6/2026
8407,366136.579,2261168.794,900.734,BS_INV-21_T_S03,1/6/2026
8408,366110,2261168.799,901.197,BS_INV-21_T_S03,1/6/2026
8409,366060.034,2261168.745,901.39,BS_INV-21_T_S03,1/6/2026
8410,366037.827,2261168.747,901.207,BS_INV-21_T_S03,1/6/2026
8411,366189.728,2261227.247,901.347,BS_INV-21_T_S03,1/6/2026
8412,366216.266,2261227.254,901.273,BS_INV-21_T_S03,1/6/2026
8413,366242.9,2261227.158,901.472,BS_INV-21_T_S03,1/6/2026
8414,366269.503,2261227.229,901.913,BS_INV-21_T_S03,1/6/2026
8415,366295.976,2261227.223,902.609,BS_INV-21_T_S03,1/6/2026
8416,366011.252,2261207.749,902.086,BS_INV-21_T_S03,1/6/2026
8417,366037.849,2261207.762,901.73,BS_INV-21_T_S03,1/6/2026
8418,366059.999,2261207.754,901.83,BS_INV-21_T_S03,1/6/2026
8419,366110.003,2261207.73,901.947,BS_INV-21_T_S03,1/6/2026
8420,366136.543,2261207.784,901.565,BS_INV-21_T_S03,1/6/2026
8421,366163.105,2261207.803,901.136,BS_INV-21_T_S03,1/6/2026
8422,366189.731,2261207.776,900.969,BS_INV-21_T_S03,1/6/2026
8423,366216.29,2261207.768,901.051,BS_INV-21_T_S03,1/6/2026
8425,366242.836,2261207.768,901.389,BS_INV-21_T_S03,1/6/2026
8426,366296.2,2261207.779,902.602,BS_INV-21_T_S03,1/6/2026
8427,366011.364,2261188.236,901.608,BS_INV-21_T_S03,1/6/2026
8428,366037.939,2261188.251,901.413,BS_INV-21_T_S03,1/6/2026
8429,366060.084,2261188.251,901.561,BS_INV-21_T_S03,1/6/2026
8430,366109.911,2261188.347,901.547,BS_INV-21_T_S03,1/6/2026
8431,366136.694,2261188.259,901.118,BS_INV-21_T_S03,1/6/2026
8432,366163.081,2261188.25,900.765,BS_INV-21_T_S03,1/6/2026
8433,366189.724,2261188.278,900.738,BS_INV-21_T_S03,1/6/2026
8434,366216.359,2261188.271,900.793,BS_INV-21_T_S03,1/6/2026
