UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned
2697,366078.556,2258220.996,894.948,BS_INV-30_T_S02,1/31/2026
2698,366105.266,2258221.097,894.887,BS_INV-30_T_S02,1/31/2026
2699,366155.033,2258221.048,895.128,BS_INV-30_T_S02,1/31/2026
2700,366181.667,2258221.005,895.039,BS_INV-30_T_S02,1/31/2026
2701,366208.243,2258220.983,894.808,BS_INV-30_T_S02,1/31/2026
2702,366234.881,2258221.011,894.458,BS_INV-30_T_S02,1/31/2026
2703,366261.486,2258220.998,894.241,BS_INV-30_T_S02,1/31/2026
2704,366287.996,2258221.026,894.009,BS_INV-30_T_S02,1/31/2026
2705,366051.982,2258221.01,894.804,BS_INV-30_T_S02,1/31/2026
2706,366314.679,2258221.018,893.707,BS_INV-30_T_S02,1/31/2026
2707,366367.849,2258221.022,893.195,BS_INV-30_T_S02,1/31/2026
2708,365892.523,2258201.499,894.391,BS_INV-30_T_S02,1/31/2026
2709,365919.11,2258201.511,894.274,BS_INV-30_T_S02,1/31/2026
2710,365945.631,2258201.535,894.33,BS_INV-30_T_S02,1/31/2026
2711,365972.264,2258201.501,894.413,BS_INV-30_T_S02,1/31/2026
2712,365998.904,2258201.501,894.483,BS_INV-30_T_S02,1/31/2026
2713,366025.523,2258201.482,894.633,BS_INV-30_T_S02,1/31/2026
2714,366052.101,2258201.494,894.726,BS_INV-30_T_S02,1/31/2026
2715,366341.229,2258221.019,893.5,BS_INV-30_T_S02,1/31/2026
2716,366025.474,2258220.998,894.839,BS_INV-30_T_S02,1/31/2026
2717,365998.925,2258221.056,894.563,BS_INV-30_T_S02,1/31/2026
2718,365972.315,2258221.051,894.557,BS_INV-30_T_S02,1/31/2026
2719,365945.664,2258318.468,894.765,BS_INV-30_T_S02,1/31/2026
2720,365972.248,2258318.453,894.901,BS_INV-30_T_S02,1/31/2026
2721,365998.825,2258318.443,894.818,BS_INV-30_T_S02,1/31/2026
2722,366025.332,2258318.463,895.079,BS_INV-30_T_S02,1/31/2026
2723,366052.004,2258318.511,894.887,BS_INV-30_T_S02,1/31/2026
2724,366078.634,2258318.42,894.972,BS_INV-30_T_S02,1/31/2026
2725,366105.202,2258318.491,895.115,BS_INV-30_T_S02,1/31/2026
2726,366154.986,2258318.53,895.105,BS_INV-30_T_S02,1/31/2026
2727,366181.556,2258318.469,894.992,BS_INV-30_T_S02,1/31/2026
2728,366208.112,2258318.498,894.816,BS_INV-30_T_S02,1/31/2026
2729,366234.786,2258318.456,894.684,BS_INV-30_T_S02,1/31/2026
2730,366261.412,2258318.513,894.536,BS_INV-30_T_S02,1/31/2026
2731,366287.991,2258318.483,894.203,BS_INV-30_T_S02,1/31/2026
2732,366314.557,2258318.498,893.962,BS_INV-30_T_S02,1/31/2026
2733,366341.116,2258318.488,893.482,BS_INV-30_T_S02,1/31/2026
2734,366367.698,2258318.515,893.054,BS_INV-30_T_S02,1/31/2026
2735,365892.504,2258221.103,894.414,BS_INV-30_T_S02,1/31/2026
2736,365919.171,2258221.093,894.321,BS_INV-30_T_S02,1/31/2026
2737,365945.709,2258221.034,894.393,BS_INV-30_T_S02,1/31/2026
2738,366078.689,2258201.547,894.7,BS_INV-30_T_S02,1/31/2026
2739,365919.069,2258318.478,894.652,BS_INV-30_T_S02,1/31/2026
2740,366105.241,2258201.503,894.711,BS_INV-30_T_S02,1/31/2026
2741,366181.658,2258201.49,894.801,BS_INV-30_T_S02,1/31/2026
2764,366208.196,2258201.454,894.731,BS_INV-30_T_S02,1/31/2026
2765,366234.765,2258201.447,894.499,BS_INV-30_T_S02,1/31/2026
2766,366261.433,2258201.476,894.234,BS_INV-30_T_S02,1/31/2026
2767,366288.016,2258201.523,893.974,BS_INV-30_T_S02,1/31/2026
2768,366314.606,2258201.52,893.791,BS_INV-30_T_S02,1/31/2026
2769,366341.121,2258201.469,893.579,BS_INV-30_T_S02,1/31/2026
2770,366367.844,2258201.587,893.128,BS_INV-30_T_S02,1/31/2026
2783,366155.073,2258201.481,894.831,BS_INV-30_T_S02,1/31/2026
2785,365892.534,2258318.527,894.713,BS_INV-30_T_S02,1/31/2026
2786,366341.119,2258338,893.166,BS_INV-30_T_S02,1/31/2026
2829,366367.799,2258337.965,892.717,BS_INV-30_T_S02,1/31/2026
2834,365892.561,2258338.032,894.786,BS_INV-30_T_S02,1/31/2026
2835,365919.101,2258338.001,894.829,BS_INV-30_T_S02,1/31/2026
2836,365945.692,2258338.02,894.825,BS_INV-30_T_S02,1/31/2026
2837,365972.215,2258337.976,894.741,BS_INV-30_T_S02,1/31/2026
2838,365998.94,2258337.957,894.994,BS_INV-30_T_S02,1/31/2026
2839,366025.487,2258338.009,895.096,BS_INV-30_T_S02,1/31/2026
2841,366052.042,2258337.997,895.035,BS_INV-30_T_S02,1/31/2026
2842,366105.193,2258337.964,895.335,BS_INV-30_T_S02,1/31/2026
2843,366154.99,2258337.947,895.152,BS_INV-30_T_S02,1/31/2026
2844,366181.666,2258337.94,895.071,BS_INV-30_T_S02,1/31/2026
2845,366208.2,2258337.967,894.984,BS_INV-30_T_S02,1/31/2026
2846,366234.871,2258337.959,894.727,BS_INV-30_T_S02,1/31/2026
2847,366261.363,2258337.971,894.443,BS_INV-30_T_S02,1/31/2026
2848,366287.959,2258337.981,894.144,BS_INV-30_T_S02,1/31/2026
2849,366314.519,2258337.982,893.7,BS_INV-30_T_S02,1/31/2026
2850,366078.576,2258337.951,895.164,BS_INV-30_T_S02,1/31/2026
5912,366130.098,2258338.009,895.198,BS_INV-30_T_S02,1/31/2026
5913,366130.074,2258318.462,895.168,BS_INV-30_T_S02,1/31/2026
5914,366130.21,2258220.988,894.978,BS_INV-30_T_S02,1/31/2026
5915,366130.163,2258201.504,894.866,BS_INV-30_T_S02,1/31/2026
6631,365593.148,2258162.488,892.959,BS_INV-30_T_S02,1/31/2026
6758,365566.52,2258162.505,892.791,BS_INV-30_T_S02,1/31/2026
6759,365539.992,2258162.45,892.692,BS_INV-30_T_S02,1/31/2026
6760,365513.496,2258162.591,892.655,BS_INV-30_T_S02,1/31/2026
6761,365820.476,2258377.038,895.311,BS_INV-30_T_S02,1/31/2026
6762,365798.121,2258377.081,895.187,BS_INV-30_T_S02,1/31/2026
6763,365771.579,2258377.093,895.175,BS_INV-30_T_S02,1/31/2026
6764,365749.298,2258377.06,895.015,BS_INV-30_T_S02,1/31/2026
6765,365699.476,2258377.091,894.749,BS_INV-30_T_S02,1/31/2026
6766,365672.952,2258377.005,894.639,BS_INV-30_T_S02,1/31/2026
6767,365646.264,2258377.066,894.401,BS_INV-30_T_S02,1/31/2026
6768,365619.728,2258377.133,894.561,BS_INV-30_T_S02,1/31/2026
6769,365593.13,2258377.166,894.326,BS_INV-30_T_S02,1/31/2026
6771,365566.583,2258377.104,894.361,BS_INV-30_T_S02,1/31/2026
6772,365513.277,2258377.051,894.299,BS_INV-30_T_S02,1/31/2026
6785,365539.909,2258377.097,894.277,BS_INV-30_T_S02,1/31/2026
6865,365619.721,2258162.506,893.11,BS_INV-30_T_S02,1/31/2026
7451,365646.278,2258162.491,893.427,BS_INV-30_T_S02,1/31/2026
8123,365672.899,2258162.504,893.687,BS_INV-30_T_S02,1/31/2026
8125,365749.296,2258162.51,894.173,BS_INV-30_T_S02,1/31/2026
8157,366234.826,2258279.504,894.467,BS_INV-30_T_S02,1/31/2026
8158,366261.501,2258279.498,894.192,BS_INV-30_T_S02,1/31/2026
8159,366288.043,2258279.501,894.052,BS_INV-30_T_S02,1/31/2026
8160,366314.671,2258279.518,893.931,BS_INV-30_T_S02,1/31/2026
8161,366056.403,2258260.046,894.744,BS_INV-30_T_S02,1/31/2026
