UPN,N_Y,E_X,Elv_Z,source_file,Source,Date_Scanned,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Data_Scanned 
500181,365854.477,2260031.89,889.036,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,
500182,365854.463,2260040.63,889.147,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,
500183,365854.515,2260045.95,889.006,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,
500184,365854.56,2260051.08,888.996,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,
500185,365854.519,2260058.65,889.068,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,
500186,365854.532,2260064.67,889.079,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,
500187,365858.135,2260064.61,889.105,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,
500188,365858.165,2260058.61,888.877,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,
500189,365858.169,2260051.1,889.01,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,
500190,365858.185,2260046.05,889.129,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,
500191,365858.165,2260040.66,889.095,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,
500192,365858.023,2260031.78,888.937,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,
400206,365560.979,2260391.372,892.76,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,
400207,365560.969,2259723.301,896.582,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,
400208,366084.115,2260391.191,900.463,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,
400210,366087.534,2260017.32,892.435,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,
400211,365947.337,2260017.276,891.588,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,
400212,366087.583,2260019.233,892.34,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,
400213,365947.283,2260019.254,891.684,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,
400214,365809.871,2260075.967,893.91,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,
400215,365557.374,2260075.707,885.608,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,
400216,365810.291,2260056.253,890.744,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,
400217,365557.395,2260056.144,885.46,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,
600205,365954.1,2260016.345,895.35,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,
600206,365948.472,2260016.261,895.365,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,
600207,365959.937,2260016.249,895.434,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,
600208,365954.307,2260020.239,895.431,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,
600209,365948.578,2260020.179,895.361,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,
600210,365960.048,2260020.296,895.456,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,
600211,365808.695,2260055.466,893.933,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,
600212,365804.824,2260055.3,893.637,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,
600213,365804.463,2260057.154,893.664,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,
600214,365808.929,2260057.451,893.967,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,
600215,365804.934,2260074.893,894.272,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,
600216,365809.208,2260074.722,894.375,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,
600217,365809.488,2260076.684,894.375,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,
