OBJECTID,Inverter,Row,Table_,UPN,Drive Time (Min),Drive Time (Sec),As-Built Northing,Design Northing,Top of Pile in Northing Tolerance?,As Built Easting,Design Easting,Top of Pile in Easting Tolerance?,As Built Top Elevation,Design Elevation,Pile Length (ft),As-Built Reveal (ft),Design Min Reveal (ft),Design Max Reveal (ft),Reveal in Spec (Y/N),As-Built Embedment,Design Min Embedment (ft),Min Embedment Met (Y/N),Pile Twist (Degrees),Twist in Tolerance (Y/N),East Degree Lean (West Negative),North Degree Lean (South Negative),Remediation Complete (Y/N/NA),Remediation Type,Top of Pile Delta Northing (in),Top of Pile Location Delta Easting (in),Pile Height (Deg),GlobalID,CreationDate,Creator,EditDate,Editor,Letter,Color,Damper,Pile Type,Table_Ready_for_Racking,Symbology,Tracker Slope (Deg),Cumulative Tracker Slope,Pile Installed?,Elevation in Tolerance?,East Degree Lean in Spec?,North Degree Lean in Spec?,Remediation Approved,Pull Test Passed?,Is Pull Test Needed?,Remediation Performed,Random Pull Test,Cumulative Tracker Slope in Spec?,Date Installed,Date of Pull Test,Date of Random Pull Test,Date Remediation Completed,Date Remediation Approved,Display,Drive Finished At,Drive Machine,Hammering Status,Hammering Flag,Design Bottom of Pile,Remediation_Reccomendation,Symbology_S02,Unique Frame Number,Number of Helicas In Frame,Helical Oreintation,Helical Pile Position,Frame Design Northing,Frame Design Easting,Frame Design Elevation,Helical or W Section,Helical Clocking,Pile Size,Pile_Shape,x,y
47936,19,0,0,800003,,,,365909.175,No,,2260064.583,No,,892.5887,10.75,,2.0,2.75,,,8.0,,,Yes,,,Yes,,4390910.1,27120774.996,,8a3f9faa-594d-4c13-a4e3-3919ed61e730,12/16/2025 5:07:58 PM,HNemerov_westwood,2/6/2026 6:41:37 AM,sauron.sanchez,,,,MET Station Pile Groundworks,,6.0,,,Yes,,,,Yes,,,,,Yes,1/14/2026 6:00:00 AM,,,1/14/2026 6:00:00 AM,,Remediation,,,,,,,,,,,,,,,Wsection,,,,-88.9100809217683,42.9987299054353
48012,23,0,0,400255,,,,366084.137,No,,2262339.272,No,,887.108761015966,15.0,,3.25,6.36,,,8.5,,,Yes,,,,,4393009.644,27148071.264,,602154f6-79fc-44d7-b5ab-250512b31e74,12/16/2025 5:07:58 PM,HNemerov_westwood,2/6/2026 7:15:03 AM,sauron.sanchez,,,,CAB Dead-End Pile E-W,,1.0,,,Yes,,,,,,,,,Yes,12/16/2025 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,Wsection,,,,-88.9015700527979,42.9991280282786
48015,23,0,0,400258,,,,365812.522,No,,2262318.272,No,,901.3147,15.0,,3.25,5.45,,,8.5,,,Yes,,,,,4389750.264,27147819.264,,26b80a5d-a553-4c46-b30e-a19fed882b06,12/16/2025 5:07:58 PM,HNemerov_westwood,2/6/2026 7:15:03 AM,sauron.sanchez,,,,CAB Dead-End Pile N-S,,1.0,,,Yes,,,,,,,,,Yes,12/29/2025 6:00:00 AM,,,,,,,,,,,,,,,,,,,,Wsection,,,,-88.9016619190104,42.9983836011847
48017,23,0,0,400260,,,,365812.522,No,,2262298.772,No,,901.1296,15.0,,3.25,5.45,,,8.5,,,Yes,,,,,4389750.264,27147585.264,,e9e48a31-8e9c-4814-90e1-c4cff2e0908e,12/16/2025 5:07:58 PM,HNemerov_westwood,2/6/2026 7:15:03 AM,sauron.sanchez,,,,CAB Dead-End Pile N-S,,1.0,,,Yes,,,,,,,,,Yes,12/29/2025 6:00:00 AM,,,,,,,,,,,,,,,,,,,,Wsection,,,,-88.9017348047193,42.9983843054924
48019,23,0,0,600257,,,,365811.322,No,,2262297.835,No,,904.8402,17.0,,5.0,7.0,,,10.0,,,Yes,,,,,4389735.864,27147574.02,,83a68455-18f7-4a8a-bd33-99d06e35ba79,12/16/2025 5:07:58 PM,HNemerov_westwood,2/6/2026 7:15:03 AM,sauron.sanchez,,,,LBD PILE,,1.0,,,Yes,,,,,,,,,Yes,12/29/2025 6:00:00 AM,,,,,,,,,,,,,,,,,,,,Wsection,,,,-88.9017383665394,42.9983810474121
48020,23,0,0,600258,,,,365804.422,No,,2262297.835,No,,904.6847,17.0,,5.0,7.0,,,10.0,,,Yes,,,,,4389653.064,27147574.02,,b51b26a9-f5bd-4f9f-bd66-ed42db8da59f,12/16/2025 5:07:58 PM,HNemerov_westwood,2/6/2026 7:15:03 AM,sauron.sanchez,,,,LBD PILE,,1.0,,,Yes,,,,,,,,,Yes,12/29/2025 6:00:00 AM,,,,,,,,,,,,,,,,,,,,Wsection,,,,-88.9017387061026,42.9983621165098
48021,23,0,0,600259,,,,365811.322,No,,2262299.71,No,,904.8668,17.0,,5.0,7.0,,,10.0,,,Yes,,,,,4389735.864,27147596.52,,09419ee3-ab0d-478f-89b3-9a6bf912a79e,12/16/2025 5:07:58 PM,HNemerov_westwood,2/6/2026 7:15:03 AM,sauron.sanchez,,,,LBD PILE,,1.0,,,Yes,,,,,,,,,Yes,12/29/2025 6:00:00 AM,,,,,,,,,,,,,,,,,,,,Wsection,,,,-88.9017313578836,42.9983809797407
48022,23,0,0,600260,,,,365804.422,No,,2262299.71,No,,904.7028,17.0,,5.0,7.0,,,10.0,,,Yes,,,,,4389653.064,27147596.52,,1fe1f066-c2e7-44ca-8302-b89f55a6ddf3,12/16/2025 5:07:58 PM,HNemerov_westwood,2/6/2026 7:15:03 AM,sauron.sanchez,,,,LBD PILE,,1.0,,,Yes,,,,,,,,,Yes,12/29/2025 6:00:00 AM,,,,,,,,,,,,,,,,,,,,Wsection,,,,-88.9017316974467,42.9983620488384
48023,23,0,0,600261,,,,365811.322,No,,2262317.334,No,,905.0424,17.0,,5.0,7.0,,,10.0,,,Yes,,,,,4389735.864,27147808.008,,a538d525-bf8e-4ee7-9476-746a949e0e57,12/16/2025 5:07:58 PM,HNemerov_westwood,2/6/2026 7:15:03 AM,sauron.sanchez,,,,LBD PILE,,1.0,,,Yes,,,,,,,,,Yes,12/29/2025 6:00:00 AM,,,,,,,,,,,,,,,,,,,,Wsection,,,,-88.9016654844238,42.9983803424473
48024,23,0,0,600262,,,,365804.422,No,,2262317.334,No,,904.8081,17.0,,5.0,7.0,,,10.0,,,Yes,,,,,4389653.064,27147808.008,,607ba846-28e6-4a75-b98d-e864af63ef30,12/16/2025 5:07:58 PM,HNemerov_westwood,2/6/2026 7:15:03 AM,sauron.sanchez,,,,LBD PILE,,1.0,,,Yes,,,,,,,,,Yes,12/29/2025 6:00:00 AM,,,,,,,,,,,,,,,,,,,,Wsection,,,,-88.901665823987,42.9983614122018
48025,23,0,0,600263,,,,365811.322,No,,2262319.209,No,,905.0761,17.0,,5.0,7.0,,,10.0,,,Yes,,,,,4389735.864,27147830.508,,09d2e0e2-57f0-428a-9300-35a38060d037,12/16/2025 5:07:58 PM,HNemerov_westwood,2/6/2026 7:15:03 AM,sauron.sanchez,,,,LBD PILE,,1.0,,,Yes,,,,,,,,,Yes,12/29/2025 6:00:00 AM,,,,,,,,,,,,,,,,,,,,Wsection,,,,-88.9016584757679,42.9983802747759
48026,23,0,0,600264,,,,365804.422,No,,2262319.209,No,,904.7931,17.0,,5.0,7.0,,,10.0,,,Yes,,,,,4389653.064,27147830.508,,87a297bb-858d-45dd-98ff-b0d318646ba9,12/16/2025 5:07:58 PM,HNemerov_westwood,2/6/2026 7:15:03 AM,sauron.sanchez,,,,LBD PILE,,1.0,,,Yes,,,,,,,,,Yes,12/29/2025 6:00:00 AM,,,,,,,,,,,,,,,,,,,,Wsection,,,,-88.9016588153311,42.9983613445304
