OBJECTID,Inverter,Row,Table_,UPN,Drive Time (Min),Drive Time (Sec),As-Built Northing,Design Northing,Top of Pile in Northing Tolerance?,As Built Easting,Design Easting,Top of Pile in Easting Tolerance?,As Built Top Elevation,Design Elevation,Pile Length (ft),As-Built Reveal (ft),Design Min Reveal (ft),Design Max Reveal (ft),Reveal in Spec (Y/N),As-Built Embedment,Design Min Embedment (ft),Min Embedment Met (Y/N),Pile Twist (Degrees),Twist in Tolerance (Y/N),East Degree Lean (West Negative),North Degree Lean (South Negative),Remediation Complete (Y/N/NA),Remediation Type,Top of Pile Delta Northing (in),Top of Pile Location Delta Easting (in),Pile Height (Deg),GlobalID,CreationDate,Creator,EditDate,Editor,Letter,Color,Damper,Pile Type,Table_Ready_for_Racking,Symbology,Tracker Slope (Deg),Cumulative Tracker Slope,Pile Installed?,Elevation in Tolerance?,East Degree Lean in Spec?,North Degree Lean in Spec?,Remediation Approved,Pull Test Passed?,Is Pull Test Needed?,Remediation Performed,Random Pull Test,Cumulative Tracker Slope in Spec?,Date Installed,Date of Pull Test,Date of Random Pull Test,Date Remediation Completed,Date Remediation Approved,Display,Drive Finished At,Drive Machine,Hammering Status,Hammering Flag,Design Bottom of Pile,Remediation_Reccomendation,Symbology_S02,Unique Frame Number,Number of Helicas In Frame,Helical Oreintation,Helical Pile Position,Frame Design Northing,Frame Design Easting,Frame Design Elevation,Helical or W Section,Helical Clocking,Pile Size,Pile_Shape,x,y
73151,8,0,0,600412,,,,370307.6,,,2270907.228,,,831.9094,17.0,,,,,,,,,,,,,,,,,09f73933-432a-499c-b363-74804d7bce4f,12/17/2025 4:14:36 PM,HNemerov_westwood,12/17/2025 9:22:39 PM,HNemerov_westwood,,,,LBD PILE,,0.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,Wsection,,,,-88.8693309347923,43.010401030722
47642,8,0,0,600413,,,,370312.2,,,2270907.228,,,831.9548,17.0,,5.0,7.0,,,10.0,,,,,,,,,,,e3fd4272-6cbd-4d5a-a667-ee9d8728fe5b,12/16/2025 5:07:58 PM,HNemerov_westwood,12/17/2025 7:50:00 PM,HNemerov_westwood,,,,LBD PILE,,0.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,Wsection,,,,-88.8693307012304,43.0104136512598
47643,8,0,0,600414,,,,370312.2,,,2270909.103,,,831.7622,17.0,,5.0,7.0,,,10.0,,,,,,,,,,,cc3a400c-1f18-40a5-8ccc-72204dbb1a22,12/16/2025 5:07:58 PM,HNemerov_westwood,12/17/2025 7:50:00 PM,HNemerov_westwood,,,,LBD PILE,,0.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,Wsection,,,,-88.8693236916762,43.010413581631
73152,8,0,0,600415,,,,370307.6,,,2270909.103,,,831.7905,17.0,,,,,,,,,,,,,,,,,a0430399-4be3-46d9-9dc0-bef96fbec00b,12/17/2025 4:14:36 PM,HNemerov_westwood,12/17/2025 9:22:39 PM,HNemerov_westwood,,,,LBD PILE,,0.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,Wsection,,,,-88.8693239252382,43.0104009610933
47645,8,0,0,600416,,,,370312.2,,,2270965.728,,,831.5099,17.0,,5.0,7.0,,,10.0,,,,,,,,,,,92839721-fd87-4474-b2fd-ce018fa556b9,12/16/2025 5:07:58 PM,HNemerov_westwood,12/17/2025 7:50:00 PM,HNemerov_westwood,,,,LBD PILE,,0.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,Wsection,,,,-88.8691120018829,43.0104114743765
73153,8,0,0,600417,,,,370307.6,,,2270965.728,,,831.3486,17.0,,,,,,,,,,,,,,,,,4039771c-f1f6-4f82-b8a7-bf8e95f15c78,12/17/2025 4:14:36 PM,HNemerov_westwood,12/17/2025 9:22:39 PM,HNemerov_westwood,,,,LBD PILE,,0.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,Wsection,,,,-88.8691122345465,43.0103988544952
73154,8,0,0,600418,,,,370307.6,,,2270967.603,,,831.4405,17.0,,,,,,,,,,,,,,,,,361d51b3-5706-499c-a7a1-03f5cfe47672,12/17/2025 4:14:36 PM,HNemerov_westwood,12/17/2025 9:22:40 PM,HNemerov_westwood,,,,LBD PILE,,0.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,Wsection,,,,-88.8691052249924,43.0103987848664
47648,8,0,0,600419,,,,370312.2,,,2270967.603,,,831.5188,17.0,,5.0,7.0,,,10.0,,,,,,,,,,,01ba34a8-f2ab-4005-85f2-61d7e6e40693,12/16/2025 5:07:58 PM,HNemerov_westwood,12/17/2025 7:50:01 PM,HNemerov_westwood,,,,LBD PILE,,0.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,Wsection,,,,-88.8691049923287,43.0104114047478
73155,8,0,0,600420,,,,370168.108,,,2271002.728,,,831.5299,17.0,,,,,,,,,,,,,,,,,ace829f4-9dc2-4619-afe1-358f496e2599,12/17/2025 4:14:36 PM,HNemerov_westwood,12/17/2025 9:22:40 PM,HNemerov_westwood,,,,LBD PILE,,0.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,Wsection,,,,-88.8689809852936,43.010014777822
47650,8,0,0,600421,,,,370162.358,,,2271002.728,,,831.4474,17.0,,5.0,7.0,,,10.0,,,,,,,,,,,7208b6a3-85b8-44ab-ac5f-6fd8a038378b,12/16/2025 5:07:58 PM,HNemerov_westwood,12/17/2025 7:50:01 PM,HNemerov_westwood,,,,LBD PILE,,0.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,Wsection,,,,-88.8689812772461,43.0099990028681
47651,8,0,0,600422,,,,370156.608,,,2271002.728,,,831.446,17.0,,5.0,7.0,,,10.0,,,,,,,,,,,b254a79b-5495-4838-a2c3-911cae952981,12/16/2025 5:07:58 PM,HNemerov_westwood,12/17/2025 7:50:01 PM,HNemerov_westwood,,,,LBD PILE,,0.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,Wsection,,,,-88.8689815683003,43.0099832272532
73156,8,0,0,600423,,,,370168.108,,,2271006.603,,,831.56,17.0,,,,,,,,,,,,,,,,,d2d40798-2e6c-4bc3-a264-86a6d37a52b0,12/17/2025 4:14:36 PM,HNemerov_westwood,12/17/2025 9:22:40 PM,HNemerov_westwood,,,,LBD PILE,,0.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,Wsection,,,,-88.8689664990614,43.0100146339655
47653,8,0,0,600424,,,,370162.358,,,2271006.603,,,831.4692,17.0,,5.0,7.0,,,10.0,,,,,,,,,,,1bb724ae-ef12-4f7d-9aa2-9824e9249b7f,12/16/2025 5:07:58 PM,HNemerov_westwood,12/17/2025 7:50:01 PM,HNemerov_westwood,,,,LBD PILE,,0.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,Wsection,,,,-88.8689667901155,43.0099988583546
47654,8,0,0,600425,,,,370156.608,,,2271006.603,,,831.4504,17.0,,5.0,7.0,,,10.0,,,,,,,,,,,1ceddfab-a36a-48e1-a9ad-77a25ebb6901,12/16/2025 5:07:58 PM,HNemerov_westwood,12/17/2025 7:50:01 PM,HNemerov_westwood,,,,LBD PILE,,0.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,Wsection,,,,-88.868967082068,43.0099830833966
73163,10,0,0,600440,,,,368649.251,,,2269579.162,,,831.1632,17.0,,,,,,,,,,,,,,,,,5a8b21fd-2f34-4772-8116-9d9fcaa0dc31,12/17/2025 4:14:36 PM,HNemerov_westwood,12/17/2025 9:22:42 PM,HNemerov_westwood,,,,LBD PILE,,0.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,Wsection,,,,-88.8743795511308,43.0059006048442
