UPN,N_Y,E_X,Elv_Z,source_file,Source,Date_Scanned,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Data_Scanned 
500181,365854.477,2260031.89,889.036,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,
500182,365854.463,2260040.63,889.147,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,
500183,365854.515,2260045.95,889.006,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,
500184,365854.56,2260051.08,888.996,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,
500185,365854.519,2260058.65,889.068,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,
500186,365854.532,2260064.67,889.079,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,
500187,365858.135,2260064.61,889.105,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,
500188,365858.165,2260058.61,888.877,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,
500189,365858.169,2260051.1,889.01,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,
500190,365858.185,2260046.05,889.129,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,
500191,365858.165,2260040.66,889.095,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,
500192,365858.023,2260031.78,888.937,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,
1078,366847.808,2263723.25,923.47,BS_INV-17_S02.csv,BS_INV-17_T_S02,1/13/2026,,,,,,,,,,
1124,365980.609,2263840.26,903.535,BS_INV-17_S02.csv,BS_INV-17_T_S02,1/13/2026,,,,,,,,,,
1125,366007.071,2263840.306,904.643,BS_INV-17_S02.csv,BS_INV-17_T_S02,1/13/2026,,,,,,,,,,
1126,366033.666,2263840.31,906.013,BS_INV-17_S02.csv,BS_INV-17_T_S02,1/13/2026,,,,,,,,,,
1127,366060.13,2263840.227,907.653,BS_INV-17_S02.csv,BS_INV-17_T_S02,1/13/2026,,,,,,,,,,
1128,366109.837,2263840.18,910.224,BS_INV-17_S02.csv,BS_INV-17_T_S02,1/13/2026,,,,,,,,,,
1129,366136.667,2263840.19,911.065,BS_INV-17_S02.csv,BS_INV-17_T_S02,1/13/2026,,,,,,,,,,
1130,366163.111,2263840.22,911.637,BS_INV-17_S02.csv,BS_INV-17_T_S02,1/13/2026,,,,,,,,,,
1131,366189.785,2263840.235,911.958,BS_INV-17_S02.csv,BS_INV-17_T_S02,1/13/2026,,,,,,,,,,
1132,365953.982,2263840.325,902.728,BS_INV-17_S02.csv,BS_INV-17_T_S02,1/13/2026,,,,,,,,,,
1133,366216.245,2263840.276,912.058,BS_INV-17_S02.csv,BS_INV-17_T_S02,1/13/2026,,,,,,,,,,
1134,366269.574,2263840.184,911.093,BS_INV-17_S02.csv,BS_INV-17_T_S02,1/13/2026,,,,,,,,,,
1135,366296.025,2263840.262,910.529,BS_INV-17_S02.csv,BS_INV-17_T_S02,1/13/2026,,,,,,,,,,
1136,366322.757,2263840.295,910.142,BS_INV-17_S02.csv,BS_INV-17_T_S02,1/13/2026,,,,,,,,,,
1142,366242.958,2263840.2,911.639,BS_INV-17_S02.csv,BS_INV-17_T_S02,1/13/2026,,,,,,,,,,
1143,365927.335,2263840.385,902.284,BS_INV-17_S02.csv,BS_INV-17_T_S02,1/13/2026,,,,,,,,,,
1144,365900.762,2263840.335,902.061,BS_INV-17_S02.csv,BS_INV-17_T_S02,1/13/2026,,,,,,,,,,
1145,365874.165,2263840.319,902.219,BS_INV-17_S02.csv,BS_INV-17_T_S02,1/13/2026,,,,,,,,,,
1164,365847.579,2263840.15,902.134,BS_INV-17_S02.csv,BS_INV-17_T_S02,1/13/2026,,,,,,,,,,
1269,366372.554,2262806.863,910.784,BS_INV-17_S02.csv,BS_INV-17_T_S02,1/13/2026,,,,,,,,,,
1270,366399.276,2262806.826,910.248,BS_INV-17_S02.csv,BS_INV-17_T_S02,1/13/2026,,,,,,,,,,
1271,366425.72,2262806.811,909.824,BS_INV-17_S02.csv,BS_INV-17_T_S02,1/13/2026,,,,,,,,,,
1272,366452.36,2262806.66,909.49,BS_INV-17_S02.csv,BS_INV-17_T_S02,1/13/2026,,,,,,,,,,
1273,366478.91,2262806.774,909.43,BS_INV-17_S02.csv,BS_INV-17_T_S02,1/13/2026,,,,,,,,,,
