UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned
500181,365854.477,2260031.89,889.036,BS_INV_19_B_S06,1/6/2025
500182,365854.463,2260040.63,889.147,BS_INV_19_B_S06,1/6/2025
500183,365854.515,2260045.95,889.006,BS_INV_19_B_S06,1/6/2025
500184,365854.56,2260051.08,888.996,BS_INV_19_B_S06,1/6/2025
500185,365854.519,2260058.65,889.068,BS_INV_19_B_S06,1/6/2025
500186,365854.532,2260064.67,889.079,BS_INV_19_B_S06,1/6/2025
500187,365858.135,2260064.61,889.105,BS_INV_19_B_S06,1/6/2025
500188,365858.165,2260058.61,888.877,BS_INV_19_B_S06,1/6/2025
500189,365858.169,2260051.1,889.01,BS_INV_19_B_S06,1/6/2025
500190,365858.185,2260046.05,889.129,BS_INV_19_B_S06,1/6/2025
500191,365858.165,2260040.66,889.095,BS_INV_19_B_S06,1/6/2025
500192,365858.023,2260031.78,888.937,BS_INV_19_B_S06,1/6/2025
500121,374002.493,2265328.15,866.326,BS_INV_01_B_S01,2/12/2026
500122,373998.885,2265337.143,866.72,BS_INV_01_B_S01,2/12/2026
500123,373998.872,2265342.364,866.936,BS_INV_01_B_S01,2/12/2026
500124,373998.89,2265347.484,867.126,BS_INV_01_B_S01,2/12/2026
500125,373998.923,2265355.119,867.421,BS_INV_01_B_S01,2/12/2026
500126,373998.922,2265361.14,867.635,BS_INV_01_B_S01,2/12/2026
500127,374002.564,2265361.152,867.589,BS_INV_01_B_S01,2/12/2026
500128,374002.558,2265355.087,867.327,BS_INV_01_B_S01,2/12/2026
500129,374002.534,2265347.604,867.036,BS_INV_01_B_S01,2/12/2026
500130,374002.516,2265342.402,866.844,BS_INV_01_B_S01,2/12/2026
500131,374002.53,2265337.116,866.596,BS_INV_01_B_S01,2/12/2026
500132,373998.868,2265328.223,866.4,BS_INV_01_B_S01,2/12/2026
500061,367329.841,2257916.562,882.718,BS_INV_26_B_S01,1/28/2026
500062,367329.801,2257907.517,882.116,BS_INV_26_B_S01,1/28/2026
500063,367329.77,2257902.397,882.02,BS_INV_26_B_S01,1/28/2026
500064,367329.749,2257897.075,881.895,BS_INV_26_B_S01,1/28/2026
500065,367329.774,2257889.619,881.702,BS_INV_26_B_S01,1/28/2026
500066,367329.727,2257883.709,881.651,BS_INV_26_B_S01,1/28/2026
500067,367326.077,2257883.688,881.77,BS_INV_26_B_S01,1/28/2026
500068,367326.137,2257889.554,881.797,BS_INV_26_B_S01,1/28/2026
500069,367326.236,2257897.081,882.029,BS_INV_26_B_S01,1/28/2026
500070,367326.216,2257902.48,882.159,BS_INV_26_B_S01,1/28/2026
500071,367326.126,2257907.685,882.409,BS_INV_26_B_S01,1/28/2026
500072,367326.193,2257916.591,882.995,BS_INV_26_B_S01,1/28/2026
500073,367329.75,2258825.6,887.82,BS_INV_27_B_S01,1/30/2026
500074,367329.661,2258819.605,887.81,BS_INV_27_B_S01,1/30/2026
500075,367326.142,2258819.563,887.846,BS_INV_27_B_S01,1/30/2026
500076,367326.124,2258825.701,887.856,BS_INV_27_B_S01,1/30/2026
500077,367326.101,2258833.154,887.845,BS_INV_27_B_S01,1/30/2026
500078,367326.081,2258838.412,887.725,BS_INV_27_B_S01,1/30/2026
500079,367326.114,2258843.626,887.809,BS_INV_27_B_S01,1/30/2026
500080,367326.023,2258852.51,887.908,BS_INV_27_B_S01,1/30/2026
500081,367329.679,2258833.133,887.83,BS_INV_27_B_S01,1/30/2026
500082,367329.649,2258838.41,887.693,BS_INV_27_B_S01,1/30/2026
500083,367329.683,2258843.614,887.724,BS_INV_27_B_S01,1/30/2026
500084,367329.744,2258852.365,887.891,BS_INV_27_B_S01,1/30/2026
500004,373998.88,2266193.636,848.013,BS_INV_02_B_S01,2/12/2026
500005,373998.866,2266199.595,847.873,BS_INV_02_B_S01,2/12/2026
500006,374002.523,2266199.64,847.877,BS_INV_02_B_S01,2/12/2026
500007,374002.544,2266193.654,848.056,BS_INV_02_B_S01,2/12/2026
500011,373998.935,2266166.665,848.441,BS_INV_02_B_S01,2/12/2026
500012,374002.608,2266166.75,848.364,BS_INV_02_B_S01,2/12/2026
500265,365899.585,2258253.859,890.243,BS_INV_30_B_S02,1/31/2026
500266,365899.584,2258262.777,890.348,BS_INV_30_B_S02,1/31/2026
500267,365899.554,2258268.008,890.298,BS_INV_30_B_S02,1/31/2026
500268,365899.568,2258273.249,890.343,BS_INV_30_B_S02,1/31/2026
500269,365899.57,2258280.741,890.354,BS_INV_30_B_S02,1/31/2026
500270,365899.568,2258286.76,890.345,BS_INV_30_B_S02,1/31/2026
500271,365903.226,2258286.75,890.35,BS_INV_30_B_S02,1/31/2026
500272,365903.22,2258280.752,890.368,BS_INV_30_B_S02,1/31/2026
500273,365903.228,2258273.224,890.334,BS_INV_30_B_S02,1/31/2026
500274,365903.24,2258267.931,890.33,BS_INV_30_B_S02,1/31/2026
500275,365903.242,2258262.654,890.305,BS_INV_30_B_S02,1/31/2026
500276,365903.239,2258253.813,890.224,BS_INV_30_B_S02,1/31/2026
500098,364499.515,2257073.21,883.808,BS_INV_32_B_S02,
500099,364499.542,2257078.692,882.885,BS_INV_32_B_S02,
500100,364499.55,2257083.692,885.091,BS_INV_32_B_S02,
500101,364499.559,2257091.21,885.087,BS_INV_32_B_S02,
500102,364499.55,2257097.255,885.124,BS_INV_32_B_S02,
500103,364503.208,2257097.273,885.083,BS_INV_32_B_S02,
500104,364503.219,2257091.265,885.02,BS_INV_32_B_S02,
500105,364503.214,2257083.806,885.02,BS_INV_32_B_S02,
500106,364503.055,2257078.613,883.283,BS_INV_32_B_S02,
500108,364503.214,2257073.293,885.18,BS_INV_32_B_S02,
500302,364499.575,2258535.92,884.071,BS_INV_35_B_S01,
500303,364499.66,2258540.989,884.13,BS_INV_35_B_S01,
500304,364499.582,2258546.292,886.047,BS_INV_35_B_S01,
500305,364499.526,2258553.718,885.904,BS_INV_35_B_S01,
500306,364499.549,2258559.746,885.852,BS_INV_35_B_S01,
500307,364503.181,2258559.759,886.018,BS_INV_35_B_S01,
500308,364503.166,2258553.73,886.0,BS_INV_35_B_S01,
500309,364503.041,2258541.03,883.664,BS_INV_35_B_S01,
500310,364503.173,2258535.775,886.126,BS_INV_35_B_S01,
500312,364503.138,2258546.236,886.075,BS_INV_35_B_S01,
