UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned
500265,365899.585,2258253.859,890.243,BS_INV_30_B_S02,1/31/2026
500266,365899.584,2258262.777,890.348,BS_INV_30_B_S02,1/31/2026
500267,365899.554,2258268.008,890.298,BS_INV_30_B_S02,1/31/2026
500268,365899.568,2258273.249,890.343,BS_INV_30_B_S02,1/31/2026
500269,365899.57,2258280.741,890.354,BS_INV_30_B_S02,1/31/2026
500270,365899.568,2258286.76,890.345,BS_INV_30_B_S02,1/31/2026
500271,365903.226,2258286.75,890.35,BS_INV_30_B_S02,1/31/2026
500272,365903.22,2258280.752,890.368,BS_INV_30_B_S02,1/31/2026
500273,365903.228,2258273.224,890.334,BS_INV_30_B_S02,1/31/2026
500274,365903.24,2258267.931,890.33,BS_INV_30_B_S02,1/31/2026
500275,365903.242,2258262.654,890.305,BS_INV_30_B_S02,1/31/2026
500276,365903.239,2258253.813,890.224,BS_INV_30_B_S02,1/31/2026
