UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned
500098,364499.52,2257073.145,885.813,BS-INV-32-T-S01,2/09/2026
500099,364499.541,2257078.736,885.862,BS-INV-32-T-S01,2/09/2026
500100,364499.548,2257083.71,885.836,BS-INV-32-T-S01,2/09/2026
500101,364499.553,2257091.214,885.851,BS-INV-32-T-S01,2/09/2026
500102,364499.56,2257097.254,885.815,BS-INV-32-T-S01,2/09/2026
500103,364503.21,2257097.274,885.874,BS-INV-32-T-S01,2/09/2026
500104,364503.227,2257091.258,885.869,BS-INV-32-T-S01,2/09/2026
500105,364503.2,2257083.809,885.867,BS-INV-32-T-S01,2/09/2026
500106,364503.06,2257078.602,885.89,BS-INV-32-T-S01,2/09/2026
500108,364503.22,2257073.29,885.922,BS-INV-32-T-S01,2/09/2026
