UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned
500121,374002.522,2265328.107,870.254,BS-INV-1-T-S01,2/12/2026
500122,373998.891,2265337.181,870.623,BS-INV-1-T-S01,2/12/2026
500123,373998.904,2265342.326,870.873,BS-INV-1-T-S01,2/12/2026
500124,373998.937,2265347.333,871.009,BS-INV-1-T-S01,2/12/2026
500125,373999.025,2265355.154,871.35,BS-INV-1-T-S01,2/12/2026
500126,373998.976,2265361.179,871.583,BS-INV-1-T-S01,2/12/2026
500127,374002.586,2265361.129,871.455,BS-INV-1-T-S01,2/12/2026
500128,374002.658,2265355.067,871.234,BS-INV-1-T-S01,2/12/2026
500129,374002.588,2265347.655,871.047,BS-INV-1-T-S01,2/12/2026
500130,374002.583,2265342.367,870.782,BS-INV-1-T-S01,2/12/2026
500131,374002.623,2265337.041,870.591,BS-INV-1-T-S01,2/12/2026
500132,373998.871,2265328.213,870.295,BS-INV-1-T-S01,2/12/2026
500181,365854.477,2260031.89,889.036,BS-INV-19-T-S06,1/6/2025
500182,365854.463,2260040.63,889.147,BS-INV-19-T-S06,1/6/2025
500183,365854.515,2260045.95,889.006,BS-INV-19-T-S06,1/6/2025
500184,365854.56,2260051.08,888.996,BS-INV-19-T-S06,1/6/2025
500185,365854.519,2260058.65,889.068,BS-INV-19-T-S06,1/6/2025
500186,365854.532,2260064.67,889.079,BS-INV-19-T-S06,1/6/2025
500187,365858.135,2260064.61,889.105,BS-INV-19-T-S06,1/6/2025
500188,365858.165,2260058.61,888.877,BS-INV-19-T-S06,1/6/2025
500189,365858.169,2260051.1,889.01,BS-INV-19-T-S06,1/6/2025
500190,365858.185,2260046.05,889.129,BS-INV-19-T-S06,1/6/2025
500191,365858.165,2260040.66,889.095,BS-INV-19-T-S06,1/6/2025
500192,365858.023,2260031.78,888.937,BS-INV-19-T-S06,1/6/2025
500004,373998.917,2266193.658,851.953,BS-INV-2-T-S01,2/12/2026
500005,373998.906,2266199.608,851.863,BS-INV-2-T-S01,2/12/2026
500006,374002.561,2266199.627,851.886,BS-INV-2-T-S01,2/12/2026
500007,374002.575,2266193.646,852.011,BS-INV-2-T-S01,2/12/2026
500011,373998.984,2266166.67,852.514,BS-INV-2-T-S01,2/12/2026
