UPN,As-Built Northing,As Built Easting,As Built Top Elevation,As-Built Reveal (ft),As-Built Embedment
500181,365854.477,2260031.89,889.036,889.036,-872.536
500182,365854.463,2260040.63,889.147,889.147,-871.647
500183,365854.515,2260045.95,889.006,889.006,-871.506
500184,365854.56,2260051.08,888.996,888.996,-871.496
500185,365854.519,2260058.65,889.068,889.068,-872.568
500186,365854.532,2260064.67,889.079,889.079,-872.579
500187,365858.135,2260064.61,889.105,889.105,-872.605
500188,365858.165,2260058.61,888.877,888.877,-872.377
500189,365858.169,2260051.1,889.01,889.01,-871.51
500190,365858.185,2260046.05,889.129,889.129,-871.629
500191,365858.165,2260040.66,889.095,889.095,-871.595
500192,365858.023,2260031.78,888.937,888.937,-872.437
400206,365560.979,2260391.372,892.76,892.76,-877.76
400207,365560.969,2259723.301,896.582,896.582,-881.582
400208,366084.115,2260391.191,900.463,900.463,-885.463
400210,366087.534,2260017.32,892.435,892.435,-877.435
400211,365947.337,2260017.276,891.588,891.588,-876.588
400212,366087.583,2260019.233,892.34,892.34,-877.34
400213,365947.283,2260019.254,891.684,891.684,-876.684
400214,365809.871,2260075.967,893.91,893.91,-878.91
400215,365557.374,2260075.707,885.608,885.608,-870.608
400216,365810.291,2260056.253,890.744,890.744,-875.744
400217,365557.395,2260056.144,885.46,885.46,-870.46
600205,365954.1,2260016.345,895.35,895.35,-878.35
600206,365948.472,2260016.261,895.365,895.365,-878.365
600207,365959.937,2260016.249,895.434,895.434,-878.434
600208,365954.307,2260020.239,895.431,895.431,-878.431
600209,365948.578,2260020.179,895.361,895.361,-878.361
600210,365960.048,2260020.296,895.456,895.456,-878.456
600211,365808.695,2260055.466,893.933,893.933,-876.933
600212,365804.824,2260055.3,893.637,893.637,-876.637
600213,365804.463,2260057.154,893.664,893.664,-876.664
600214,365808.929,2260057.451,893.967,893.967,-876.967
600215,365804.934,2260074.893,894.272,894.272,-877.272
600216,365809.208,2260074.722,894.375,894.375,-877.375
600217,365809.488,2260076.684,894.375,894.375,-877.375
600218,365804.398,2260076.647,894.261,894.261,-877.261
