UPN,Design Northing,Design Easting,Design Elevation
500229,365854.56,2262293.666,899.0756
500230,365854.56,2262302.583,899.0756
500231,365854.56,2262307.833,899.0756
500232,365854.56,2262313.083,899.0756
500233,365854.56,2262320.583,899.0756
500234,365854.56,2262326.583,899.0756
500235,365858.175,2262326.583,899.0756
500236,365858.175,2262320.583,899.0756
500237,365858.175,2262313.083,899.0756
500238,365858.175,2262307.833,899.0756
500239,365858.175,2262302.583,899.0756
500240,365858.175,2262293.666,899.0756
400255,366084.137,2262339.272,887.108761015966
400258,365812.522,2262318.272,901.3147
400260,365812.522,2262298.772,901.1296
600257,365811.322,2262297.835,904.8402
600258,365804.422,2262297.835,904.6847
600259,365811.322,2262299.71,904.8668
600260,365804.422,2262299.71,904.7028
600261,365811.322,2262317.334,905.0424
600262,365804.422,2262317.334,904.8081
600263,365811.322,2262319.209,905.0761
600264,365804.422,2262319.209,904.7931
600265,366085.074,2262340.472,888.86
600266,366083.2,2262340.472,888.8423
600267,366085.074,2262347.372,888.9922
600268,366083.2,2262347.372,889.0793
