UPN,Design Northing,Design Easting,Design Elevation
500013,367373.989,2261786.666,910.5245
500014,367373.989,2261795.583,910.5245
500015,367373.989,2261800.833,910.5245
500016,367373.989,2261806.083,910.5245
500017,367373.989,2261813.583,910.5245
500018,367373.989,2261819.583,910.5245
500019,367377.604,2261819.583,910.5245
500020,367377.604,2261813.583,910.5245
500025,367377.604,2262196.166,908.5164
500026,367377.604,2262205.083,908.5164
500027,367377.604,2262210.333,908.5164
500028,367377.604,2262215.583,908.5164
500029,367377.604,2262223.083,908.5164
500030,367373.989,2262196.166,908.5164
500031,367373.989,2262205.083,908.5164
500032,367373.989,2262210.333,908.5164
500033,367373.989,2262215.583,908.5164
500034,367373.989,2262223.083,908.5164
500035,367373.989,2262229.083,908.5164
500036,367377.604,2262229.083,908.5164
500037,367373.989,2262586.166,890.3834
500038,367373.989,2262595.083,890.3834
500039,367373.989,2262600.333,890.3834
500040,367373.989,2262605.583,890.3834
500041,367373.989,2262613.083,890.3834
500042,367373.989,2262619.083,890.3834
500043,367377.604,2262619.083,890.3834
500044,367377.604,2262613.083,890.3834
500045,367377.604,2262605.583,890.3834
500046,367377.604,2262600.333,890.3834
500047,367377.604,2262586.166,890.3834
500048,367377.604,2262595.083,890.3834
500052,367329.698,2257370.653,884.3632
500054,367329.698,2257357.153,884.3632
500056,367326.083,2257363.153,884.3632
500057,367326.083,2257370.653,884.3632
500058,367326.083,2257375.903,884.3632
500059,367326.083,2257381.153,884.3632
500060,367326.083,2257390.07,884.3632
500082,367329.698,2258838.403,888.0868
500083,367329.698,2258843.653,888.0868
500084,367329.698,2258852.57,888.0868
500133,367309.911,2260960.378,897.2987
500134,367309.911,2260951.461,897.2987
500135,367309.911,2260946.211,897.2987
500136,367309.911,2260933.461,897.2987
500137,367309.911,2260927.461,897.2987
500138,367306.296,2260927.461,897.2987
500139,367306.296,2260933.461,897.2987
500140,367306.296,2260940.961,897.2987
500141,367306.296,2260946.211,897.2987
500142,367306.296,2260951.461,897.2987
500143,367306.296,2260960.378,897.2987
500144,367309.911,2260940.961,897.2987
500145,367309.911,2261362.461,915.9766
500146,367309.911,2261356.461,915.9766
500147,367306.296,2261356.461,915.9766
500148,367306.296,2261362.461,915.9766
500149,367306.296,2261369.961,915.9766
500150,367306.296,2261375.211,915.9766
500151,367306.296,2261380.461,915.9766
500152,367306.296,2261389.378,915.9766
500153,367309.911,2261369.961,915.9766
500154,367309.911,2261375.211,915.9766
500155,367309.911,2261389.378,915.9766
500156,367309.911,2261380.461,915.9766
500157,366379.703,2263385.666,911.621
500158,366379.703,2263399.833,911.621
500159,366379.703,2263405.083,911.621
500160,366379.703,2263412.583,911.621
500161,366379.703,2263418.583,911.621
500162,366383.318,2263418.583,911.621
500163,366383.318,2263412.583,911.621
500164,366383.318,2263405.083,911.621
500165,366383.318,2263399.833,911.621
500166,366383.318,2263394.583,911.621
500167,366383.318,2263385.666,911.621
500168,366379.703,2263394.583,911.621
500169,365854.56,2259349.166,889.8993
500170,365854.56,2259358.083,889.8993
500171,365854.56,2259363.333,889.8993
500172,365854.56,2259368.583,889.8993
500173,365854.56,2259376.083,889.8993
500174,365854.56,2259382.083,889.8993
500175,365858.175,2259382.083,889.8993
500176,365858.175,2259376.083,889.8993
500177,365858.175,2259368.583,889.8993
500178,365858.175,2259363.333,889.8993
500179,365858.175,2259358.083,889.8993
500180,365858.175,2259349.166,889.8993
500193,365858.175,2260669.083,894.903
500194,365858.175,2260663.083,894.903
