UPN,N_Y,E_X,Elv_Z,source_file,Source,Date_Scanned,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Data_Scanned ,id,hammeringStatus,positioningTime,hammeringTime,headHeight,finishedAt,reachedAt,machine
500181,365854.477,2260031.89,889.036,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,,500181,COMPLETED,,0.001935336,271.9247498,2025-12-03 13:37:01,,Doyle-2500-011 - Machine 2
500182,365854.463,2260040.63,889.147,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,,500182,COMPLETED,,0.001379213,271.96434,2025-12-03 13:25:53,,Doyle-2500-011 - Machine 2
500183,365854.515,2260045.95,889.006,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,,500183,COMPLETED,,0.001870521,272.0125315,2025-12-03 13:18:11,,Doyle-2500-011 - Machine 2
500184,365854.56,2260051.08,888.996,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,,500184,COMPLETED,,0.000960197,272.036511,2025-12-03 13:07:55,,Doyle-2500-011 - Machine 2
500185,365854.519,2260058.65,889.068,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,,500185,COMPLETED,,0.015428137,272.1485409,2025-12-03 13:00:16,,Doyle-2500-011 - Machine 2
500186,365854.532,2260064.67,889.079,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,,500186,COMPLETED,,0.003995891,272.1601273,2025-12-03 11:58:03,,Doyle-2500-011 - Machine 2
500187,365858.135,2260064.61,889.105,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,,500187,COMPLETED,,0.001247662,272.1968688,2025-12-03 14:32:08,,Doyle-2500-011 - Machine 2
500188,365858.165,2260058.61,888.877,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,,500188,COMPLETED,,0.000739421,272.1341257,2025-12-03 14:22:22,,Doyle-2500-011 - Machine 2
500189,365858.169,2260051.1,889.01,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,,500189,COMPLETED,,0.001070706,272.0775178,2025-12-03 14:14:49,,Doyle-2500-011 - Machine 2
500190,365858.185,2260046.05,889.129,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,,500190,COMPLETED,,0.000888194,272.0568882,2025-12-03 14:05:42,,Doyle-2500-011 - Machine 2
500191,365858.165,2260040.66,889.095,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,,500191,COMPLETED,,0.001396412,271.9951113,2025-12-03 13:57:56,,Doyle-2500-011 - Machine 2
500192,365858.023,2260031.78,888.937,BS-INV-19-S06 Non Array.csv,,,,,,,,,,,,,500192,COMPLETED,,0.001949271,271.9664481,2025-12-03 13:50:49,,Doyle-2500-011 - Machine 2
400206,365560.979,2260391.372,892.76,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,,400206,COMPLETED,,0.001295532,272.1236682,2025-12-06 13:38:57,,Doyle-2500-011 - Machine 2
400207,365560.969,2259723.301,896.582,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,,400207,COMPLETED,0.001509919,0.00135125,273.1990174,2025-12-17 11:44:53,2025-12-17 11:41:41,Doyle-2500-033 - Machine 10
