OBJECTID,Inverter,Row,Table_,UPN,Drive Time (Min),Drive Time (Sec),As-Built Northing,Design Northing,Top of Pile in Northing Tolerance?,As Built Easting,Design Easting,Top of Pile in Easting Tolerance?,As Built Top Elevation,Design Elevation,Pile Length (ft),As-Built Reveal (ft),Design Min Reveal (ft),Design Max Reveal (ft),Reveal in Spec (Y/N),As-Built Embedment,Design Min Embedment (ft),Min Embedment Met (Y/N),Pile Twist (Degrees),Twist in Tolerance (Y/N),East Degree Lean (West Negative),North Degree Lean (South Negative),Remediation Complete (Y/N/NA),Remediation Type,Top of Pile Delta Northing (in),Top of Pile Location Delta Easting (in),Pile Height (Deg),GlobalID,CreationDate,Creator,EditDate,Editor,Letter,Color,Damper,Pile Type,Table_Ready_for_Racking,Symbology,Tracker Slope (Deg),Cumulative Tracker Slope,Pile Installed?,Elevation in Tolerance?,East Degree Lean in Spec?,North Degree Lean in Spec?,Remediation Approved,Pull Test Passed?,Is Pull Test Needed?,Remediation Performed,Random Pull Test,Cumulative Tracker Slope in Spec?,Date Installed,Date of Pull Test,Date of Random Pull Test,Date Remediation Completed,Date Remediation Approved,Display,Drive Finished At,Drive Machine,Hammering Status,Hammering Flag,Design Bottom of Pile,Remediation_Reccomendation,Symbology_S02,Unique Frame Number,Number of Helicas In Frame,Helical Oreintation,Helical Pile Position,Frame Design Northing,Frame Design Easting,Frame Design Elevation,Helical or W Section,Helical Clocking,Pile Size,Pile_Shape,x,y
47291,19,0,0,500181,,,365854.477,365854.56,Yes,2260031.89,2260031.666,No,889.036,889.0723,16.5,889.036,1.0,3.5,No,-872.536,13.0,No,,Yes,,,Yes,,0.99599999981001,-2.68799999915063,,fd02a352-9037-48ab-88ef-f1ba066dc509,12/16/2025 4:14:51 PM,HNemerov_westwood,2/6/2026 6:41:37 AM,sauron.sanchez,,,,INVERTER PILE,,6.0,,,Yes,Yes,No,No,Yes,,,Field verified by Cameron ,,Yes,2/2/2026 6:00:00 AM,,,2/2/2026 6:00:00 AM,2/2/2026 6:00:00 AM,Remediation,,,,,,,,,,,,,,,,,,,-88.910206625721,42.9985812472272
47292,19,0,0,500182,,,365854.463,365854.56,Yes,2260040.63,2260040.583,Yes,889.147,889.0723,17.5,889.147,1.0,3.5,No,-871.647,14.0,No,,Yes,,,Yes,,1.16400000010617,-0.563999997451901,,a93197a4-0d99-475b-bf11-c887aae84419,12/16/2025 4:14:51 PM,HNemerov_westwood,2/6/2026 6:41:37 AM,sauron.sanchez,,,,INVERTER PILE,,6.0,,,Yes,Yes,No,No,Yes,,,Field verified by Cameron ,,Yes,2/2/2026 6:00:00 AM,,,2/2/2026 6:00:00 AM,2/2/2026 6:00:00 AM,Remediation,,,,,,,,,,,,,,,,,,,-88.9101732964273,42.9985809272676
47293,19,0,0,500183,,,365854.515,365854.56,Yes,2260045.95,2260045.833,No,889.006,889.0723,17.5,889.006,1.0,3.5,No,-871.506,14.0,No,,Yes,,,Yes,,0.539999999804422,-1.40400000102818,,a8428bfb-c43b-479f-b3f3-37f9ee604327,12/16/2025 4:14:51 PM,HNemerov_westwood,2/6/2026 6:41:37 AM,sauron.sanchez,,,,INVERTER PILE,,6.0,,,Yes,Yes,No,No,Yes,,,Field verified by Cameron ,,Yes,2/2/2026 6:00:00 AM,,,2/2/2026 6:00:00 AM,2/2/2026 6:00:00 AM,Remediation,,,,,,,,,,,,,,,,,,,-88.9101536727299,42.9985807393652
47294,19,0,0,500184,,,365854.56,365854.56,Yes,2260051.08,2260051.083,Yes,888.996,889.0723,17.5,888.996,1.0,3.5,No,-871.496,14.0,No,,Yes,,,Yes,,0.0,0.0360000003129244,,3c6d84ee-acc2-411f-af89-22754a935e55,12/16/2025 4:14:51 PM,HNemerov_westwood,2/6/2026 6:41:37 AM,sauron.sanchez,,,,INVERTER PILE,,6.0,,,Yes,Yes,No,No,Yes,,,Field verified by Cameron ,,Yes,2/2/2026 6:00:00 AM,,,2/2/2026 6:00:00 AM,2/2/2026 6:00:00 AM,Remediation,,,,,,,,,,,,,,,,,,,-88.9101340499309,42.9985805508058
47295,19,0,0,500185,,,365854.519,365854.56,Yes,2260058.65,2260058.583,Yes,889.068,889.0723,16.5,889.068,1.0,3.5,No,-872.568,13.0,No,,Yes,,,Yes,,0.492000000318512,-0.803999997675419,,7dacfb5a-52c9-4581-9ac2-0f4c8b3fbc90,12/16/2025 4:14:51 PM,HNemerov_westwood,2/6/2026 6:41:37 AM,sauron.sanchez,,,,INVERTER PILE,,6.0,,,Yes,Yes,No,No,Yes,,,Field verified by Cameron ,,Yes,2/2/2026 6:00:00 AM,,,2/2/2026 6:00:00 AM,2/2/2026 6:00:00 AM,Remediation,,,,,,,,,,,,,,,,,,,-88.9101060162058,42.9985802820922
47296,19,0,0,500186,,,365854.532,365854.56,Yes,2260064.67,2260064.583,Yes,889.079,889.0723,16.5,889.079,1.0,3.5,No,-872.579,13.0,No,,Yes,,,Yes,,0.335999999893829,-1.04399999789894,,c939bce1-3f9b-4aca-b74d-4996084cf740,12/16/2025 4:14:51 PM,HNemerov_westwood,2/6/2026 6:41:37 AM,sauron.sanchez,,,,INVERTER PILE,,6.0,,,Yes,Yes,No,No,Yes,,,Field verified by Cameron ,,Yes,2/2/2026 6:00:00 AM,,,2/2/2026 6:00:00 AM,2/2/2026 6:00:00 AM,Remediation,,,,,,,,,,,,,,,,,,,-88.9100835897647,42.9985800665958
47297,19,0,0,500187,,,365858.135,365858.175,Yes,2260064.61,2260064.583,Yes,889.105,889.0723,16.5,889.105,1.0,3.5,No,-872.605,13.0,No,,Yes,,,Yes,,0.479999999748543,-0.323999997228384,,1e7b119d-25bb-4b10-a76d-d5d42024af72,12/16/2025 4:14:51 PM,HNemerov_westwood,2/6/2026 6:41:37 AM,sauron.sanchez,,,,INVERTER PILE,,6.0,,,Yes,Yes,No,No,Yes,,,Field verified by Cameron ,,Yes,2/2/2026 6:00:00 AM,,,2/2/2026 6:00:00 AM,2/2/2026 6:00:00 AM,Remediation,,,,,,,,,,,,,,,,,,,-88.9100834136949,42.998589984688
47298,19,0,0,500188,,,365858.165,365858.175,Yes,2260058.61,2260058.583,Yes,888.877,889.0723,16.5,888.877,1.0,3.5,No,-872.377,13.0,No,,Yes,,,Yes,,0.120000000111759,-0.323999997228384,,29830df0-fe1e-4c63-a251-ca90bb9d4cd5,12/16/2025 4:14:51 PM,HNemerov_westwood,2/6/2026 6:41:37 AM,sauron.sanchez,,,,INVERTER PILE,,6.0,,,Yes,Yes,No,No,Yes,,,Field verified by Cameron ,,Yes,2/2/2026 6:00:00 AM,,,2/2/2026 6:00:00 AM,2/2/2026 6:00:00 AM,Remediation,,,,,,,,,,,,,,,,,,,-88.910105840136,42.9985902001844
47299,19,0,0,500189,,,365858.169,365858.175,Yes,2260051.1,2260051.083,Yes,889.01,889.0723,17.5,889.01,1.0,3.5,No,-871.51,14.0,No,,Yes,,,Yes,,0.0719999999273568,-0.203999999910593,,70573a4a-8805-4cda-a571-61fbe21efd1d,12/16/2025 4:14:51 PM,HNemerov_westwood,2/6/2026 6:41:37 AM,sauron.sanchez,,,,INVERTER PILE,,6.0,,,Yes,Yes,No,No,Yes,,,Field verified by Cameron ,,Yes,2/2/2026 6:00:00 AM,,,2/2/2026 6:00:00 AM,2/2/2026 6:00:00 AM,Remediation,,,,,,,,,,,,,,,,,,,-88.9101338729628,42.9985904688979
47300,19,0,0,500190,,,365858.185,365858.175,Yes,2260046.05,2260045.833,No,889.129,889.0723,17.5,889.129,1.0,3.5,No,-871.629,14.0,No,,Yes,,,Yes,,-0.120000000111759,-2.60399999655783,,b2db1426-880e-4990-b810-0b905652e7c7,12/16/2025 4:14:51 PM,HNemerov_westwood,2/6/2026 6:41:37 AM,sauron.sanchez,,,,INVERTER PILE,,6.0,,,Yes,Yes,No,No,Yes,,,Field verified by Cameron ,,Yes,2/2/2026 6:00:00 AM,,,2/2/2026 6:00:00 AM,2/2/2026 6:00:00 AM,Remediation,,,,,,,,,,,,,,,,,,,-88.9101534966601,42.9985906574573
