OBJECTID,Inverter,Row,Table_,UPN,Drive_Time_MIN,Drive_Time_SEC,As_Built_Northing,Design_Northing,Top_of_P_in_Northing_Tolerance,As_Built_Easting,Design_Easting,Easting_In_Tolerance,As_Built_Top_Elev,Design_Elevation,Pile_Length,As_Built_Reveal_ft,Design_Min_Reveal_ft,Design_Max_Reveal_ft,Reveal_in_Spec,As_Built_Embed,Design_Min_Embed,Min_Embd_Met,Pile_Twist,Twist_in_Tol,East_deg_Lean,North_Deg_Lean,Remediation_Complete,Remediation_Type,N_Dy,E_Dx,Elv_Dz,GlobalID,CreationDate,Creator,EditDate,Editor,Letter,Color,Damper,Pile_Type,Table_Ready_for_Racking,Symbology,Tracker_Slope_Deg,Cumulative_Slope,Pile_Installed,Elevation_In_Tolerance,East_Deg_Lean_In_Spec,North_Deg_Lean_in_Spec,Remediation_Approved,Pull_Test_Passed,Is_Pull_Test_Needed,Remediation_Performed,Random_Pull_Test,Cumulative_Tracker_Slope_in_Spe,Date_Installed,Date_of_Pull_Test,Date_of_Random_Pull_Test,Date_Remediation_Completed,Date_Remediation_Approved,Display,Drive_Finished_At,Drive_Machine,Hammering_Status,Hammering_Flag,Design_Bottom_of_Pile,Remediation_Reccomendation,Symbology_S02,UFN,Num_Helicals_In_Frame,Helical_Oreintation,Helical_PIle_Position,Frame_Des_Northing,Frame_Des_Easting,Frame_Des_Elv,Helical_or_W_Section,Helical_Clocking,Pile_Size,Pile_Shape,Phots_Needed,Symbology_3
47091,2,0,0,500001,,,,373998.905,No,,2266175.675,No,,848.5401,27.5,,,3.5,,,24.0,,0.0,Yes,,,,,4487986.86,27194108.099999998,,{e2779fcc-cdd4-435d-880f-1c10100ce2fc},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,0
47092,10,0,0,500401,,,,368601.412,,,2269583.539,,,826.6615333333334,,,1.0,3.5,,,,,,,,,,,,,,{0fc5ffaf-a3c0-4091-bbf8-d8199fa2f101},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,0.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
47093,10,0,0,500402,,,,368597.798,,,2269583.539,,,826.6615333333334,,,1.0,3.5,,,,,,,,,,,,,,{54c3f840-1e9a-4483-865b-5ca92dddf27a},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,0.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
47094,2,0,0,500002,,,,373998.905,No,,2266180.925,No,,848.5401,27.5,,,3.5,,,24.0,,0.0,Yes,,,,,4487986.86,27194171.099999998,,{148ad4ae-14c7-4279-afd3-0c68bda0adf6},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,0
47095,10,0,0,500403,,,,368597.798,,,2269589.539,,,826.6615333333334,,,1.0,3.5,,,,,,,,,,,,,,{c7524cc2-02fd-4f0d-b7e9-168de2fe7a3b},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,0.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
47096,2,0,0,500003,,,,373998.905,No,,2266186.175,No,,848.5401,27.5,,,3.5,,,24.0,,0.0,Yes,,,,,4487986.86,27194234.099999998,,{5a889719-c271-4d01-8085-40fed4dca7da},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,0
47097,10,0,0,500404,,,,368597.798,,,2269597.039,,,826.6615333333334,,,1.0,3.5,,,,,,,,,,,,,,{3b83a8cd-806d-4e12-bffa-09e952983d3f},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,0.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
47098,2,0,0,500004,1.0,18.0,373998.917,373998.905,Yes,2266193.658,2266193.675,Yes,851.953,848.5401,19.5,851.953,,3.5,No,-832.453,16.0,No,-0.64,Yes,90.31992235,90.538041,,,-0.14399999985471368,0.20399999991059303,,{192cc9f2-45ad-4cac-9e6d-012a30128607},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,2026-01-05T11:50:37.982,Doyle-2500-007_-_Machine_8,COMPLETED,OTHER,,"Field verify – Embedment below minimum by 848.45 ft – if remediation not possible, Remove & CIP",,,,,,,,,,,,,,0
47099,10,0,0,500405,,,,368597.798,,,2269602.289,,,826.6615333333334,,,1.0,3.5,,,,,,,,,,,,,,{64fec06e-a92f-4057-b87a-9a1cd794d3d7},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,0.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
47100,10,0,0,500406,,,,368597.798,,,2269607.539,,,826.6615333333334,,,1.0,3.5,,,,,,,,,,,,,,{76032491-c981-4756-8d22-b911ab596677},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,0.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
47101,10,0,0,500407,,,,368597.798,,,2269616.456,,,826.6615333333334,,,1.0,3.5,,,,,,,,,,,,,,{1e6632ca-e6e1-4119-8a94-53e64b4f5878},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,0.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
47102,10,0,0,500408,,,,368601.412,,,2269597.039,,,826.6615333333334,,,1.0,3.5,,,,,,,,,,,,,,{93181693-0a44-4b65-9a25-9cf992bb6f0d},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,0.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
47103,11,0,0,500409,,,,367643.204,,,2269584.744,,,826.6523333333334,,,1.0,3.5,,,,,,,,,,,,,,{9c081cb9-b008-4596-9f4d-3a8bb7019bc4},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,0.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
47104,11,0,0,500410,,,,367643.204,,,2269593.661,,,826.6523333333334,,,1.0,3.5,,,,,,,,,,,,,,{49c37bf3-c373-43ff-b1fe-818996ac0455},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,0.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
47105,11,0,0,500411,,,,367643.204,,,2269598.911,,,826.6523333333334,,,1.0,3.5,,,,,,,,,,,,,,{ea7070e9-fd62-4317-a2b5-bc9ab5e46b9b},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,0.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
47106,11,0,0,500412,,,,367643.204,,,2269604.161,,,826.6523333333334,,,1.0,3.5,,,,,,,,,,,,,,{fccb80ae-73bf-4242-8337-fe4057495b62},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,0.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
47107,11,0,0,500413,,,,367643.204,,,2269611.661,,,826.6523333333334,,,1.0,3.5,,,,,,,,,,,,,,{30ac50cf-6353-462e-a63f-2069d2299aba},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,0.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
47108,11,0,0,500414,,,,367643.204,,,2269617.661,,,826.6523333333334,,,1.0,3.5,,,,,,,,,,,,,,{4b0a9181-4c20-4d90-9722-5acf0f294d7d},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,0.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
47109,11,0,0,500415,,,,367646.819,,,2269617.661,,,826.6523333333334,,,1.0,3.5,,,,,,,,,,,,,,{7e31cdce-1c88-44da-8256-d3be92d5eebe},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,0.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
47110,11,0,0,500416,,,,367646.819,,,2269611.661,,,826.6523333333334,,,1.0,3.5,,,,,,,,,,,,,,{87f9d8b7-ad96-4759-addd-eabfafcf5a19},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,0.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
47111,11,0,0,500417,,,,367646.819,,,2269604.161,,,826.6523333333334,,,1.0,3.5,,,,,,,,,,,,,,{a541a8c8-5ec2-4406-9cde-de4d4a4af167},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,0.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
47112,11,0,0,500418,,,,367646.819,,,2269598.911,,,826.6523333333334,,,1.0,3.5,,,,,,,,,,,,,,{d1164174-d304-42cd-a4eb-91c20dda94c2},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,0.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
47113,11,0,0,500419,,,,367646.819,,,2269593.661,,,826.6523333333334,,,1.0,3.5,,,,,,,,,,,,,,{97667cbc-6dde-4fae-b298-92a997f4b8f9},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,0.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
47114,11,0,0,500420,,,,367646.819,,,2269584.744,,,826.6523333333334,,,1.0,3.5,,,,,,,,,,,,,,{bdf7e5dc-fec8-4c5b-bd4b-f577e2b6b6ac},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,0.0,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
47115,2,0,0,500005,1.0,36.0,373998.906,373998.905,Yes,2266199.608,2266199.675,Yes,851.863,848.5401,19.5,851.863,,3.5,No,-832.363,16.0,No,3.77,Yes,90.18667731,90.57437454,,,-0.011999999871477485,0.8039999976754189,,{c83e2f97-e072-46c6-8086-1d18af8135db},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,2026-01-05T11:27:48.876,Doyle-2500-007_-_Machine_8,COMPLETED,OTHER,,"Field verify – Embedment below minimum by 848.36 ft – if remediation not possible, Remove & CIP",,,,,,,,,,,,,,0
47116,2,0,0,500006,1.0,13.0,374002.561,374002.519,Yes,2266199.627,2266199.675,Yes,851.886,848.5401,19.5,851.886,,3.5,No,-832.386,16.0,No,-0.63,Yes,89.8142074,90.54307169,,,-0.5040000001899898,0.5759999994188547,,{5f25585a-a490-4731-9ceb-4150b571ef7e},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,2026-01-05T11:57:48.465,Doyle-2500-007_-_Machine_8,COMPLETED,OTHER,,"Field verify – Embedment below minimum by 848.39 ft – if remediation not possible, Remove & CIP",,,,,,,,,,,,,,0
