OBJECTID,Inverter,Row,Table_,UPN,Drive_Time_MIN,Drive_Time_SEC,As_Built_Northing,Design_Northing,Top_of_P_in_Northing_Tolerance,As_Built_Easting,Design_Easting,Easting_In_Tolerance,As_Built_Top_Elev,Design_Elevation,Pile_Length,As_Built_Reveal_ft,Design_Min_Reveal_ft,Design_Max_Reveal_ft,Reveal_in_Spec,As_Built_Embed,Design_Min_Embed,Min_Embd_Met,Pile_Twist,Twist_in_Tol,East_deg_Lean,North_Deg_Lean,Remediation_Complete,Remediation_Type,N_Dy,E_Dx,Elv_Dz,GlobalID,CreationDate,Creator,EditDate,Editor,Letter,Color,Damper,Pile_Type,Table_Ready_for_Racking,Symbology,Tracker_Slope_Deg,Cumulative_Slope,Pile_Installed,Elevation_In_Tolerance,East_Deg_Lean_In_Spec,North_Deg_Lean_in_Spec,Remediation_Approved,Pull_Test_Passed,Is_Pull_Test_Needed,Remediation_Performed,Random_Pull_Test,Cumulative_Tracker_Slope_in_Spe,Date_Installed,Date_of_Pull_Test,Date_of_Random_Pull_Test,Date_Remediation_Completed,Date_Remediation_Approved,Display,Drive_Finished_At,Drive_Machine,Hammering_Status,Hammering_Flag,Design_Bottom_of_Pile,Remediation_Reccomendation,Symbology_S02,UFN,Num_Helicals_In_Frame,Helical_Oreintation,Helical_PIle_Position,Frame_Des_Northing,Frame_Des_Easting,Frame_Des_Elv,Helical_or_W_Section,Helical_Clocking,Pile_Size,Pile_Shape,Phots_Needed,Symbology_3
47098,2,0,0,500004,1.0,18.0,373998.917,373998.905,Yes,2266193.658,2266193.675,Yes,851.953,848.5401,19.5,851.953,,3.5,No,-832.453,16.0,No,-0.64,Yes,90.31992235,90.538041,,,-0.1439999998547136,0.203999999910593,,{192cc9f2-45ad-4cac-9e6d-012a30128607},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,2026-01-05T11:50:37.982,Doyle-2500-007_-_Machine_8,COMPLETED,OTHER,,"Field verify – Embedment below minimum by 848.45 ft – if remediation not possible, Remove & CIP",,,,,,,,,,,,,,0
47115,2,0,0,500005,1.0,36.0,373998.906,373998.905,Yes,2266199.608,2266199.675,Yes,851.863,848.5401,19.5,851.863,,3.5,No,-832.363,16.0,No,3.77,Yes,90.18667731,90.57437454,,,-0.0119999998714774,0.8039999976754189,,{c83e2f97-e072-46c6-8086-1d18af8135db},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,2026-01-05T11:27:48.876,Doyle-2500-007_-_Machine_8,COMPLETED,OTHER,,"Field verify – Embedment below minimum by 848.36 ft – if remediation not possible, Remove & CIP",,,,,,,,,,,,,,0
47116,2,0,0,500006,1.0,13.0,374002.561,374002.519,Yes,2266199.627,2266199.675,Yes,851.886,848.5401,19.5,851.886,,3.5,No,-832.386,16.0,No,-0.63,Yes,89.8142074,90.54307169,,,-0.5040000001899898,0.5759999994188547,,{5f25585a-a490-4731-9ceb-4150b571ef7e},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,2026-01-05T11:57:48.465,Doyle-2500-007_-_Machine_8,COMPLETED,OTHER,,"Field verify – Embedment below minimum by 848.39 ft – if remediation not possible, Remove & CIP",,,,,,,,,,,,,,0
47117,2,0,0,500007,1.0,18.0,374002.575,374002.519,Yes,2266193.646,2266193.675,Yes,852.011,848.5401,19.5,852.011,,3.5,No,-832.511,16.0,No,-1.36,Yes,89.88410478,90.44908541,,,-0.6720000004861504,0.3479999955743551,,{ff42a9c9-b1d6-43ca-9f01-ca7865e12107},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,2026-01-05T12:38:56.938,Doyle-2500-007_-_Machine_8,COMPLETED,OTHER,,"Field verify – Embedment below minimum by 848.51 ft – if remediation not possible, Remove & CIP",,,,,,,,,,,,,,0
47121,2,0,0,500011,1.0,30.0,373998.984,373998.905,Yes,2266166.67,2266166.758,Yes,852.514,848.5401,19.5,852.514,,3.5,No,-833.014,16.0,No,0.41,Yes,90.07033605,90.68926044,,,-0.9479999996256084,1.0559999998658895,,{539b1fce-9974-4b95-ab0f-d0d8733276fc},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,2026-01-05T11:34:35.313,Doyle-2500-007_-_Machine_8,COMPLETED,OTHER,,"Field verify – Embedment below minimum by 849.01 ft – if remediation not possible, Remove & CIP",,,,,,,,,,,,,,0
47122,2,0,0,500012,1.0,43.0,374002.674,374002.519,Yes,2266166.737,2266166.758,Yes,852.445,848.5401,19.5,852.445,,3.5,No,-832.945,16.0,No,-1.28,Yes,89.81748527,90.92653561,,,-1.860000000335276,0.2519999966025352,,{79bda1b5-02e1-4819-9856-e3ce379192ba},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,2026-01-05T12:46:22.047,Doyle-2500-007_-_Machine_8,COMPLETED,OTHER,,"Field verify – Embedment below minimum by 848.95 ft – if remediation not possible, Remove & CIP",,,,,,,,,,,,,,0
47171,26,0,0,500061,,,367329.839,367329.698,Yes,2257916.538,2257916.57,Yes,887.862,882.8423,19.5,887.862,1.0,3.5,No,-868.362,16.0,No,-2.6864472798360026,Yes,89.7326810427772,89.9777232590669,,,-1.6920000000391155,0.3839999958872795,,{ad2f60b1-db17-4bc7-bf45-c27c346fdd86},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,0
47172,26,0,0,500062,,,367329.771,367329.698,Yes,2257907.408,2257907.653,No,888.79,882.8423,27.5,888.79,1.0,3.5,No,-861.29,24.0,No,-0.0712527556662934,Yes,89.064326522303,89.7424540295345,,,-0.8760000003967434,2.9400000013411045,,{11cdbf04-cf27-44b0-b722-7f3bedf4732c},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,0
47173,26,0,0,500063,,,367329.754,367329.698,Yes,2257902.436,2257902.403,Yes,888.509,882.8423,27.5,888.509,1.0,3.5,No,-861.009,24.0,No,-4.464702888129693,Yes,90.344353292588,89.8587254408115,,,-0.6720000004861504,-0.3960000034421682,,{cf8bb812-aad4-489f-93af-d3138d4cf599},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,0
47174,26,0,0,500064,,,367329.765,367329.698,Yes,2257897.089,2257897.153,Yes,888.198,882.8423,27.5,888.198,1.0,3.5,No,-860.698,24.0,No,-1.880990461106805,Yes,90.1272631432851,90.1454435194841,,,-0.8040000004693866,0.7679999973624945,,{5f3f0a13-7cbf-4023-bded-2fa33eca5b59},2025-12-16 16:14:51,HNemerov_westwood,2026-02-24 16:18:42,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,0
