id,hammeringStatus,positioningTime,hammeringTime,headHeight,finishedAt,reachedAt,machine
600440,COMPLETED,,0.001170243,253.3392454,2026-01-14 11:08:28,,Doyle-2500-010 - Machine 1
600441,COMPLETED,,7.55324E-05,253.3642288,2026-01-14 11:14:56,,Doyle-2500-010 - Machine 1
600442,COMPLETED,,0.002413924,253.350686,2026-01-14 10:47:57,,Doyle-2500-010 - Machine 1
600443,INCOMPLETE_NO_FINISH_TIME,0.001112604,0.002535718,,,2026-01-14 10:56:39,Doyle-2500-010 - Machine 1
600444,COMPLETED,,7.73727E-05,253.3619353,2026-01-14 11:46:11,,Doyle-2500-010 - Machine 1
600445,COMPLETED,,7.65972E-05,253.3673873,2026-01-14 11:52:28,,Doyle-2500-010 - Machine 1
600446,COMPLETED,,0.00204985,253.3862926,2026-01-14 11:30:49,,Doyle-2500-010 - Machine 1
600447,COMPLETED,,0.00219588,253.3811293,2026-01-14 11:38:35,,Doyle-2500-010 - Machine 1
600448,COMPLETED,,5.04514E-05,253.3110876,2026-01-14 13:49:13,,Doyle-2500-010 - Machine 1
600449,COMPLETED,0.003098125,0.001551204,253.3270522,2026-01-14 13:42:14,2026-01-14 13:39:54,Doyle-2500-010 - Machine 1
600450,COMPLETED,,0.001250532,253.3468903,2026-01-14 13:56:04,,Doyle-2500-010 - Machine 1
600451,COMPLETED,,0.00125441,253.3194576,2026-01-14 13:35:27,,Doyle-2500-010 - Machine 1
600452,COMPLETED,,0.000550532,253.3146636,2026-01-14 13:29:49,,Doyle-2500-010 - Machine 1
600453,INCOMPLETE_NO_FINISH_TIME,,0.000767269,,,,Doyle-2500-010 - Machine 1
600454,COMPLETED,,0.000657743,253.3034229,2026-01-14 13:23:58,,Doyle-2500-010 - Machine 1
700007,INCOMPLETE_NO_FINISH_TIME,,0.002227396,,,,Doyle-2500-010 - Machine 1
600455,INCOMPLETE_NO_FINISH_TIME,,0.000398843,,,,Doyle-2500-010 - Machine 1
600456,COMPLETED,,0.000792303,253.5795287,2026-01-14 15:01:56,,Doyle-2500-010 - Machine 1
600457,COMPLETED,,0.001434595,253.5362,2026-01-14 15:15:02,,Doyle-2500-010 - Machine 1
600458,COMPLETED,0.002210417,0.001023148,253.6236079,2026-01-14 14:49:55,2026-01-14 14:48:24,Doyle-2500-010 - Machine 1
600459,COMPLETED,,0.000889618,253.5369846,2026-01-14 14:57:02,,Doyle-2500-010 - Machine 1
600460,COMPLETED,,0.000924722,253.6661648,2026-01-14 14:45:13,,Doyle-2500-010 - Machine 1
600461,COMPLETED,,0.000219248,253.5070746,2026-01-14 15:43:35,,Doyle-2500-010 - Machine 1
600462,COMPLETED,,0.000781748,253.5126046,2026-01-14 15:38:08,,Doyle-2500-010 - Machine 1
600463,INCOMPLETE_NO_FINISH_TIME,,0.001362037,,,,Doyle-2500-010 - Machine 1
600464,COMPLETED,,8.8588E-05,253.4741211,2026-01-14 15:25:45,,Doyle-2500-010 - Machine 1
600465,COMPLETED,,0.000257361,253.629151,2026-01-14 16:04:12,,Doyle-2500-010 - Machine 1
600466,COMPLETED,0.001361829,0.000348877,253.6240972,2026-01-14 16:08:28,2026-01-14 16:06:28,Doyle-2500-010 - Machine 1
600467,INCOMPLETE_NO_FINISH_TIME,,0.000533171,,,,Doyle-2500-010 - Machine 1
600468,COMPLETED,,0.000396007,253.6052909,2026-01-14 15:52:15,,Doyle-2500-010 - Machine 1
400026,COMPLETED,,0.003726157,273.9796926,2026-01-03 08:34:25,,Doyle-2500-010 - Machine 1
400154,COMPLETED,0.000685926,0.006364109,279.4896688,2026-01-03 07:40:17,2026-01-03 07:31:06,Doyle-2500-020 - Machine 3
400156,COMPLETED,,0.005146296,276.4105021,2026-01-03 08:48:44,,Doyle-2500-021 - Machine 4
400158,COMPLETED,0.002040648,0.002693229,274.2577432,2026-01-03 08:28:42,2026-01-03 08:19:37,Doyle-2500-020 - Machine 3
400159,INCOMPLETE_NO_FINISH_TIME,,0.001893113,,,,Doyle-2500-020 - Machine 3
500133,COMPLETED,,0.000814005,273.500628,2026-01-03 10:31:42,,Doyle-2500-011 - Machine 2
500134,COMPLETED,,0.001701007,273.4990964,2026-01-03 10:28:47,,Doyle-2500-011 - Machine 2
500135,COMPLETED,,0.000619456,273.4958188,2026-01-03 10:24:06,,Doyle-2500-011 - Machine 2
500136,COMPLETED,,0.000367211,273.4949099,2026-01-03 10:18:17,,Doyle-2500-011 - Machine 2
500137,COMPLETED,,0.000307188,273.4974073,2026-01-03 10:16:05,,Doyle-2500-011 - Machine 2
500138,COMPLETED,,0.000292176,273.4957563,2026-01-03 13:07:22,,Doyle-2500-011 - Machine 2
500139,COMPLETED,,0.000352037,273.49792,2026-01-03 13:09:25,,Doyle-2500-011 - Machine 2
500140,COMPLETED,,0.000710775,273.4961942,2026-01-03 13:18:14,,Doyle-2500-011 - Machine 2
500141,COMPLETED,,0.000829711,273.5021877,2026-01-03 13:22:57,,Doyle-2500-011 - Machine 2
